,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,443,2,"Vanguard Group, Inc. (The)",23168704,2017-12-30 00:00:00,10.19%,1539097013,2018-07-03 02:24:41
1,443,2,Blackrock Inc.,14169813,2017-12-30 00:00:00,6.23%,941300681,2018-07-03 02:24:41
2,443,2,State Street Corporation,9474184,2017-12-30 00:00:00,4.17%,629370046,2018-07-03 02:24:41
3,443,2,Generation Investment Management LLP,9011670,2017-12-30 00:00:00,3.96%,598645240,2018-07-03 02:24:41
4,443,2,"Ruane, Cunniff & Goldfarb Inc.",8850874,2017-12-30 00:00:00,3.89%,587963562,2018-07-03 02:24:41
5,443,2,Price (T.Rowe) Associates Inc,7099441,2017-12-30 00:00:00,3.12%,471615867,2018-07-03 02:24:41
6,443,2,"ClearBridge Investments, LLC",6958367,2017-12-30 00:00:00,3.06%,462244321,2018-07-03 02:24:41
7,443,2,"Principal Financial Group, Inc.",6914847,2017-12-30 00:00:00,3.04%,459353288,2018-07-03 02:24:41
8,443,2,"Jackson Square Partners, LLC",6891530,2017-12-30 00:00:00,3.03%,457804340,2018-07-03 02:24:41
9,443,2,"Select Equity Group, Inc.",6164149,2017-12-30 00:00:00,2.71%,409484419,2018-07-03 02:24:41
0,443,2,Vanguard Mid-Cap Index Fund,5667046,2017-06-29 00:00:00,2.49%,365127775,2018-07-03 02:24:41
1,443,2,Vanguard Total Stock Market Index Fund,5305313,2017-06-29 00:00:00,2.33%,341821318,2018-07-03 02:24:41
2,443,2,Principal Mid Cap Fund,4658045,2018-01-30 00:00:00,2.05%,288705626,2018-07-03 02:24:41
3,443,2,Eaton Vance-Atlanta Capital SMID-Cap Port,3846216,2017-06-29 00:00:00,1.69%,247811698,2018-07-03 02:24:41
4,443,2,Vanguard 500 Index Fund,3616458,2017-06-29 00:00:00,1.59%,233008390,2018-07-03 02:24:41
5,443,2,Sequoia Fund Inc,3435757,2017-09-29 00:00:00,1.51%,205355197,2018-07-03 02:24:41
6,443,2,SPDR S&P 500 ETF Trust,2931677,2018-01-30 00:00:00,1.29%,181705339,2018-07-03 02:24:41
7,443,2,MFS Series Trust X-MFS International Value Fund,2825802,2017-08-30 00:00:00,1.24%,155871237,2018-07-03 02:24:41
8,443,2,Price (T.Rowe) Mid Cap Growth Fund,2750000,2017-12-30 00:00:00,1.21%,182682500,2018-07-03 02:24:41
9,443,2,Vanguard Institutional Index Fund-Institutional Index Fund,2514593,2017-06-29 00:00:00,1.11%,162015227,2018-07-03 02:24:41
