,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,446,2,Price (T.Rowe) Associates Inc,33033765,2017-12-30 00:00:00,9.93%,2730901292,2018-07-03 02:25:48
1,446,2,"Vanguard Group, Inc. (The)",23125244,2017-12-30 00:00:00,6.95%,1911763879,2018-07-03 02:25:48
2,446,2,Blackrock Inc.,20321150,2017-12-30 00:00:00,6.11%,1679949433,2018-07-03 02:25:48
3,446,2,Magellan Asset Management Ltd,16076881,2017-12-30 00:00:00,4.83%,1329075722,2018-07-03 02:25:48
4,446,2,State Street Corporation,13841966,2017-12-30 00:00:00,4.16%,1144315303,2018-07-03 02:25:48
5,446,2,Bank Of New York Mellon Corporation,7671145,2017-12-30 00:00:00,2.31%,634173543,2018-07-03 02:25:48
6,446,2,"Loomis Sayles & Company, LP",7023276,2017-12-30 00:00:00,2.11%,580614214,2018-07-03 02:25:48
7,446,2,"Goldman Sachs Group, Inc.",4700070,2017-12-30 00:00:00,1.41%,388554778,2018-07-03 02:25:48
8,446,2,Bank of America Corporation,4436584,2017-12-30 00:00:00,1.33%,366772391,2018-07-03 02:25:48
9,446,2,"Shaw D.E. & Co., Inc.",4364950,2017-12-30 00:00:00,1.31%,360850408,2018-07-03 02:25:48
0,446,2,Vanguard Total Stock Market Index Fund,7961381,2017-06-29 00:00:00,2.39%,588903362,2018-07-03 02:25:48
1,446,2,Price (T.Rowe) Capital Appreciation Fund,5474515,2017-12-30 00:00:00,1.65%,452578145,2018-07-03 02:25:48
2,446,2,Vanguard 500 Index Fund,5217691,2017-06-29 00:00:00,1.57%,385952609,2018-07-03 02:25:48
3,446,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,5131100,2017-12-30 00:00:00,1.54%,424188027,2018-07-03 02:25:48
4,446,2,Price (T.Rowe) Growth Stock Fund Inc.,4756800,2017-12-30 00:00:00,1.43%,393244647,2018-07-03 02:25:48
5,446,2,SPDR S&P 500 ETF Trust,4284821,2018-01-30 00:00:00,1.29%,370551334,2018-07-03 02:25:48
6,446,2,Vanguard Institutional Index Fund-Institutional Index Fund,3627320,2017-06-29 00:00:00,1.09%,268312864,2018-07-03 02:25:48
7,446,2,Investment Company Of America,2775672,2017-12-30 00:00:00,0.83%,229464799,2018-07-03 02:25:48
8,446,2,Vanguard Growth Index Fund,2215906,2017-06-29 00:00:00,0.67%,163910569,2018-07-03 02:25:48
9,446,2,iShares Core S&P 500 ETF,2177090,2018-01-30 00:00:00,0.65%,188274750,2018-07-03 02:25:48
