,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,108,2,DENNER ALEXANDER J,10029,2017-06-06 00:00:00,2018-07-03 00:18:58
1,108,2,SCANGOS GEORGE A,54779,2016-07-20 00:00:00,2018-07-03 00:18:58
2,108,2,COX JOHN,39045,2016-03-31 00:00:00,2018-07-03 00:18:58
3,108,2,ALEXANDER SUSAN H,22258,2017-07-24 00:00:00,2018-07-03 00:18:58
4,108,2,PAPADOPOULOS STELIOS,19946,2017-06-06 00:00:00,2018-07-03 00:18:58
5,108,2,DORSA CAROLINE,18172,2017-06-06 00:00:00,2018-07-03 00:18:58
6,108,2,PANGIA ROBERT W,17707,2018-01-08 00:00:00,2018-07-03 00:18:58
7,108,2,ROWINSKY ERIC K,14144,2017-06-06 00:00:00,2018-07-03 00:18:58
8,108,2,CLANCY PAUL J,10813,2017-04-24 00:00:00,2018-07-03 00:18:58
9,108,2,LEAMING NANCY,10063,2017-06-06 00:00:00,2018-07-03 00:18:58
