,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,115,2,FINK LAURENCE,1067974,2018-01-30 00:00:00,2018-07-03 00:21:33
1,115,2,GROSFELD JAMES,507267,2018-01-21 00:00:00,2018-07-03 00:21:33
2,115,2,WAGNER SUSAN,478227,2018-01-23 00:00:00,2018-07-03 00:21:33
3,115,2,KAPITO ROBERT,281108,2018-01-30 00:00:00,2018-07-03 00:21:33
4,115,2,PNC BANCORP INC.,143458,2018-01-30 00:00:00,2018-07-03 00:21:33
5,115,2,KUSHEL J. RICHARD,124830,2018-01-30 00:00:00,2018-07-03 00:21:33
6,115,2,GOLDSTEIN ROBERT L.,48393,2018-01-30 00:00:00,2018-07-03 00:21:33
7,115,2,FAIRBAIRN ROBERT W,44278,2017-09-04 00:00:00,2018-07-03 00:21:33
8,115,2,GERBER MURRY,40032,2018-01-02 00:00:00,2018-07-03 00:21:33
9,115,2,MCCOMBE MARK,28367,2018-01-30 00:00:00,2018-07-03 00:21:33
