,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,168,2,THIRY KENT J,0,2017-12-07 00:00:00,2018-07-03 00:41:14
1,168,2,RODRIGUEZ JAVIER,97817,2017-12-06 00:00:00,2018-07-03 00:41:14
2,168,2,NEHRA JOHN M,329,2017-12-30 00:00:00,2018-07-03 00:41:14
3,168,2,GRAUER PETER T,58360,2017-12-30 00:00:00,2018-07-03 00:41:14
4,168,2,HILGER JAMES K,19649,2017-12-06 00:00:00,2018-07-03 00:41:14
5,168,2,KOGOD DENNIS,18766,2016-05-16 00:00:00,2018-07-03 00:41:14
6,168,2,ARWAY PAMELA M,14875,2017-12-30 00:00:00,2018-07-03 00:41:14
7,168,2,BERG CHARLES,5416,2017-12-30 00:00:00,2018-07-03 00:41:14
8,168,2,STAFFIERI MICHAEL DAVID,12279,2016-08-08 00:00:00,2018-07-03 00:41:14
9,168,2,DAVIDSON CAROL ANTHONY,10764,2017-12-30 00:00:00,2018-07-03 00:41:14
