,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,194,2,FLORES JAMES C,4325273,2016-03-30 00:00:00,2018-07-03 00:51:05
1,194,2,ADKERSON RICHARD C,2149279,2018-02-05 00:00:00,2018-07-03 00:51:05
2,194,2,QUIRK KATHLEEN L,580088,2018-02-05 00:00:00,2018-07-03 00:51:05
3,194,2,ARNOLD MICHAEL J,361051,2018-02-05 00:00:00,2018-07-03 00:51:05
4,194,2,FORD GERALD J,285632,2017-12-31 00:00:00,2018-07-03 00:51:05
5,194,2,MATHER COURTNEY,213150,2017-12-31 00:00:00,2018-07-03 00:51:05
6,194,2,CONGER HARRY M. IV,110443,2018-02-05 00:00:00,2018-07-03 00:51:05
7,194,2,MCCOY DUSTAN E,83200,2017-05-31 00:00:00,2018-07-03 00:51:05
8,194,2,MADONNA JON C/,75880,2017-05-31 00:00:00,2018-07-03 00:51:05
9,194,2,WHITMIRE C DONALD JR,62739,2018-02-05 00:00:00,2018-07-03 00:51:05
