,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,206,2,KABAT KEVIN T,975117,2016-04-14 00:00:00,2018-07-03 00:55:34
1,206,2,CARMICHAEL GREG D,586549,2018-02-02 00:00:00,2018-07-03 00:55:34
2,206,2,ANDERSON LARS C,232113,2018-02-02 00:00:00,2018-07-03 00:55:34
3,206,2,MCHUGH PHILIP,168872,2018-02-02 00:00:00,2018-07-03 00:55:34
4,206,2,SPENCE TIMOTHY,166322,2018-02-02 00:00:00,2018-07-03 00:55:34
5,206,2,KOSCH GREGORY,157669,2016-04-14 00:00:00,2018-07-03 00:55:34
6,206,2,BORTON CHAD M,138145,2017-04-27 00:00:00,2018-07-03 00:55:34
7,206,2,ROBINSON JOSEPH R,137708,2016-04-14 00:00:00,2018-07-03 00:55:34
8,206,2,TUZUN TAYFUN,131361,2018-02-02 00:00:00,2018-07-03 00:55:34
9,206,2,FORREST FRANK R.,116410,2018-02-02 00:00:00,2018-07-03 00:55:34
