,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,488,2,WALT DAVID R,631840,2016-04-06 00:00:00,2018-07-03 02:41:25
1,488,2,FLATLEY JAY T,437062,2018-01-29 00:00:00,2018-07-03 02:41:25
2,488,2,ORPIN TRISTAN,118259,2016-11-06 00:00:00,2018-07-03 02:41:25
3,488,2,DESOUZA FRANCIS A,82532,2017-12-17 00:00:00,2018-07-03 02:41:25
4,488,2,RONAGHI MOSTAFA,67891,2018-01-28 00:00:00,2018-07-03 02:41:25
5,488,2,BIANCHI PAUL L,65660,2016-04-17 00:00:00,2018-07-03 02:41:25
6,488,2,NACLERIO NICHOLAS,30020,2016-03-20 00:00:00,2018-07-03 02:41:25
7,488,2,STAPLEY MARC,26052,2018-02-05 00:00:00,2018-07-03 02:41:25
8,488,2,OSTADAN OMEAD,25944,2018-01-28 00:00:00,2018-07-03 02:41:25
9,488,2,HENRY CHRISTIAN O,17531,2017-01-29 00:00:00,2018-07-03 02:41:25
