,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,553,2,FORD WILLIAM E,5346,2017-03-09 00:00:00,2018-07-03 03:05:34
1,553,2,STEAD JERRE L,502170,2017-01-31 00:00:00,2018-07-03 03:05:34
2,553,2,UGGLA LANCE DARRELL GORDON,573506,2016-12-31 00:00:00,2018-07-03 03:05:34
3,553,2,HYATT TODD S.,474128,2017-01-31 00:00:00,2018-07-03 03:05:34
4,553,2,YERGIN DANIEL,409961,2017-02-01 00:00:00,2018-07-03 03:05:34
5,553,2,GEAR JONATHAN,273775,2017-02-09 00:00:00,2018-07-03 03:05:34
6,553,2,BOMBA JANE L OKUN,256359,2017-01-31 00:00:00,2018-07-03 03:05:34
7,553,2,ROEDEL RICHARD,0,2017-03-09 00:00:00,2018-07-03 03:05:34
8,553,2,SISSON JEFFREY D,210883,2017-02-07 00:00:00,2018-07-03 03:05:34
9,553,2,IYER BALAKRISHNAN S,87161,2016-11-30 00:00:00,2018-07-03 03:05:34
