,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,309,2,FRAZIER KENNETH C,600304,2017-02-26 00:00:00,2018-07-03 01:34:26
1,309,2,DEESE WILLIE A,133759,2016-02-21 00:00:00,2018-07-03 01:34:26
2,309,2,PERLMUTTER ROGER M,101601,2017-02-26 00:00:00,2018-07-03 01:34:26
3,309,2,GRADDICK WEIR MIRIAN M,93484,2018-01-15 00:00:00,2018-07-03 01:34:26
4,309,2,DAVIS ROBERT M,73501,2017-05-08 00:00:00,2018-07-03 01:34:26
5,309,2,SCHECHTER ADAM H,0,2018-01-15 00:00:00,2018-07-03 01:34:26
6,309,2,HOLSTON MICHAEL J,49092,2018-01-15 00:00:00,2018-07-03 01:34:26
7,309,2,GERBERDING JULIE L.,45338,2017-05-01 00:00:00,2018-07-03 01:34:26
8,309,2,DELUCA RICHARD R.,42806,2018-02-08 00:00:00,2018-07-03 01:34:26
9,309,2,CHATTOPADHYAY SANAT,42663,2017-05-01 00:00:00,2018-07-03 01:34:26
