,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,479,2,TARANTO JOSEPH V,332008,2017-11-02 00:00:00,2018-07-03 02:38:08
1,479,2,ADDESSO DOMINIC JAMES,79209,2017-12-10 00:00:00,2018-07-03 02:38:08
2,479,2,GALTNEY WILLIAM F JR,26476,2017-02-21 00:00:00,2018-07-03 02:38:08
3,479,2,MUKHERJEE SANJOY,30721,2017-02-25 00:00:00,2018-07-03 02:38:08
4,479,2,DOUCETTE JOHN P,21734,2017-04-27 00:00:00,2018-07-03 02:38:08
5,479,2,HOWIE CRAIG,15486,2017-05-08 00:00:00,2018-07-03 02:38:08
6,479,2,DE SARAM MARK S,13943,2016-04-05 00:00:00,2018-07-03 02:38:08
7,479,2,AMORE JOHN J,13672,2018-01-01 00:00:00,2018-07-03 02:38:08
8,479,2,SINGER ROGER M.,12332,2017-02-21 00:00:00,2018-07-03 02:38:08
9,479,2,DUNNE JOHN R,12079,2017-03-19 00:00:00,2018-07-03 02:38:08
