,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,503,2,STOOPS JEFFREY,269695,2017-05-16 00:00:00,2018-07-03 02:47:02
1,503,2,HUNT THOMAS P,182383,2018-01-15 00:00:00,2018-07-03 02:47:02
2,503,2,BAGWELL KURT L,95032,2017-03-04 00:00:00,2018-07-03 02:47:02
3,503,2,COCROFT DUNCAN,87466,2018-01-21 00:00:00,2018-07-03 02:47:02
4,503,2,CAVANAGH BRENDAN THOMAS,36192,2017-03-05 00:00:00,2018-07-03 02:47:02
5,503,2,BERNSTEIN STEVEN E,31805,2017-05-16 00:00:00,2018-07-03 02:47:02
6,503,2,LANGER JACK,2280,2017-05-16 00:00:00,2018-07-03 02:47:02
7,503,2,SILBERSTEIN JASON V,13792,2017-05-24 00:00:00,2018-07-03 02:47:02
8,503,2,LAZARUS BRIAN D,12307,2017-08-27 00:00:00,2018-07-03 02:47:02
9,503,2,CIARFELLA MARK R,11748,2017-08-03 00:00:00,2018-07-03 02:47:02
