,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,507,2,DE GEUS AART,16174,2017-12-07 00:00:00,2018-07-03 02:48:31
1,507,2,CHAN CHI-FOON,212853,2017-12-07 00:00:00,2018-07-03 02:48:31
2,507,2,LOGAN JOSEPH W,68271,2017-12-07 00:00:00,2018-07-03 02:48:31
3,507,2,VALLEE ROY,60272,2017-04-05 00:00:00,2018-07-03 02:48:31
4,507,2,BEATTIE BRIAN M,39794,2017-02-27 00:00:00,2018-07-03 02:48:31
5,507,2,CHIZEN BRUCE R,33272,2017-04-05 00:00:00,2018-07-03 02:48:31
6,507,2,COLEMAN DEBORAH A,31472,2017-04-05 00:00:00,2018-07-03 02:48:31
7,507,2,NIKIAS CHRYSOSTOMOS L,20319,2018-01-01 00:00:00,2018-07-03 02:48:31
8,507,2,SCHWARZ JOHN,19324,2017-05-18 00:00:00,2018-07-03 02:48:31
9,507,2,PHAM TRAC,17239,2017-12-07 00:00:00,2018-07-03 02:48:31
