,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,547,2,PETERSON DOUGLAS L.,149850,2017-12-30 00:00:00,2018-07-03 03:03:24
1,547,2,CALLAHAN JOHN F JR,90834,2016-07-30 00:00:00,2018-07-03 03:03:24
2,547,2,BERISFORD JOHN L,27902,2017-12-30 00:00:00,2018-07-03 03:03:24
3,547,2,CHINN MICHAEL,27058,2017-12-30 00:00:00,2018-07-03 03:03:24
4,547,2,ONEILL FINBARR J,21380,2016-07-31 00:00:00,2018-07-03 03:03:24
5,547,2,MATTURRI ALEXANDER JR,14382,2017-12-30 00:00:00,2018-07-03 03:03:24
6,547,2,GINGRAS FRANCE,11728,2017-02-20 00:00:00,2018-07-03 03:03:24
7,547,2,CAFFERILLO NICHOLAS,7028,2017-12-31 00:00:00,2018-07-03 03:03:24
8,547,2,MACKAY ROBERT,5950,2017-12-30 00:00:00,2018-07-03 03:03:24
9,547,2,SHEARD PAUL JAMES,4980,2017-12-30 00:00:00,2018-07-03 03:03:24
