,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,385,2,SCHULER JACK W,616142,2017-05-24 00:00:00,2018-07-03 02:02:43
1,385,2,MILLER MARK C,188158,2018-02-04 00:00:00,2018-07-03 02:02:43
2,385,2,PATIENCE JOHN,149629,2017-05-24 00:00:00,2018-07-03 02:02:43
3,385,2,COLLINS MICHAEL J,9154,2017-02-04 00:00:00,2018-07-03 02:02:43
4,385,2,GINNETTI DANIEL,5747,2018-02-04 00:00:00,2018-07-03 02:02:43
5,385,2,ZAFIROVSKI MIKE S,3415,2017-05-24 00:00:00,2018-07-03 02:02:43
6,385,2,ARNOLD BRENT,3255,2018-02-04 00:00:00,2018-07-03 02:02:43
7,385,2,ALUTTO CHARLES A,2152,2018-02-04 00:00:00,2018-07-03 02:02:43
8,385,2,ABDULMASSIH RUTH-ELLEN,1409,2018-02-04 00:00:00,2018-07-03 02:02:43
9,385,2,MURLEY ROBERT S,303,2018-01-15 00:00:00,2018-07-03 02:02:43
