,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,401,2,COLEMAN GARY L,629375,2017-10-25 00:00:00,2018-07-03 02:08:41
1,401,2,HUTCHISON LARRY M,508342,2017-10-25 00:00:00,2018-07-03 02:08:41
2,401,2,MCCOY CAROL A,95043,2017-11-02 00:00:00,2018-07-03 02:08:41
3,401,2,SVOBODA FRANK M,84953,2017-02-20 00:00:00,2018-07-03 02:08:41
4,401,2,BUCHAN MELISSA JANE,80241,2018-01-01 00:00:00,2018-07-03 02:08:41
5,401,2,SMITH LAMAR C,66120,2018-01-01 00:00:00,2018-07-03 02:08:41
6,401,2,PRESSLEY W MICHAEL,53448,2017-10-25 00:00:00,2018-07-03 02:08:41
7,401,2,ZUCCONI PAUL J,48169,2017-10-25 00:00:00,2018-07-03 02:08:41
8,401,2,LUTEK BEN,4300,2017-10-25 00:00:00,2018-07-03 02:08:41
9,401,2,SMITH ROGER C,35685,2017-12-20 00:00:00,2018-07-03 02:08:41
