,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,414,2,HAYES GREGORY,101869,2017-02-07 00:00:00,2018-07-03 02:13:41
1,414,2,LEDUC ROBERT F,49592,2016-02-09 00:00:00,2018-07-03 02:13:41
2,414,2,DELPECH PHILIPPE,48635,2017-06-30 00:00:00,2018-07-03 02:13:41
3,414,2,JOHRI AKHIL,33424,2018-01-01 00:00:00,2018-07-03 02:13:41
4,414,2,GILL CHARLES D,31778,2017-02-16 00:00:00,2018-07-03 02:13:41
5,414,2,AMATO ELIZABETH B,21422,2017-12-14 00:00:00,2018-07-03 02:13:41
6,414,2,DUMAIS MICHAEL R,18948,2017-11-02 00:00:00,2018-07-03 02:13:41
7,414,2,MCDONOUGH ROBERT J,18051,2017-04-30 00:00:00,2018-07-03 02:13:41
8,414,2,WHITEHOUSE DAVID R,5203,2018-01-01 00:00:00,2018-07-03 02:13:41
9,414,2,ROGERS BRIAN C,5000,2016-12-06 00:00:00,2018-07-03 02:13:41
