,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,435,2,ARMSTRONG ALAN S,345527,2017-06-14 00:00:00,2018-07-03 02:21:40
1,435,2,MACINNIS FRANK T,130612,2016-05-17 00:00:00,2018-07-03 02:21:40
2,435,2,MILLER RORY LEE,91586,2017-06-20 00:00:00,2018-07-03 02:21:40
3,435,2,STONEY JANICE D,6604,2017-08-03 00:00:00,2018-07-03 02:21:40
4,435,2,CHAPPEL DONALD R,60032,2017-09-25 00:00:00,2018-07-03 02:21:40
5,435,2,HINSHAW JUANITA H,51932,2016-05-23 00:00:00,2018-07-03 02:21:40
6,435,2,COOPER KATHLEEN B,49465,2017-08-03 00:00:00,2018-07-03 02:21:40
7,435,2,BILLINGS FRANCIS E.,35113,2017-02-23 00:00:00,2018-07-03 02:21:40
8,435,2,PERILLOUX BRIAN L.,27760,2016-02-24 00:00:00,2018-07-03 02:21:40
9,435,2,EWING ROBYN L,27090,2017-09-26 00:00:00,2018-07-03 02:21:40
