,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,442,2,ERSEK HIKMET,562303,2017-02-19 00:00:00,2018-07-03 02:24:17
1,442,2,AGRAWAL RAJESH K.,174449,2017-07-14 00:00:00,2018-07-03 02:24:17
2,442,2,GREENBERG JACK M,144339,2017-02-21 00:00:00,2018-07-03 02:24:17
3,442,2,THOMPSON JOHN DAVID,129650,2017-08-03 00:00:00,2018-07-03 02:24:17
4,442,2,FARAH JEAN CLAUDE,114440,2018-01-07 00:00:00,2018-07-03 02:24:17
5,442,2,MILES MICHAEL,112542,2017-02-21 00:00:00,2018-07-03 02:24:17
6,442,2,DYE JOHN R,110966,2017-02-20 00:00:00,2018-07-03 02:24:17
7,442,2,ALMEIDA ODILON,110101,2017-03-27 00:00:00,2018-07-03 02:24:17
8,442,2,HOLDEN BETSY D,79549,2017-02-21 00:00:00,2018-07-03 02:24:17
9,442,2,SCHENKEL AMINTORE,78094,2018-01-07 00:00:00,2018-07-03 02:24:17
