,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,70,2,2,2018-07-03 00:04:16,2018-07-03,Market Cap (intraday) 5,14.92B
1,70,2,2,2018-07-03 00:04:16,2018-07-03,Enterprise Value 3,23.89B
2,70,2,2,2018-07-03 00:04:16,2018-07-03,Trailing P/E,26.16
3,70,2,2,2018-07-03 00:04:16,2018-07-03,Forward P/E 1,18.95
4,70,2,2,2018-07-03 00:04:16,2018-07-03,PEG Ratio (5 yr expected) 1,3.18
5,70,2,2,2018-07-03 00:04:16,2018-07-03,Price/Sales (ttm),2.47
6,70,2,2,2018-07-03 00:04:16,2018-07-03,Price/Book (mrq),2.06
7,70,2,2,2018-07-03 00:04:16,2018-07-03,Enterprise Value/Revenue 3,3.96
8,70,2,2,2018-07-03 00:04:16,2018-07-03,Enterprise Value/EBITDA 6,9.73
0,70,3,2,2018-07-03 00:04:16,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,70,3,2,2018-07-03 00:04:16,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,70,3,2,2018-07-03 00:04:16,2018-07-03,Profit Margin,9.48%
1,70,3,2,2018-07-03 00:04:16,2018-07-03,Operating Margin (ttm),24.69%
0,70,3,2,2018-07-03 00:04:16,2018-07-03,Return on Assets (ttm),3.66%
1,70,3,2,2018-07-03 00:04:16,2018-07-03,Return on Equity (ttm),7.93%
0,70,3,2,2018-07-03 00:04:16,2018-07-03,Revenue (ttm),6.03B
1,70,3,2,2018-07-03 00:04:16,2018-07-03,Revenue Per Share (ttm),24.85
2,70,3,2,2018-07-03 00:04:16,2018-07-03,Quarterly Revenue Growth (yoy),4.40%
3,70,3,2,2018-07-03 00:04:16,2018-07-03,Gross Profit (ttm),2.83B
4,70,3,2,2018-07-03 00:04:16,2018-07-03,EBITDA,2.45B
5,70,3,2,2018-07-03 00:04:16,2018-07-03,Net Income Avi to Common (ttm),572M
6,70,3,2,2018-07-03 00:04:16,2018-07-03,Diluted EPS (ttm),2.34
7,70,3,2,2018-07-03 00:04:16,2018-07-03,Quarterly Earnings Growth (yoy),48.00%
0,70,3,2,2018-07-03 00:04:16,2018-07-03,Total Cash (mrq),30M
1,70,3,2,2018-07-03 00:04:16,2018-07-03,Total Cash Per Share (mrq),0.12
2,70,3,2,2018-07-03 00:04:16,2018-07-03,Total Debt (mrq),8.9B
3,70,3,2,2018-07-03 00:04:16,2018-07-03,Total Debt/Equity (mrq),120.67
4,70,3,2,2018-07-03 00:04:16,2018-07-03,Current Ratio (mrq),0.47
5,70,3,2,2018-07-03 00:04:16,2018-07-03,Book Value Per Share (mrq),29.68
0,70,3,2,2018-07-03 00:04:16,2018-07-03,Operating Cash Flow (ttm),2.03B
1,70,3,2,2018-07-03 00:04:16,2018-07-03,Levered Free Cash Flow (ttm),-612M
0,70,4,2,2018-07-03 00:04:16,2018-07-03,Beta,0.21
1,70,4,2,2018-07-03 00:04:16,2018-07-03,52-Week Change 3,∞%
2,70,4,2,2018-07-03 00:04:16,2018-07-03,S&P500 52-Week Change 3,11.91%
3,70,4,2,2018-07-03 00:04:16,2018-07-03,52 Week High 3,61.28
4,70,4,2,2018-07-03 00:04:16,2018-07-03,52 Week Low 3,51.89
5,70,4,2,2018-07-03 00:04:16,2018-07-03,50-Day Moving Average 3,57.79
6,70,4,2,2018-07-03 00:04:16,2018-07-03,200-Day Moving Average 3,56.37
0,70,4,2,2018-07-03 00:04:16,2018-07-03,Avg Vol (3 month) 3,1.63M
1,70,4,2,2018-07-03 00:04:16,2018-07-03,Avg Vol (10 day) 3,1.86M
2,70,4,2,2018-07-03 00:04:16,2018-07-03,Shares Outstanding 5,243.65M
3,70,4,2,2018-07-03 00:04:16,2018-07-03,Float,242.6M
4,70,4,2,2018-07-03 00:04:16,2018-07-03,% Held by Insiders 1,0.36%
5,70,4,2,2018-07-03 00:04:16,2018-07-03,% Held by Institutions 1,70.42%
6,70,4,2,2018-07-03 00:04:16,2018-07-03,Shares Short 3,3.57M
7,70,4,2,2018-07-03 00:04:16,2018-07-03,Short Ratio 3,1.99
8,70,4,2,2018-07-03 00:04:16,2018-07-03,Short % of Float 3,1.65%
9,70,4,2,2018-07-03 00:04:16,2018-07-03,Shares Short (prior month) 3,3.18M
0,70,4,2,2018-07-03 00:04:16,2018-07-03,Forward Annual Dividend Rate 4,1.83
1,70,4,2,2018-07-03 00:04:16,2018-07-03,Forward Annual Dividend Yield 4,3.01%
2,70,4,2,2018-07-03 00:04:16,2018-07-03,Trailing Annual Dividend Rate 3,1.79
3,70,4,2,2018-07-03 00:04:16,2018-07-03,Trailing Annual Dividend Yield 3,2.95%
4,70,4,2,2018-07-03 00:04:16,2018-07-03,5 Year Average Dividend Yield 4,3.62
5,70,4,2,2018-07-03 00:04:16,2018-07-03,Payout Ratio 4,76.71%
6,70,4,2,2018-07-03 00:04:16,2018-07-03,Dividend Date 3,"Jun 29, 2018"
7,70,4,2,2018-07-03 00:04:16,2018-07-03,Ex-Dividend Date 4,"Jun 12, 2018"
8,70,4,2,2018-07-03 00:04:16,2018-07-03,Last Split Factor (new per old) 2,
9,70,4,2,2018-07-03 00:04:16,2018-07-03,Last Split Date 3,
