,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,74,2,2,2018-07-03 00:05:45,2018-07-03,Market Cap (intraday) 5,60.74B
1,74,2,2,2018-07-03 00:05:45,2018-07-03,Enterprise Value 3,61.34B
2,74,2,2,2018-07-03 00:05:45,2018-07-03,Trailing P/E,17.62
3,74,2,2,2018-07-03 00:05:45,2018-07-03,Forward P/E 1,15.36
4,74,2,2,2018-07-03 00:05:45,2018-07-03,PEG Ratio (5 yr expected) 1,1.68
5,74,2,2,2018-07-03 00:05:45,2018-07-03,Price/Sales (ttm),1.00
6,74,2,2,2018-07-03 00:05:45,2018-07-03,Price/Book (mrq),3.70
7,74,2,2,2018-07-03 00:05:45,2018-07-03,Enterprise Value/Revenue 3,1.01
8,74,2,2,2018-07-03 00:05:45,2018-07-03,Enterprise Value/EBITDA 6,9.79
0,74,3,2,2018-07-03 00:05:45,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,74,3,2,2018-07-03 00:05:45,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,74,3,2,2018-07-03 00:05:45,2018-07-03,Profit Margin,5.76%
1,74,3,2,2018-07-03 00:05:45,2018-07-03,Operating Margin (ttm),9.21%
0,74,3,2,2018-07-03 00:05:45,2018-07-03,Return on Assets (ttm),6.05%
1,74,3,2,2018-07-03 00:05:45,2018-07-03,Return on Equity (ttm),22.60%
0,74,3,2,2018-07-03 00:05:45,2018-07-03,Revenue (ttm),60.71B
1,74,3,2,2018-07-03 00:05:45,2018-07-03,Revenue Per Share (ttm),184.43
2,74,3,2,2018-07-03 00:05:45,2018-07-03,Quarterly Revenue Growth (yoy),1.10%
3,74,3,2,2018-07-03 00:05:45,2018-07-03,Gross Profit (ttm),15.91B
4,74,3,2,2018-07-03 00:05:45,2018-07-03,EBITDA,6.27B
5,74,3,2,2018-07-03 00:05:45,2018-07-03,Net Income Avi to Common (ttm),3.49B
6,74,3,2,2018-07-03 00:05:45,2018-07-03,Diluted EPS (ttm),10.54
7,74,3,2,2018-07-03 00:05:45,2018-07-03,Quarterly Earnings Growth (yoy),
0,74,3,2,2018-07-03 00:05:45,2018-07-03,Total Cash (mrq),10.27B
1,74,3,2,2018-07-03 00:05:45,2018-07-03,Total Cash Per Share (mrq),31.39
2,74,3,2,2018-07-03 00:05:45,2018-07-03,Total Debt (mrq),9.16B
3,74,3,2,2018-07-03 00:05:45,2018-07-03,Total Debt/Equity (mrq),54.96
4,74,3,2,2018-07-03 00:05:45,2018-07-03,Current Ratio (mrq),1.04
5,74,3,2,2018-07-03 00:05:45,2018-07-03,Book Value Per Share (mrq),50.13
0,74,3,2,2018-07-03 00:05:45,2018-07-03,Operating Cash Flow (ttm),1.98B
1,74,3,2,2018-07-03 00:05:45,2018-07-03,Levered Free Cash Flow (ttm),1.99B
0,74,4,2,2018-07-03 00:05:45,2018-07-03,Beta,0.65
1,74,4,2,2018-07-03 00:05:45,2018-07-03,52-Week Change 3,20.41%
2,74,4,2,2018-07-03 00:05:45,2018-07-03,S&P500 52-Week Change 3,11.91%
3,74,4,2,2018-07-03 00:05:45,2018-07-03,52 Week High 3,194.40
4,74,4,2,2018-07-03 00:05:45,2018-07-03,52 Week Low 3,149.69
5,74,4,2,2018-07-03 00:05:45,2018-07-03,50-Day Moving Average 3,181.84
6,74,4,2,2018-07-03 00:05:45,2018-07-03,200-Day Moving Average 3,179.01
0,74,4,2,2018-07-03 00:05:45,2018-07-03,Avg Vol (3 month) 3,2.1M
1,74,4,2,2018-07-03 00:05:45,2018-07-03,Avg Vol (10 day) 3,1.88M
2,74,4,2,2018-07-03 00:05:45,2018-07-03,Shares Outstanding 5,327.1M
3,74,4,2,2018-07-03 00:05:45,2018-07-03,Float,318.86M
4,74,4,2,2018-07-03 00:05:45,2018-07-03,% Held by Insiders 1,0.39%
5,74,4,2,2018-07-03 00:05:45,2018-07-03,% Held by Institutions 1,86.83%
6,74,4,2,2018-07-03 00:05:45,2018-07-03,Shares Short 3,5.17M
7,74,4,2,2018-07-03 00:05:45,2018-07-03,Short Ratio 3,2.65
8,74,4,2,2018-07-03 00:05:45,2018-07-03,Short % of Float 3,1.69%
9,74,4,2,2018-07-03 00:05:45,2018-07-03,Shares Short (prior month) 3,4.38M
0,74,4,2,2018-07-03 00:05:45,2018-07-03,Forward Annual Dividend Rate 4,2
1,74,4,2,2018-07-03 00:05:45,2018-07-03,Forward Annual Dividend Yield 4,1.05%
2,74,4,2,2018-07-03 00:05:45,2018-07-03,Trailing Annual Dividend Rate 3,2.00
3,74,4,2,2018-07-03 00:05:45,2018-07-03,Trailing Annual Dividend Yield 3,1.09%
4,74,4,2,2018-07-03 00:05:45,2018-07-03,5 Year Average Dividend Yield 4,0.99
5,74,4,2,2018-07-03 00:05:45,2018-07-03,Payout Ratio 4,19.12%
6,74,4,2,2018-07-03 00:05:45,2018-07-03,Dividend Date 3,"Aug 1, 2018"
7,74,4,2,2018-07-03 00:05:45,2018-07-03,Ex-Dividend Date 4,"Jul 24, 2018"
8,74,4,2,2018-07-03 00:05:45,2018-07-03,Last Split Factor (new per old) 2,2/1
9,74,4,2,2018-07-03 00:05:45,2018-07-03,Last Split Date 3,"Feb 21, 2006"
