,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,82,2,2,2018-07-03 00:08:40,2018-07-03,Market Cap (intraday) 5,33.2B
1,82,2,2,2018-07-03 00:08:40,2018-07-03,Enterprise Value 3,40.87B
2,82,2,2,2018-07-03 00:08:40,2018-07-03,Trailing P/E,7.18
3,82,2,2,2018-07-03 00:08:40,2018-07-03,Forward P/E 1,10.38
4,82,2,2,2018-07-03 00:08:40,2018-07-03,PEG Ratio (5 yr expected) 1,1.01
5,82,2,2,2018-07-03 00:08:40,2018-07-03,Price/Sales (ttm),1.51
6,82,2,2,2018-07-03 00:08:40,2018-07-03,Price/Book (mrq),1.37
7,82,2,2,2018-07-03 00:08:40,2018-07-03,Enterprise Value/Revenue 3,1.86
8,82,2,2,2018-07-03 00:08:40,2018-07-03,Enterprise Value/EBITDA 6,9.02
0,82,3,2,2018-07-03 00:08:40,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,82,3,2,2018-07-03 00:08:40,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,82,3,2,2018-07-03 00:08:40,2018-07-03,Profit Margin,21.53%
1,82,3,2,2018-07-03 00:08:40,2018-07-03,Operating Margin (ttm),20.38%
0,82,3,2,2018-07-03 00:08:40,2018-07-03,Return on Assets (ttm),1.99%
1,82,3,2,2018-07-03 00:08:40,2018-07-03,Return on Equity (ttm),21.19%
0,82,3,2,2018-07-03 00:08:40,2018-07-03,Revenue (ttm),21.96B
1,82,3,2,2018-07-03 00:08:40,2018-07-03,Revenue Per Share (ttm),27.94
2,82,3,2,2018-07-03 00:08:40,2018-07-03,Quarterly Revenue Growth (yoy),2.90%
3,82,3,2,2018-07-03 00:08:40,2018-07-03,Gross Profit (ttm),8.17B
4,82,3,2,2018-07-03 00:08:40,2018-07-03,EBITDA,4.53B
5,82,3,2,2018-07-03 00:08:40,2018-07-03,Net Income Avi to Common (ttm),4.73B
6,82,3,2,2018-07-03 00:08:40,2018-07-03,Diluted EPS (ttm),5.97
7,82,3,2,2018-07-03 00:08:40,2018-07-03,Quarterly Earnings Growth (yoy),21.10%
0,82,3,2,2018-07-03 00:08:40,2018-07-03,Total Cash (mrq),4.08B
1,82,3,2,2018-07-03 00:08:40,2018-07-03,Total Cash Per Share (mrq),5.27
2,82,3,2,2018-07-03 00:08:40,2018-07-03,Total Debt (mrq),10.74B
3,82,3,2,2018-07-03 00:08:40,2018-07-03,Total Debt/Equity (mrq),44.22
4,82,3,2,2018-07-03 00:08:40,2018-07-03,Current Ratio (mrq),0.36
5,82,3,2,2018-07-03 00:08:40,2018-07-03,Book Value Per Share (mrq),31.31
0,82,3,2,2018-07-03 00:08:40,2018-07-03,Operating Cash Flow (ttm),5.61B
1,82,3,2,2018-07-03 00:08:40,2018-07-03,Levered Free Cash Flow (ttm),1.15B
0,82,4,2,2018-07-03 00:08:40,2018-07-03,Beta,0.79
1,82,4,2,2018-07-03 00:08:40,2018-07-03,52-Week Change 3,9.72%
2,82,4,2,2018-07-03 00:08:40,2018-07-03,S&P500 52-Week Change 3,11.91%
3,82,4,2,2018-07-03 00:08:40,2018-07-03,52 Week High 3,46.19
4,82,4,2,2018-07-03 00:08:40,2018-07-03,52 Week Low 3,38.31
5,82,4,2,2018-07-03 00:08:40,2018-07-03,50-Day Moving Average 3,45.07
6,82,4,2,2018-07-03 00:08:40,2018-07-03,200-Day Moving Average 3,44.54
0,82,4,2,2018-07-03 00:08:40,2018-07-03,Avg Vol (3 month) 3,3.18M
1,82,4,2,2018-07-03 00:08:40,2018-07-03,Avg Vol (10 day) 3,3.06M
2,82,4,2,2018-07-03 00:08:40,2018-07-03,Shares Outstanding 5,774.17M
3,82,4,2,2018-07-03 00:08:40,2018-07-03,Float,764.54M
4,82,4,2,2018-07-03 00:08:40,2018-07-03,% Held by Insiders 1,2.14%
5,82,4,2,2018-07-03 00:08:40,2018-07-03,% Held by Institutions 1,70.44%
6,82,4,2,2018-07-03 00:08:40,2018-07-03,Shares Short 3,14.52M
7,82,4,2,2018-07-03 00:08:40,2018-07-03,Short Ratio 3,4.49
8,82,4,2,2018-07-03 00:08:40,2018-07-03,Short % of Float 3,1.90%
9,82,4,2,2018-07-03 00:08:40,2018-07-03,Shares Short (prior month) 3,13.23M
0,82,4,2,2018-07-03 00:08:40,2018-07-03,Forward Annual Dividend Rate 4,1.04
1,82,4,2,2018-07-03 00:08:40,2018-07-03,Forward Annual Dividend Yield 4,2.35%
2,82,4,2,2018-07-03 00:08:40,2018-07-03,Trailing Annual Dividend Rate 3,0.91
3,82,4,2,2018-07-03 00:08:40,2018-07-03,Trailing Annual Dividend Yield 3,2.12%
4,82,4,2,2018-07-03 00:08:40,2018-07-03,5 Year Average Dividend Yield 4,2.32
5,82,4,2,2018-07-03 00:08:40,2018-07-03,Payout Ratio 4,15.38%
6,82,4,2,2018-07-03 00:08:40,2018-07-03,Dividend Date 3,"Jun 1, 2018"
7,82,4,2,2018-07-03 00:08:40,2018-07-03,Ex-Dividend Date 4,"May 22, 2018"
8,82,4,2,2018-07-03 00:08:40,2018-07-03,Last Split Factor (new per old) 2,2/1
9,82,4,2,2018-07-03 00:08:40,2018-07-03,Last Split Date 3,"Mar 19, 2018"
