,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,78,2,2,2018-07-03 00:07:13,2018-07-03,Market Cap (intraday) 5,6.99B
1,78,2,2,2018-07-03 00:07:13,2018-07-03,Enterprise Value 3,11.58B
2,78,2,2,2018-07-03 00:07:13,2018-07-03,Trailing P/E,17.44
3,78,2,2,2018-07-03 00:07:13,2018-07-03,Forward P/E 1,84.04
4,78,2,2,2018-07-03 00:07:13,2018-07-03,PEG Ratio (5 yr expected) 1,6.32
5,78,2,2,2018-07-03 00:07:13,2018-07-03,Price/Sales (ttm),7.04
6,78,2,2,2018-07-03 00:07:13,2018-07-03,Price/Book (mrq),4.28
7,78,2,2,2018-07-03 00:07:13,2018-07-03,Enterprise Value/Revenue 3,11.67
8,78,2,2,2018-07-03 00:07:13,2018-07-03,Enterprise Value/EBITDA 6,19.53
0,78,3,2,2018-07-03 00:07:13,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,78,3,2,2018-07-03 00:07:13,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,78,3,2,2018-07-03 00:07:13,2018-07-03,Profit Margin,38.87%
1,78,3,2,2018-07-03 00:07:13,2018-07-03,Operating Margin (ttm),22.71%
0,78,3,2,2018-07-03 00:07:13,2018-07-03,Return on Assets (ttm),2.27%
1,78,3,2,2018-07-03 00:07:13,2018-07-03,Return on Equity (ttm),22.99%
0,78,3,2,2018-07-03 00:07:13,2018-07-03,Revenue (ttm),992.6M
1,78,3,2,2018-07-03 00:07:13,2018-07-03,Revenue Per Share (ttm),6.35
2,78,3,2,2018-07-03 00:07:13,2018-07-03,Quarterly Revenue Growth (yoy),0.20%
3,78,3,2,2018-07-03 00:07:13,2018-07-03,Gross Profit (ttm),651.06M
4,78,3,2,2018-07-03 00:07:13,2018-07-03,EBITDA,592.82M
5,78,3,2,2018-07-03 00:07:13,2018-07-03,Net Income Avi to Common (ttm),376.9M
6,78,3,2,2018-07-03 00:07:13,2018-07-03,Diluted EPS (ttm),2.41
7,78,3,2,2018-07-03 00:07:13,2018-07-03,Quarterly Earnings Growth (yoy),511.70%
0,78,3,2,2018-07-03 00:07:13,2018-07-03,Total Cash (mrq),70.27M
1,78,3,2,2018-07-03 00:07:13,2018-07-03,Total Cash Per Share (mrq),0.45
2,78,3,2,2018-07-03 00:07:13,2018-07-03,Total Debt (mrq),4.26B
3,78,3,2,2018-07-03 00:07:13,2018-07-03,Total Debt/Equity (mrq),241.27
4,78,3,2,2018-07-03 00:07:13,2018-07-03,Current Ratio (mrq),0.29
5,78,3,2,2018-07-03 00:07:13,2018-07-03,Book Value Per Share (mrq),9.82
0,78,3,2,2018-07-03 00:07:13,2018-07-03,Operating Cash Flow (ttm),401.86M
1,78,3,2,2018-07-03 00:07:13,2018-07-03,Levered Free Cash Flow (ttm),16.54M
0,78,4,2,2018-07-03 00:07:13,2018-07-03,Beta,0.76
1,78,4,2,2018-07-03 00:07:13,2018-07-03,52-Week Change 3,-2.04%
2,78,4,2,2018-07-03 00:07:13,2018-07-03,S&P500 52-Week Change 3,11.91%
3,78,4,2,2018-07-03 00:07:13,2018-07-03,52 Week High 3,46.72
4,78,4,2,2018-07-03 00:07:13,2018-07-03,52 Week Low 3,37.97
5,78,4,2,2018-07-03 00:07:13,2018-07-03,50-Day Moving Average 3,40.87
6,78,4,2,2018-07-03 00:07:13,2018-07-03,200-Day Moving Average 3,40.75
0,78,4,2,2018-07-03 00:07:13,2018-07-03,Avg Vol (3 month) 3,959.95k
1,78,4,2,2018-07-03 00:07:13,2018-07-03,Avg Vol (10 day) 3,1.07M
2,78,4,2,2018-07-03 00:07:13,2018-07-03,Shares Outstanding 5,157.35M
3,78,4,2,2018-07-03 00:07:13,2018-07-03,Float,155.68M
4,78,4,2,2018-07-03 00:07:13,2018-07-03,% Held by Insiders 1,0.99%
5,78,4,2,2018-07-03 00:07:13,2018-07-03,% Held by Institutions 1,102.93%
6,78,4,2,2018-07-03 00:07:13,2018-07-03,Shares Short 3,3.4M
7,78,4,2,2018-07-03 00:07:13,2018-07-03,Short Ratio 3,3.78
8,78,4,2,2018-07-03 00:07:13,2018-07-03,Short % of Float 3,3.10%
9,78,4,2,2018-07-03 00:07:13,2018-07-03,Shares Short (prior month) 3,4.47M
0,78,4,2,2018-07-03 00:07:13,2018-07-03,Forward Annual Dividend Rate 4,1.52
1,78,4,2,2018-07-03 00:07:13,2018-07-03,Forward Annual Dividend Yield 4,3.59%
2,78,4,2,2018-07-03 00:07:13,2018-07-03,Trailing Annual Dividend Rate 3,1.48
3,78,4,2,2018-07-03 00:07:13,2018-07-03,Trailing Annual Dividend Yield 3,3.50%
4,78,4,2,2018-07-03 00:07:13,2018-07-03,5 Year Average Dividend Yield 4,3.11
5,78,4,2,2018-07-03 00:07:13,2018-07-03,Payout Ratio 4,859.77%
6,78,4,2,2018-07-03 00:07:13,2018-07-03,Dividend Date 3,"May 31, 2018"
7,78,4,2,2018-07-03 00:07:13,2018-07-03,Ex-Dividend Date 4,"May 17, 2018"
8,78,4,2,2018-07-03 00:07:13,2018-07-03,Last Split Factor (new per old) 2,5/4
9,78,4,2,2018-07-03 00:07:13,2018-07-03,Last Split Date 3,"Jun 9, 2011"
