,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,79,2,2,2018-07-03 00:07:35,2018-07-03,Market Cap (intraday) 5,32.22B
1,79,2,2,2018-07-03 00:07:35,2018-07-03,Enterprise Value 3,35.39B
2,79,2,2,2018-07-03 00:07:35,2018-07-03,Trailing P/E,9.97
3,79,2,2,2018-07-03 00:07:35,2018-07-03,Forward P/E 1,10.37
4,79,2,2,2018-07-03 00:07:35,2018-07-03,PEG Ratio (5 yr expected) 1,0.91
5,79,2,2,2018-07-03 00:07:35,2018-07-03,Price/Sales (ttm),0.83
6,79,2,2,2018-07-03 00:07:35,2018-07-03,Price/Book (mrq),1.54
7,79,2,2,2018-07-03 00:07:35,2018-07-03,Enterprise Value/Revenue 3,0.92
8,79,2,2,2018-07-03 00:07:35,2018-07-03,Enterprise Value/EBITDA 6,6.74
0,79,3,2,2018-07-03 00:07:35,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,79,3,2,2018-07-03 00:07:35,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,79,3,2,2018-07-03 00:07:35,2018-07-03,Profit Margin,8.98%
1,79,3,2,2018-07-03 00:07:35,2018-07-03,Operating Margin (ttm),12.32%
0,79,3,2,2018-07-03 00:07:35,2018-07-03,Return on Assets (ttm),2.66%
1,79,3,2,2018-07-03 00:07:35,2018-07-03,Return on Equity (ttm),15.61%
0,79,3,2,2018-07-03 00:07:35,2018-07-03,Revenue (ttm),38.65B
1,79,3,2,2018-07-03 00:07:35,2018-07-03,Revenue Per Share (ttm),107.63
2,79,3,2,2018-07-03 00:07:35,2018-07-03,Quarterly Revenue Growth (yoy),1.30%
3,79,3,2,2018-07-03 00:07:35,2018-07-03,Gross Profit (ttm),14.67B
4,79,3,2,2018-07-03 00:07:35,2018-07-03,EBITDA,5.25B
5,79,3,2,2018-07-03 00:07:35,2018-07-03,Net Income Avi to Common (ttm),3.35B
6,79,3,2,2018-07-03 00:07:35,2018-07-03,Diluted EPS (ttm),9.20
7,79,3,2,2018-07-03 00:07:35,2018-07-03,Quarterly Earnings Growth (yoy),40.30%
0,79,3,2,2018-07-03 00:07:35,2018-07-03,Total Cash (mrq),3.87B
1,79,3,2,2018-07-03 00:07:35,2018-07-03,Total Cash Per Share (mrq),11.02
2,79,3,2,2018-07-03 00:07:35,2018-07-03,Total Debt (mrq),6.85B
3,79,3,2,2018-07-03 00:07:35,2018-07-03,Total Debt/Equity (mrq),29.41
4,79,3,2,2018-07-03 00:07:35,2018-07-03,Current Ratio (mrq),0.48
5,79,3,2,2018-07-03 00:07:35,2018-07-03,Book Value Per Share (mrq),59.58
0,79,3,2,2018-07-03 00:07:35,2018-07-03,Operating Cash Flow (ttm),4.08B
1,79,3,2,2018-07-03 00:07:35,2018-07-03,Levered Free Cash Flow (ttm),3.39B
0,79,4,2,2018-07-03 00:07:35,2018-07-03,Beta,0.90
1,79,4,2,2018-07-03 00:07:35,2018-07-03,52-Week Change 3,2.98%
2,79,4,2,2018-07-03 00:07:35,2018-07-03,S&P500 52-Week Change 3,11.91%
3,79,4,2,2018-07-03 00:07:35,2018-07-03,52 Week High 3,105.36
4,79,4,2,2018-07-03 00:07:35,2018-07-03,52 Week Low 3,85.59
5,79,4,2,2018-07-03 00:07:35,2018-07-03,50-Day Moving Average 3,93.69
6,79,4,2,2018-07-03 00:07:35,2018-07-03,200-Day Moving Average 3,96.56
0,79,4,2,2018-07-03 00:07:35,2018-07-03,Avg Vol (3 month) 3,1.94M
1,79,4,2,2018-07-03 00:07:35,2018-07-03,Avg Vol (10 day) 3,2.17M
2,79,4,2,2018-07-03 00:07:35,2018-07-03,Shares Outstanding 5,351.49M
3,79,4,2,2018-07-03 00:07:35,2018-07-03,Float,350.24M
4,79,4,2,2018-07-03 00:07:35,2018-07-03,% Held by Insiders 1,0.32%
5,79,4,2,2018-07-03 00:07:35,2018-07-03,% Held by Institutions 1,79.20%
6,79,4,2,2018-07-03 00:07:35,2018-07-03,Shares Short 3,6.13M
7,79,4,2,2018-07-03 00:07:35,2018-07-03,Short Ratio 3,3.22
8,79,4,2,2018-07-03 00:07:35,2018-07-03,Short % of Float 3,1.74%
9,79,4,2,2018-07-03 00:07:35,2018-07-03,Shares Short (prior month) 3,5.79M
0,79,4,2,2018-07-03 00:07:35,2018-07-03,Forward Annual Dividend Rate 4,1.84
1,79,4,2,2018-07-03 00:07:35,2018-07-03,Forward Annual Dividend Yield 4,1.99%
2,79,4,2,2018-07-03 00:07:35,2018-07-03,Trailing Annual Dividend Rate 3,1.57
3,79,4,2,2018-07-03 00:07:35,2018-07-03,Trailing Annual Dividend Yield 3,1.72%
4,79,4,2,2018-07-03 00:07:35,2018-07-03,5 Year Average Dividend Yield 4,1.76
5,79,4,2,2018-07-03 00:07:35,2018-07-03,Payout Ratio 4,17.07%
6,79,4,2,2018-07-03 00:07:35,2018-07-03,Dividend Date 3,"Jul 2, 2018"
7,79,4,2,2018-07-03 00:07:35,2018-07-03,Ex-Dividend Date 4,"May 30, 2018"
8,79,4,2,2018-07-03 00:07:35,2018-07-03,Last Split Factor (new per old) 2,2/1
9,79,4,2,2018-07-03 00:07:35,2018-07-03,Last Split Date 3,"Jul 2, 1998"
