,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,81,2,2,2018-07-03 00:08:17,2018-07-03,Market Cap (intraday) 5,27.81B
1,81,2,2,2018-07-03 00:08:17,2018-07-03,Enterprise Value 3,29.21B
2,81,2,2,2018-07-03 00:08:17,2018-07-03,Trailing P/E,53.76
3,81,2,2,2018-07-03 00:08:17,2018-07-03,Forward P/E 1,14.65
4,81,2,2,2018-07-03 00:08:17,2018-07-03,PEG Ratio (5 yr expected) 1,1.00
5,81,2,2,2018-07-03 00:08:17,2018-07-03,Price/Sales (ttm),7.70
6,81,2,2,2018-07-03 00:08:17,2018-07-03,Price/Book (mrq),3.05
7,81,2,2,2018-07-03 00:08:17,2018-07-03,Enterprise Value/Revenue 3,8.09
8,81,2,2,2018-07-03 00:08:17,2018-07-03,Enterprise Value/EBITDA 6,18.63
0,81,3,2,2018-07-03 00:08:17,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,81,3,2,2018-07-03 00:08:17,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,81,3,2,2018-07-03 00:08:17,2018-07-03,Profit Margin,14.46%
1,81,3,2,2018-07-03 00:08:17,2018-07-03,Operating Margin (ttm),29.86%
0,81,3,2,2018-07-03 00:08:17,2018-07-03,Return on Assets (ttm),4.95%
1,81,3,2,2018-07-03 00:08:17,2018-07-03,Return on Equity (ttm),5.81%
0,81,3,2,2018-07-03 00:08:17,2018-07-03,Revenue (ttm),3.61B
1,81,3,2,2018-07-03 00:08:17,2018-07-03,Revenue Per Share (ttm),16.18
2,81,3,2,2018-07-03 00:08:17,2018-07-03,Quarterly Revenue Growth (yoy),7.00%
3,81,3,2,2018-07-03 00:08:17,2018-07-03,Gross Profit (ttm),3.25B
4,81,3,2,2018-07-03 00:08:17,2018-07-03,EBITDA,1.57B
5,81,3,2,2018-07-03 00:08:17,2018-07-03,Net Income Avi to Common (ttm),522.3M
6,81,3,2,2018-07-03 00:08:17,2018-07-03,Diluted EPS (ttm),2.33
7,81,3,2,2018-07-03 00:08:17,2018-07-03,Quarterly Earnings Growth (yoy),46.40%
0,81,3,2,2018-07-03 00:08:17,2018-07-03,Total Cash (mrq),1.61B
1,81,3,2,2018-07-03 00:08:17,2018-07-03,Total Cash Per Share (mrq),7.22
2,81,3,2,2018-07-03 00:08:17,2018-07-03,Total Debt (mrq),3.2B
3,81,3,2,2018-07-03 00:08:17,2018-07-03,Total Debt/Equity (mrq),35.08
4,81,3,2,2018-07-03 00:08:17,2018-07-03,Current Ratio (mrq),3.35
5,81,3,2,2018-07-03 00:08:17,2018-07-03,Book Value Per Share (mrq),40.96
0,81,3,2,2018-07-03 00:08:17,2018-07-03,Operating Cash Flow (ttm),1.11B
1,81,3,2,2018-07-03 00:08:17,2018-07-03,Levered Free Cash Flow (ttm),830.05M
0,81,4,2,2018-07-03 00:08:17,2018-07-03,Beta,1.05
1,81,4,2,2018-07-03 00:08:17,2018-07-03,52-Week Change 3,2.54%
2,81,4,2,2018-07-03 00:08:17,2018-07-03,S&P500 52-Week Change 3,11.91%
3,81,4,2,2018-07-03 00:08:17,2018-07-03,52 Week High 3,149.34
4,81,4,2,2018-07-03 00:08:17,2018-07-03,52 Week Low 3,102.10
5,81,4,2,2018-07-03 00:08:17,2018-07-03,50-Day Moving Average 3,120.31
6,81,4,2,2018-07-03 00:08:17,2018-07-03,200-Day Moving Average 3,118.13
0,81,4,2,2018-07-03 00:08:17,2018-07-03,Avg Vol (3 month) 3,1.63M
1,81,4,2,2018-07-03 00:08:17,2018-07-03,Avg Vol (10 day) 3,1.43M
2,81,4,2,2018-07-03 00:08:17,2018-07-03,Shares Outstanding 5,222.5M
3,81,4,2,2018-07-03 00:08:17,2018-07-03,Float,221.41M
4,81,4,2,2018-07-03 00:08:17,2018-07-03,% Held by Insiders 1,0.46%
5,81,4,2,2018-07-03 00:08:17,2018-07-03,% Held by Institutions 1,96.19%
6,81,4,2,2018-07-03 00:08:17,2018-07-03,Shares Short 3,3.99M
7,81,4,2,2018-07-03 00:08:17,2018-07-03,Short Ratio 3,3.36
8,81,4,2,2018-07-03 00:08:17,2018-07-03,Short % of Float 3,1.87%
9,81,4,2,2018-07-03 00:08:17,2018-07-03,Shares Short (prior month) 3,5.01M
0,81,4,2,2018-07-03 00:08:17,2018-07-03,Forward Annual Dividend Rate 4,
1,81,4,2,2018-07-03 00:08:17,2018-07-03,Forward Annual Dividend Yield 4,
2,81,4,2,2018-07-03 00:08:17,2018-07-03,Trailing Annual Dividend Rate 3,
3,81,4,2,2018-07-03 00:08:17,2018-07-03,Trailing Annual Dividend Yield 3,
4,81,4,2,2018-07-03 00:08:17,2018-07-03,5 Year Average Dividend Yield 4,
5,81,4,2,2018-07-03 00:08:17,2018-07-03,Payout Ratio 4,0.00%
6,81,4,2,2018-07-03 00:08:17,2018-07-03,Dividend Date 3,
7,81,4,2,2018-07-03 00:08:17,2018-07-03,Ex-Dividend Date 4,
8,81,4,2,2018-07-03 00:08:17,2018-07-03,Last Split Factor (new per old) 2,2/1
9,81,4,2,2018-07-03 00:08:17,2018-07-03,Last Split Date 3,"May 23, 2011"
