,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,83,2,2,2018-07-03 00:09:03,2018-07-03,Market Cap (intraday) 5,46.05B
1,83,2,2,2018-07-03 00:09:03,2018-07-03,Enterprise Value 3,46.52B
2,83,2,2,2018-07-03 00:09:03,2018-07-03,Trailing P/E,15.34
3,83,2,2,2018-07-03 00:09:03,2018-07-03,Forward P/E 1,9.80
4,83,2,2,2018-07-03 00:09:03,2018-07-03,PEG Ratio (5 yr expected) 1,0.54
5,83,2,2,2018-07-03 00:09:03,2018-07-03,Price/Sales (ttm),2.79
6,83,2,2,2018-07-03 00:09:03,2018-07-03,Price/Book (mrq),6.54
7,83,2,2,2018-07-03 00:09:03,2018-07-03,Enterprise Value/Revenue 3,2.82
8,83,2,2,2018-07-03 00:09:03,2018-07-03,Enterprise Value/EBITDA 6,9.16
0,83,3,2,2018-07-03 00:09:03,2018-07-03,Fiscal Year Ends,"Oct 29, 2017"
1,83,3,2,2018-07-03 00:09:03,2018-07-03,Most Recent Quarter (mrq),"Apr 29, 2018"
0,83,3,2,2018-07-03 00:09:03,2018-07-03,Profit Margin,19.24%
1,83,3,2,2018-07-03 00:09:03,2018-07-03,Operating Margin (ttm),28.17%
0,83,3,2,2018-07-03 00:09:03,2018-07-03,Return on Assets (ttm),15.80%
1,83,3,2,2018-07-03 00:09:03,2018-07-03,Return on Equity (ttm),41.58%
0,83,3,2,2018-07-03 00:09:03,2018-07-03,Revenue (ttm),16.48B
1,83,3,2,2018-07-03 00:09:03,2018-07-03,Revenue Per Share (ttm),15.62
2,83,3,2,2018-07-03 00:09:03,2018-07-03,Quarterly Revenue Growth (yoy),28.80%
3,83,3,2,2018-07-03 00:09:03,2018-07-03,Gross Profit (ttm),6.53B
4,83,3,2,2018-07-03 00:09:03,2018-07-03,EBITDA,5.08B
5,83,3,2,2018-07-03 00:09:03,2018-07-03,Net Income Avi to Common (ttm),3.17B
6,83,3,2,2018-07-03 00:09:03,2018-07-03,Diluted EPS (ttm),2.98
7,83,3,2,2018-07-03 00:09:03,2018-07-03,Quarterly Earnings Growth (yoy),37.00%
0,83,3,2,2018-07-03 00:09:03,2018-07-03,Total Cash (mrq),5.35B
1,83,3,2,2018-07-03 00:09:03,2018-07-03,Total Cash Per Share (mrq),5.31
2,83,3,2,2018-07-03 00:09:03,2018-07-03,Total Debt (mrq),5.31B
3,83,3,2,2018-07-03 00:09:03,2018-07-03,Total Debt/Equity (mrq),75.35
4,83,3,2,2018-07-03 00:09:03,2018-07-03,Current Ratio (mrq),2.60
5,83,3,2,2018-07-03 00:09:03,2018-07-03,Book Value Per Share (mrq),6.99
0,83,3,2,2018-07-03 00:09:03,2018-07-03,Operating Cash Flow (ttm),3.98B
1,83,3,2,2018-07-03 00:09:03,2018-07-03,Levered Free Cash Flow (ttm),2.32B
0,83,4,2,2018-07-03 00:09:03,2018-07-03,Beta,1.31
1,83,4,2,2018-07-03 00:09:03,2018-07-03,52-Week Change 3,12.63%
2,83,4,2,2018-07-03 00:09:03,2018-07-03,S&P500 52-Week Change 3,11.91%
3,83,4,2,2018-07-03 00:09:03,2018-07-03,52 Week High 3,62.40
4,83,4,2,2018-07-03 00:09:03,2018-07-03,52 Week Low 3,40.98
5,83,4,2,2018-07-03 00:09:03,2018-07-03,50-Day Moving Average 3,50.30
6,83,4,2,2018-07-03 00:09:03,2018-07-03,200-Day Moving Average 3,53.44
0,83,4,2,2018-07-03 00:09:03,2018-07-03,Avg Vol (3 month) 3,14.07M
1,83,4,2,2018-07-03 00:09:03,2018-07-03,Avg Vol (10 day) 3,14.25M
2,83,4,2,2018-07-03 00:09:03,2018-07-03,Shares Outstanding 5,1.01B
3,83,4,2,2018-07-03 00:09:03,2018-07-03,Float,998.64M
4,83,4,2,2018-07-03 00:09:03,2018-07-03,% Held by Insiders 1,0.34%
5,83,4,2,2018-07-03 00:09:03,2018-07-03,% Held by Institutions 1,81.91%
6,83,4,2,2018-07-03 00:09:03,2018-07-03,Shares Short 3,18.3M
7,83,4,2,2018-07-03 00:09:03,2018-07-03,Short Ratio 3,1.11
8,83,4,2,2018-07-03 00:09:03,2018-07-03,Short % of Float 3,1.74%
9,83,4,2,2018-07-03 00:09:03,2018-07-03,Shares Short (prior month) 3,15.04M
0,83,4,2,2018-07-03 00:09:03,2018-07-03,Forward Annual Dividend Rate 4,0.8
1,83,4,2,2018-07-03 00:09:03,2018-07-03,Forward Annual Dividend Yield 4,1.73%
2,83,4,2,2018-07-03 00:09:03,2018-07-03,Trailing Annual Dividend Rate 3,0.50
3,83,4,2,2018-07-03 00:09:03,2018-07-03,Trailing Annual Dividend Yield 3,1.08%
4,83,4,2,2018-07-03 00:09:03,2018-07-03,5 Year Average Dividend Yield 4,1.62
5,83,4,2,2018-07-03 00:09:03,2018-07-03,Payout Ratio 4,13.47%
6,83,4,2,2018-07-03 00:09:03,2018-07-03,Dividend Date 3,"Sep 13, 2018"
7,83,4,2,2018-07-03 00:09:03,2018-07-03,Ex-Dividend Date 4,"Aug 22, 2018"
8,83,4,2,2018-07-03 00:09:03,2018-07-03,Last Split Factor (new per old) 2,2/1
9,83,4,2,2018-07-03 00:09:03,2018-07-03,Last Split Date 3,"Apr 17, 2002"
