,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,463,2,2,2018-07-03 02:32:01,2018-07-03,Market Cap (intraday) 5,14.79B
1,463,2,2,2018-07-03 02:32:01,2018-07-03,Enterprise Value 3,13.74B
2,463,2,2,2018-07-03 02:32:01,2018-07-03,Trailing P/E,54.51
3,463,2,2,2018-07-03 02:32:01,2018-07-03,Forward P/E 1,32.47
4,463,2,2,2018-07-03 02:32:01,2018-07-03,PEG Ratio (5 yr expected) 1,5.34
5,463,2,2,2018-07-03 02:32:01,2018-07-03,Price/Sales (ttm),13.15
6,463,2,2,2018-07-03 02:32:01,2018-07-03,Price/Book (mrq),6.14
7,463,2,2,2018-07-03 02:32:01,2018-07-03,Enterprise Value/Revenue 3,12.22
8,463,2,2,2018-07-03 02:32:01,2018-07-03,Enterprise Value/EBITDA 6,29.98
0,463,3,2,2018-07-03 02:32:01,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,463,3,2,2018-07-03 02:32:01,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,463,3,2,2018-07-03 02:32:01,2018-07-03,Profit Margin,24.92%
1,463,3,2,2018-07-03 02:32:01,2018-07-03,Operating Margin (ttm),34.74%
0,463,3,2,2018-07-03 02:32:01,2018-07-03,Return on Assets (ttm),8.49%
1,463,3,2,2018-07-03 02:32:01,2018-07-03,Return on Equity (ttm),12.13%
0,463,3,2,2018-07-03 02:32:01,2018-07-03,Revenue (ttm),1.12B
1,463,3,2,2018-07-03 02:32:01,2018-07-03,Revenue Per Share (ttm),13.29
2,463,3,2,2018-07-03 02:32:01,2018-07-03,Quarterly Revenue Growth (yoy),11.60%
3,463,3,2,2018-07-03 02:32:01,2018-07-03,Gross Profit (ttm),981.88M
4,463,3,2,2018-07-03 02:32:01,2018-07-03,EBITDA,458.42M
5,463,3,2,2018-07-03 02:32:01,2018-07-03,Net Income Avi to Common (ttm),280.22M
6,463,3,2,2018-07-03 02:32:01,2018-07-03,Diluted EPS (ttm),3.23
7,463,3,2,2018-07-03 02:32:01,2018-07-03,Quarterly Earnings Growth (yoy),33.10%
0,463,3,2,2018-07-03 02:32:01,2018-07-03,Total Cash (mrq),889.77M
1,463,3,2,2018-07-03 02:32:01,2018-07-03,Total Cash Per Share (mrq),10.59
2,463,3,2,2018-07-03 02:32:01,2018-07-03,Total Debt (mrq),
3,463,3,2,2018-07-03 02:32:01,2018-07-03,Total Debt/Equity (mrq),
4,463,3,2,2018-07-03 02:32:01,2018-07-03,Current Ratio (mrq),3.00
5,463,3,2,2018-07-03 02:32:01,2018-07-03,Book Value Per Share (mrq),28.68
0,463,3,2,2018-07-03 02:32:01,2018-07-03,Operating Cash Flow (ttm),436.97M
1,463,3,2,2018-07-03 02:32:01,2018-07-03,Levered Free Cash Flow (ttm),143.1M
0,463,4,2,2018-07-03 02:32:01,2018-07-03,Beta,1.06
1,463,4,2,2018-07-03 02:32:01,2018-07-03,52-Week Change 3,44.58%
2,463,4,2,2018-07-03 02:32:01,2018-07-03,S&P500 52-Week Change 3,11.91%
3,463,4,2,2018-07-03 02:32:01,2018-07-03,52 Week High 3,184.95
4,463,4,2,2018-07-03 02:32:01,2018-07-03,52 Week Low 3,119.20
5,463,4,2,2018-07-03 02:32:01,2018-07-03,50-Day Moving Average 3,170.65
6,463,4,2,2018-07-03 02:32:01,2018-07-03,200-Day Moving Average 3,161.95
0,463,4,2,2018-07-03 02:32:01,2018-07-03,Avg Vol (3 month) 3,474.43k
1,463,4,2,2018-07-03 02:32:01,2018-07-03,Avg Vol (10 day) 3,654.12k
2,463,4,2,2018-07-03 02:32:01,2018-07-03,Shares Outstanding 5,84.02M
3,463,4,2,2018-07-03 02:32:01,2018-07-03,Float,83.46M
4,463,4,2,2018-07-03 02:32:01,2018-07-03,% Held by Insiders 1,1.11%
5,463,4,2,2018-07-03 02:32:01,2018-07-03,% Held by Institutions 1,98.47%
6,463,4,2,2018-07-03 02:32:01,2018-07-03,Shares Short 3,1.82M
7,463,4,2,2018-07-03 02:32:01,2018-07-03,Short Ratio 3,3.96
8,463,4,2,2018-07-03 02:32:01,2018-07-03,Short % of Float 3,2.43%
9,463,4,2,2018-07-03 02:32:01,2018-07-03,Shares Short (prior month) 3,1.69M
0,463,4,2,2018-07-03 02:32:01,2018-07-03,Forward Annual Dividend Rate 4,
1,463,4,2,2018-07-03 02:32:01,2018-07-03,Forward Annual Dividend Yield 4,
2,463,4,2,2018-07-03 02:32:01,2018-07-03,Trailing Annual Dividend Rate 3,
3,463,4,2,2018-07-03 02:32:01,2018-07-03,Trailing Annual Dividend Yield 3,
4,463,4,2,2018-07-03 02:32:01,2018-07-03,5 Year Average Dividend Yield 4,
5,463,4,2,2018-07-03 02:32:01,2018-07-03,Payout Ratio 4,0.00%
6,463,4,2,2018-07-03 02:32:01,2018-07-03,Dividend Date 3,
7,463,4,2,2018-07-03 02:32:01,2018-07-03,Ex-Dividend Date 4,
8,463,4,2,2018-07-03 02:32:01,2018-07-03,Last Split Factor (new per old) 2,2/1
9,463,4,2,2018-07-03 02:32:01,2018-07-03,Last Split Date 3,"Jun 5, 2007"
