,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,94,2,2,2018-07-03 00:13:36,2018-07-03,Market Cap (intraday) 5,33.56B
1,94,2,2,2018-07-03 00:13:36,2018-07-03,Enterprise Value 3,39.18B
2,94,2,2,2018-07-03 00:13:36,2018-07-03,Trailing P/E,22.01
3,94,2,2,2018-07-03 00:13:36,2018-07-03,Forward P/E 1,14.98
4,94,2,2,2018-07-03 00:13:36,2018-07-03,PEG Ratio (5 yr expected) 1,1.15
5,94,2,2,2018-07-03 00:13:36,2018-07-03,Price/Sales (ttm),3.13
6,94,2,2,2018-07-03 00:13:36,2018-07-03,Price/Book (mrq),6.35
7,94,2,2,2018-07-03 00:13:36,2018-07-03,Enterprise Value/Revenue 3,3.66
8,94,2,2,2018-07-03 00:13:36,2018-07-03,Enterprise Value/EBITDA 6,15.74
0,94,3,2,2018-07-03 00:13:36,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,94,3,2,2018-07-03 00:13:36,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,94,3,2,2018-07-03 00:13:36,2018-07-03,Profit Margin,14.28%
1,94,3,2,2018-07-03 00:13:36,2018-07-03,Operating Margin (ttm),20.08%
0,94,3,2,2018-07-03 00:13:36,2018-07-03,Return on Assets (ttm),4.90%
1,94,3,2,2018-07-03 00:13:36,2018-07-03,Return on Equity (ttm),13.81%
0,94,3,2,2018-07-03 00:13:36,2018-07-03,Revenue (ttm),10.71B
1,94,3,2,2018-07-03 00:13:36,2018-07-03,Revenue Per Share (ttm),43.67
2,94,3,2,2018-07-03 00:13:36,2018-07-03,Quarterly Revenue Growth (yoy),29.80%
3,94,3,2,2018-07-03 00:13:36,2018-07-03,Gross Profit (ttm),4.21B
4,94,3,2,2018-07-03 00:13:36,2018-07-03,EBITDA,2.49B
5,94,3,2,2018-07-03 00:13:36,2018-07-03,Net Income Avi to Common (ttm),735M
6,94,3,2,2018-07-03 00:13:36,2018-07-03,Diluted EPS (ttm),6.24
7,94,3,2,2018-07-03 00:13:36,2018-07-03,Quarterly Earnings Growth (yoy),104.10%
0,94,3,2,2018-07-03 00:13:36,2018-07-03,Total Cash (mrq),613M
1,94,3,2,2018-07-03 00:13:36,2018-07-03,Total Cash Per Share (mrq),2.51
2,94,3,2,2018-07-03 00:13:36,2018-07-03,Total Debt (mrq),6.26B
3,94,3,2,2018-07-03 00:13:36,2018-07-03,Total Debt/Equity (mrq),116.17
4,94,3,2,2018-07-03 00:13:36,2018-07-03,Current Ratio (mrq),1.11
5,94,3,2,2018-07-03 00:13:36,2018-07-03,Book Value Per Share (mrq),21.62
0,94,3,2,2018-07-03 00:13:36,2018-07-03,Operating Cash Flow (ttm),634M
1,94,3,2,2018-07-03 00:13:36,2018-07-03,Levered Free Cash Flow (ttm),2.93B
0,94,4,2,2018-07-03 00:13:36,2018-07-03,Beta,0.79
1,94,4,2,2018-07-03 00:13:36,2018-07-03,52-Week Change 3,3.01%
2,94,4,2,2018-07-03 00:13:36,2018-07-03,S&P500 52-Week Change 3,11.91%
3,94,4,2,2018-07-03 00:13:36,2018-07-03,52 Week High 3,152.78
4,94,4,2,2018-07-03 00:13:36,2018-07-03,52 Week Low 3,130.87
5,94,4,2,2018-07-03 00:13:36,2018-07-03,50-Day Moving Average 3,140.17
6,94,4,2,2018-07-03 00:13:36,2018-07-03,200-Day Moving Average 3,140.08
0,94,4,2,2018-07-03 00:13:36,2018-07-03,Avg Vol (3 month) 3,875.58k
1,94,4,2,2018-07-03 00:13:36,2018-07-03,Avg Vol (10 day) 3,950.92k
2,94,4,2,2018-07-03 00:13:36,2018-07-03,Shares Outstanding 5,244.51M
3,94,4,2,2018-07-03 00:13:36,2018-07-03,Float,239.81M
4,94,4,2,2018-07-03 00:13:36,2018-07-03,% Held by Insiders 1,1.07%
5,94,4,2,2018-07-03 00:13:36,2018-07-03,% Held by Institutions 1,90.34%
6,94,4,2,2018-07-03 00:13:36,2018-07-03,Shares Short 3,2.11M
7,94,4,2,2018-07-03 00:13:36,2018-07-03,Short Ratio 3,2.39
8,94,4,2,2018-07-03 00:13:36,2018-07-03,Short % of Float 3,0.87%
9,94,4,2,2018-07-03 00:13:36,2018-07-03,Shares Short (prior month) 3,2.49M
0,94,4,2,2018-07-03 00:13:36,2018-07-03,Forward Annual Dividend Rate 4,1.6
1,94,4,2,2018-07-03 00:13:36,2018-07-03,Forward Annual Dividend Yield 4,1.17%
2,94,4,2,2018-07-03 00:13:36,2018-07-03,Trailing Annual Dividend Rate 3,1.44
3,94,4,2,2018-07-03 00:13:36,2018-07-03,Trailing Annual Dividend Yield 3,1.05%
4,94,4,2,2018-07-03 00:13:36,2018-07-03,5 Year Average Dividend Yield 4,1.05
5,94,4,2,2018-07-03 00:13:36,2018-07-03,Payout Ratio 4,48.98%
6,94,4,2,2018-07-03 00:13:36,2018-07-03,Dividend Date 3,"May 15, 2018"
7,94,4,2,2018-07-03 00:13:36,2018-07-03,Ex-Dividend Date 4,"Apr 30, 2018"
8,94,4,2,2018-07-03 00:13:36,2018-07-03,Last Split Factor (new per old) 2,3/2
9,94,4,2,2018-07-03 00:13:36,2018-07-03,Last Split Date 3,"May 18, 1999"
