,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,97,2,2,2018-07-03 00:14:43,2018-07-03,Market Cap (intraday) 5,23.58B
1,97,2,2,2018-07-03 00:14:43,2018-07-03,Enterprise Value 3,30.72B
2,97,2,2,2018-07-03 00:14:43,2018-07-03,Trailing P/E,30.13
3,97,2,2,2018-07-03 00:14:43,2018-07-03,Forward P/E 1,37.17
4,97,2,2,2018-07-03 00:14:43,2018-07-03,PEG Ratio (5 yr expected) 1,15.55
5,97,2,2,2018-07-03 00:14:43,2018-07-03,Price/Sales (ttm),10.61
6,97,2,2,2018-07-03 00:14:43,2018-07-03,Price/Book (mrq),2.28
7,97,2,2,2018-07-03 00:14:43,2018-07-03,Enterprise Value/Revenue 3,13.83
8,97,2,2,2018-07-03 00:14:43,2018-07-03,Enterprise Value/EBITDA 6,21.50
0,97,3,2,2018-07-03 00:14:43,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,97,3,2,2018-07-03 00:14:43,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,97,3,2,2018-07-03 00:14:43,2018-07-03,Profit Margin,35.23%
1,97,3,2,2018-07-03 00:14:43,2018-07-03,Operating Margin (ttm),37.19%
0,97,3,2,2018-07-03 00:14:43,2018-07-03,Return on Assets (ttm),2.82%
1,97,3,2,2018-07-03 00:14:43,2018-07-03,Return on Equity (ttm),7.59%
0,97,3,2,2018-07-03 00:14:43,2018-07-03,Revenue (ttm),2.22B
1,97,3,2,2018-07-03 00:14:43,2018-07-03,Revenue Per Share (ttm),16.13
2,97,3,2,2018-07-03 00:14:43,2018-07-03,Quarterly Revenue Growth (yoy),6.10%
3,97,3,2,2018-07-03 00:14:43,2018-07-03,Gross Profit (ttm),2.16B
4,97,3,2,2018-07-03 00:14:43,2018-07-03,EBITDA,1.43B
5,97,3,2,2018-07-03 00:14:43,2018-07-03,Net Income Avi to Common (ttm),780.45M
6,97,3,2,2018-07-03 00:14:43,2018-07-03,Diluted EPS (ttm),5.66
7,97,3,2,2018-07-03 00:14:43,2018-07-03,Quarterly Earnings Growth (yoy),-40.00%
0,97,3,2,2018-07-03 00:14:43,2018-07-03,Total Cash (mrq),137.24M
1,97,3,2,2018-07-03 00:14:43,2018-07-03,Total Cash Per Share (mrq),1
2,97,3,2,2018-07-03 00:14:43,2018-07-03,Total Debt (mrq),7.6B
3,97,3,2,2018-07-03 00:14:43,2018-07-03,Total Debt/Equity (mrq),73.49
4,97,3,2,2018-07-03 00:14:43,2018-07-03,Current Ratio (mrq),0.80
5,97,3,2,2018-07-03 00:14:43,2018-07-03,Book Value Per Share (mrq),74.98
0,97,3,2,2018-07-03 00:14:43,2018-07-03,Operating Cash Flow (ttm),1.27B
1,97,3,2,2018-07-03 00:14:43,2018-07-03,Levered Free Cash Flow (ttm),1.18B
0,97,4,2,2018-07-03 00:14:43,2018-07-03,Beta,0.53
1,97,4,2,2018-07-03 00:14:43,2018-07-03,52-Week Change 3,-11.52%
2,97,4,2,2018-07-03 00:14:43,2018-07-03,S&P500 52-Week Change 3,11.91%
3,97,4,2,2018-07-03 00:14:43,2018-07-03,52 Week High 3,196.13
4,97,4,2,2018-07-03 00:14:43,2018-07-03,52 Week Low 3,152.65
5,97,4,2,2018-07-03 00:14:43,2018-07-03,50-Day Moving Average 3,165.91
6,97,4,2,2018-07-03 00:14:43,2018-07-03,200-Day Moving Average 3,165.77
0,97,4,2,2018-07-03 00:14:43,2018-07-03,Avg Vol (3 month) 3,726.9k
1,97,4,2,2018-07-03 00:14:43,2018-07-03,Avg Vol (10 day) 3,1.06M
2,97,4,2,2018-07-03 00:14:43,2018-07-03,Shares Outstanding 5,138.21M
3,97,4,2,2018-07-03 00:14:43,2018-07-03,Float,137.35M
4,97,4,2,2018-07-03 00:14:43,2018-07-03,% Held by Insiders 1,0.27%
5,97,4,2,2018-07-03 00:14:43,2018-07-03,% Held by Institutions 1,96.11%
6,97,4,2,2018-07-03 00:14:43,2018-07-03,Shares Short 3,3.03M
7,97,4,2,2018-07-03 00:14:43,2018-07-03,Short Ratio 3,4.46
8,97,4,2,2018-07-03 00:14:43,2018-07-03,Short % of Float 3,3.02%
9,97,4,2,2018-07-03 00:14:43,2018-07-03,Shares Short (prior month) 3,2.9M
0,97,4,2,2018-07-03 00:14:43,2018-07-03,Forward Annual Dividend Rate 4,5.88
1,97,4,2,2018-07-03 00:14:43,2018-07-03,Forward Annual Dividend Yield 4,3.49%
2,97,4,2,2018-07-03 00:14:43,2018-07-03,Trailing Annual Dividend Rate 3,5.73
3,97,4,2,2018-07-03 00:14:43,2018-07-03,Trailing Annual Dividend Yield 3,3.33%
4,97,4,2,2018-07-03 00:14:43,2018-07-03,5 Year Average Dividend Yield 4,3.04
5,97,4,2,2018-07-03 00:14:43,2018-07-03,Payout Ratio 4,101.24%
6,97,4,2,2018-07-03 00:14:43,2018-07-03,Dividend Date 3,"Jul 16, 2018"
7,97,4,2,2018-07-03 00:14:43,2018-07-03,Ex-Dividend Date 4,"Jun 28, 2018"
8,97,4,2,2018-07-03 00:14:43,2018-07-03,Last Split Factor (new per old) 2,9/8
9,97,4,2,2018-07-03 00:14:43,2018-07-03,Last Split Date 3,"Jan 7, 2013"
