,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,465,2,2,2018-07-03 02:32:47,2018-07-03,Market Cap (intraday) 5,104.49B
1,465,2,2,2018-07-03 02:32:47,2018-07-03,Enterprise Value 3,121.52B
2,465,2,2,2018-07-03 02:32:47,2018-07-03,Trailing P/E,9.13
3,465,2,2,2018-07-03 02:32:47,2018-07-03,Forward P/E 1,11.85
4,465,2,2,2018-07-03 02:32:47,2018-07-03,PEG Ratio (5 yr expected) 1,0.86
5,465,2,2,2018-07-03 02:32:47,2018-07-03,Price/Sales (ttm),5.32
6,465,2,2,2018-07-03 02:32:47,2018-07-03,Price/Book (mrq),3.29
7,465,2,2,2018-07-03 02:32:47,2018-07-03,Enterprise Value/Revenue 3,6.18
8,465,2,2,2018-07-03 02:32:47,2018-07-03,Enterprise Value/EBITDA 6,13.91
0,465,3,2,2018-07-03 02:32:47,2018-07-03,Fiscal Year Ends,"Oct 29, 2017"
1,465,3,2,2018-07-03 02:32:47,2018-07-03,Most Recent Quarter (mrq),"May 6, 2018"
0,465,3,2,2018-07-03 02:32:47,2018-07-03,Profit Margin,55.79%
1,465,3,2,2018-07-03 02:32:47,2018-07-03,Operating Margin (ttm),21.17%
0,465,3,2,2018-07-03 02:32:47,2018-07-03,Return on Assets (ttm),4.96%
1,465,3,2,2018-07-03 02:32:47,2018-07-03,Return on Equity (ttm),41.84%
0,465,3,2,2018-07-03 02:32:47,2018-07-03,Revenue (ttm),19.65B
1,465,3,2,2018-07-03 02:32:47,2018-07-03,Revenue Per Share (ttm),47.69
2,465,3,2,2018-07-03 02:32:47,2018-07-03,Quarterly Revenue Growth (yoy),19.70%
3,465,3,2,2018-07-03 02:32:47,2018-07-03,Gross Profit (ttm),8.51B
4,465,3,2,2018-07-03 02:32:47,2018-07-03,EBITDA,8.74B
5,465,3,2,2018-07-03 02:32:47,2018-07-03,Net Income Avi to Common (ttm),10.98B
6,465,3,2,2018-07-03 02:32:47,2018-07-03,Diluted EPS (ttm),26.53
7,465,3,2,2018-07-03 02:32:47,2018-07-03,Quarterly Earnings Growth (yoy),745.00%
0,465,3,2,2018-07-03 02:32:47,2018-07-03,Total Cash (mrq),8.19B
1,465,3,2,2018-07-03 02:32:47,2018-07-03,Total Cash Per Share (mrq),18.97
2,465,3,2,2018-07-03 02:32:47,2018-07-03,Total Debt (mrq),17.6B
3,465,3,2,2018-07-03 02:32:47,2018-07-03,Total Debt/Equity (mrq),54.88
4,465,3,2,2018-07-03 02:32:47,2018-07-03,Current Ratio (mrq),5.87
5,465,3,2,2018-07-03 02:32:47,2018-07-03,Book Value Per Share (mrq),73.55
0,465,3,2,2018-07-03 02:32:47,2018-07-03,Operating Cash Flow (ttm),7.61B
1,465,3,2,2018-07-03 02:32:47,2018-07-03,Levered Free Cash Flow (ttm),6.73B
0,465,4,2,2018-07-03 02:32:47,2018-07-03,Beta,0.65
1,465,4,2,2018-07-03 02:32:47,2018-07-03,52-Week Change 3,5.61%
2,465,4,2,2018-07-03 02:32:47,2018-07-03,S&P500 52-Week Change 3,11.91%
3,465,4,2,2018-07-03 02:32:47,2018-07-03,52 Week High 3,285.68
4,465,4,2,2018-07-03 02:32:47,2018-07-03,52 Week Low 3,221.98
5,465,4,2,2018-07-03 02:32:47,2018-07-03,50-Day Moving Average 3,252.78
6,465,4,2,2018-07-03 02:32:47,2018-07-03,200-Day Moving Average 3,249.45
0,465,4,2,2018-07-03 02:32:47,2018-07-03,Avg Vol (3 month) 3,3.48M
1,465,4,2,2018-07-03 02:32:47,2018-07-03,Avg Vol (10 day) 3,3.45M
2,465,4,2,2018-07-03 02:32:47,2018-07-03,Shares Outstanding 5,431.68M
3,465,4,2,2018-07-03 02:32:47,2018-07-03,Float,424.21M
4,465,4,2,2018-07-03 02:32:47,2018-07-03,% Held by Insiders 1,0.18%
5,465,4,2,2018-07-03 02:32:47,2018-07-03,% Held by Institutions 1,84.90%
6,465,4,2,2018-07-03 02:32:47,2018-07-03,Shares Short 3,7.58M
7,465,4,2,2018-07-03 02:32:47,2018-07-03,Short Ratio 3,2.32
8,465,4,2,2018-07-03 02:32:47,2018-07-03,Short % of Float 3,2.23%
9,465,4,2,2018-07-03 02:32:47,2018-07-03,Shares Short (prior month) 3,6.74M
0,465,4,2,2018-07-03 02:32:47,2018-07-03,Forward Annual Dividend Rate 4,7
1,465,4,2,2018-07-03 02:32:47,2018-07-03,Forward Annual Dividend Yield 4,2.70%
2,465,4,2,2018-07-03 02:32:47,2018-07-03,Trailing Annual Dividend Rate 3,4.52
3,465,4,2,2018-07-03 02:32:47,2018-07-03,Trailing Annual Dividend Yield 3,1.86%
4,465,4,2,2018-07-03 02:32:47,2018-07-03,5 Year Average Dividend Yield 4,1.42
5,465,4,2,2018-07-03 02:32:47,2018-07-03,Payout Ratio 4,21.80%
6,465,4,2,2018-07-03 02:32:47,2018-07-03,Dividend Date 3,"Jun 29, 2018"
7,465,4,2,2018-07-03 02:32:47,2018-07-03,Ex-Dividend Date 4,"Jun 19, 2018"
8,465,4,2,2018-07-03 02:32:47,2018-07-03,Last Split Factor (new per old) 2,
9,465,4,2,2018-07-03 02:32:47,2018-07-03,Last Split Date 3,
