,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,103,2,2,2018-07-03 00:16:58,2018-07-03,Market Cap (intraday) 5,286.74B
1,103,2,2,2018-07-03 00:16:58,2018-07-03,Enterprise Value 3,224.59B
2,103,2,2,2018-07-03 00:16:58,2018-07-03,Trailing P/E,16.40
3,103,2,2,2018-07-03 00:16:58,2018-07-03,Forward P/E 1,9.72
4,103,2,2,2018-07-03 00:16:58,2018-07-03,PEG Ratio (5 yr expected) 1,0.52
5,103,2,2,2018-07-03 00:16:58,2018-07-03,Price/Sales (ttm),3.38
6,103,2,2,2018-07-03 00:16:58,2018-07-03,Price/Book (mrq),1.19
7,103,2,2,2018-07-03 00:16:58,2018-07-03,Enterprise Value/Revenue 3,2.65
8,103,2,2,2018-07-03 00:16:58,2018-07-03,Enterprise Value/EBITDA 6,
0,103,3,2,2018-07-03 00:16:58,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,103,3,2,2018-07-03 00:16:58,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,103,3,2,2018-07-03 00:16:58,2018-07-03,Profit Margin,23.35%
1,103,3,2,2018-07-03 00:16:58,2018-07-03,Operating Margin (ttm),35.51%
0,103,3,2,2018-07-03 00:16:58,2018-07-03,Return on Assets (ttm),0.87%
1,103,3,2,2018-07-03 00:16:58,2018-07-03,Return on Equity (ttm),7.41%
0,103,3,2,2018-07-03 00:16:58,2018-07-03,Revenue (ttm),84.83B
1,103,3,2,2018-07-03 00:16:58,2018-07-03,Revenue Per Share (ttm),8.27
2,103,3,2,2018-07-03 00:16:58,2018-07-03,Quarterly Revenue Growth (yoy),4.10%
3,103,3,2,2018-07-03 00:16:58,2018-07-03,Gross Profit (ttm),83.96B
4,103,3,2,2018-07-03 00:16:58,2018-07-03,EBITDA,
5,103,3,2,2018-07-03 00:16:58,2018-07-03,Net Income Avi to Common (ttm),18.27B
6,103,3,2,2018-07-03 00:16:58,2018-07-03,Diluted EPS (ttm),1.72
7,103,3,2,2018-07-03 00:16:58,2018-07-03,Quarterly Earnings Growth (yoy),29.60%
0,103,3,2,2018-07-03 00:16:58,2018-07-03,Total Cash (mrq),579.08B
1,103,3,2,2018-07-03 00:16:58,2018-07-03,Total Cash Per Share (mrq),55.06
2,103,3,2,2018-07-03 00:16:58,2018-07-03,Total Debt (mrq),502.81B
3,103,3,2,2018-07-03 00:16:58,2018-07-03,Total Debt/Equity (mrq),
4,103,3,2,2018-07-03 00:16:58,2018-07-03,Current Ratio (mrq),
5,103,3,2,2018-07-03 00:16:58,2018-07-03,Book Value Per Share (mrq),23.74
0,103,3,2,2018-07-03 00:16:58,2018-07-03,Operating Cash Flow (ttm),63.75B
1,103,3,2,2018-07-03 00:16:58,2018-07-03,Levered Free Cash Flow (ttm),
0,103,4,2,2018-07-03 00:16:58,2018-07-03,Beta,1.59
1,103,4,2,2018-07-03 00:16:58,2018-07-03,52-Week Change 3,14.22%
2,103,4,2,2018-07-03 00:16:58,2018-07-03,S&P500 52-Week Change 3,11.91%
3,103,4,2,2018-07-03 00:16:58,2018-07-03,52 Week High 3,33.05
4,103,4,2,2018-07-03 00:16:58,2018-07-03,52 Week Low 3,22.75
5,103,4,2,2018-07-03 00:16:58,2018-07-03,50-Day Moving Average 3,29.68
6,103,4,2,2018-07-03 00:16:58,2018-07-03,200-Day Moving Average 3,30.52
0,103,4,2,2018-07-03 00:16:58,2018-07-03,Avg Vol (3 month) 3,66.56M
1,103,4,2,2018-07-03 00:16:58,2018-07-03,Avg Vol (10 day) 3,73.57M
2,103,4,2,2018-07-03 00:16:58,2018-07-03,Shares Outstanding 5,10.14B
3,103,4,2,2018-07-03 00:16:58,2018-07-03,Float,9.79B
4,103,4,2,2018-07-03 00:16:58,2018-07-03,% Held by Insiders 1,0.08%
5,103,4,2,2018-07-03 00:16:58,2018-07-03,% Held by Institutions 1,69.77%
6,103,4,2,2018-07-03 00:16:58,2018-07-03,Shares Short 3,112.25M
7,103,4,2,2018-07-03 00:16:58,2018-07-03,Short Ratio 3,1.73
8,103,4,2,2018-07-03 00:16:58,2018-07-03,Short % of Float 3,1.10%
9,103,4,2,2018-07-03 00:16:58,2018-07-03,Shares Short (prior month) 3,113.25M
0,103,4,2,2018-07-03 00:16:58,2018-07-03,Forward Annual Dividend Rate 4,0.48
1,103,4,2,2018-07-03 00:16:58,2018-07-03,Forward Annual Dividend Yield 4,1.70%
2,103,4,2,2018-07-03 00:16:58,2018-07-03,Trailing Annual Dividend Rate 3,0.44
3,103,4,2,2018-07-03 00:16:58,2018-07-03,Trailing Annual Dividend Yield 3,1.54%
4,103,4,2,2018-07-03 00:16:58,2018-07-03,5 Year Average Dividend Yield 4,0.98
5,103,4,2,2018-07-03 00:16:58,2018-07-03,Payout Ratio 4,25.14%
6,103,4,2,2018-07-03 00:16:58,2018-07-03,Dividend Date 3,"Jun 29, 2018"
7,103,4,2,2018-07-03 00:16:58,2018-07-03,Ex-Dividend Date 4,"May 31, 2018"
8,103,4,2,2018-07-03 00:16:58,2018-07-03,Last Split Factor (new per old) 2,2/1
9,103,4,2,2018-07-03 00:16:58,2018-07-03,Last Split Date 3,"Aug 30, 2004"
