,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,105,2,2,2018-07-03 00:17:43,2018-07-03,Market Cap (intraday) 5,17.08B
1,105,2,2,2018-07-03 00:17:43,2018-07-03,Enterprise Value 3,6.71B
2,105,2,2,2018-07-03 00:17:43,2018-07-03,Trailing P/E,26.08
3,105,2,2,2018-07-03 00:17:43,2018-07-03,Forward P/E 1,9.82
4,105,2,2,2018-07-03 00:17:43,2018-07-03,PEG Ratio (5 yr expected) 1,3.32
5,105,2,2,2018-07-03 00:17:43,2018-07-03,Price/Sales (ttm),2.64
6,105,2,2,2018-07-03 00:17:43,2018-07-03,Price/Book (mrq),1.70
7,105,2,2,2018-07-03 00:17:43,2018-07-03,Enterprise Value/Revenue 3,1.04
8,105,2,2,2018-07-03 00:17:43,2018-07-03,Enterprise Value/EBITDA 6,2.91
0,105,3,2,2018-07-03 00:17:43,2018-07-03,Fiscal Year Ends,"Sep 30, 2017"
1,105,3,2,2018-07-03 00:17:43,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,105,3,2,2018-07-03 00:17:43,2018-07-03,Profit Margin,10.76%
1,105,3,2,2018-07-03 00:17:43,2018-07-03,Operating Margin (ttm),35.15%
0,105,3,2,2018-07-03 00:17:43,2018-07-03,Return on Assets (ttm),8.14%
1,105,3,2,2018-07-03 00:17:43,2018-07-03,Return on Equity (ttm),6.36%
0,105,3,2,2018-07-03 00:17:43,2018-07-03,Revenue (ttm),6.46B
1,105,3,2,2018-07-03 00:17:43,2018-07-03,Revenue Per Share (ttm),11.72
2,105,3,2,2018-07-03 00:17:43,2018-07-03,Quarterly Revenue Growth (yoy),1.10%
3,105,3,2,2018-07-03 00:17:43,2018-07-03,Gross Profit (ttm),6.34B
4,105,3,2,2018-07-03 00:17:43,2018-07-03,EBITDA,2.3B
5,105,3,2,2018-07-03 00:17:43,2018-07-03,Net Income Avi to Common (ttm),673.4M
6,105,3,2,2018-07-03 00:17:43,2018-07-03,Diluted EPS (ttm),1.21
7,105,3,2,2018-07-03 00:17:43,2018-07-03,Quarterly Earnings Growth (yoy),5.30%
0,105,3,2,2018-07-03 00:17:43,2018-07-03,Total Cash (mrq),12.14B
1,105,3,2,2018-07-03 00:17:43,2018-07-03,Total Cash Per Share (mrq),22.47
2,105,3,2,2018-07-03 00:17:43,2018-07-03,Total Debt (mrq),1.08B
3,105,3,2,2018-07-03 00:17:43,2018-07-03,Total Debt/Equity (mrq),8.64
4,105,3,2,2018-07-03 00:17:43,2018-07-03,Current Ratio (mrq),3.42
5,105,3,2,2018-07-03 00:17:43,2018-07-03,Book Value Per Share (mrq),18.57
0,105,3,2,2018-07-03 00:17:43,2018-07-03,Operating Cash Flow (ttm),1.42B
1,105,3,2,2018-07-03 00:17:43,2018-07-03,Levered Free Cash Flow (ttm),4.57B
0,105,4,2,2018-07-03 00:17:43,2018-07-03,Beta,1.45
1,105,4,2,2018-07-03 00:17:43,2018-07-03,52-Week Change 3,-28.89%
2,105,4,2,2018-07-03 00:17:43,2018-07-03,S&P500 52-Week Change 3,11.91%
3,105,4,2,2018-07-03 00:17:43,2018-07-03,52 Week High 3,47.65
4,105,4,2,2018-07-03 00:17:43,2018-07-03,52 Week Low 3,31.28
5,105,4,2,2018-07-03 00:17:43,2018-07-03,50-Day Moving Average 3,33.55
6,105,4,2,2018-07-03 00:17:43,2018-07-03,200-Day Moving Average 3,37.52
0,105,4,2,2018-07-03 00:17:43,2018-07-03,Avg Vol (3 month) 3,3.49M
1,105,4,2,2018-07-03 00:17:43,2018-07-03,Avg Vol (10 day) 3,4.45M
2,105,4,2,2018-07-03 00:17:43,2018-07-03,Shares Outstanding 5,540.21M
3,105,4,2,2018-07-03 00:17:43,2018-07-03,Float,310.57M
4,105,4,2,2018-07-03 00:17:43,2018-07-03,% Held by Insiders 1,42.57%
5,105,4,2,2018-07-03 00:17:43,2018-07-03,% Held by Institutions 1,48.62%
6,105,4,2,2018-07-03 00:17:43,2018-07-03,Shares Short 3,16.18M
7,105,4,2,2018-07-03 00:17:43,2018-07-03,Short Ratio 3,5.28
8,105,4,2,2018-07-03 00:17:43,2018-07-03,Short % of Float 3,5.00%
9,105,4,2,2018-07-03 00:17:43,2018-07-03,Shares Short (prior month) 3,15.15M
0,105,4,2,2018-07-03 00:17:43,2018-07-03,Forward Annual Dividend Rate 4,0.92
1,105,4,2,2018-07-03 00:17:43,2018-07-03,Forward Annual Dividend Yield 4,2.80%
2,105,4,2,2018-07-03 00:17:43,2018-07-03,Trailing Annual Dividend Rate 3,0.86
3,105,4,2,2018-07-03 00:17:43,2018-07-03,Trailing Annual Dividend Yield 3,2.68%
4,105,4,2,2018-07-03 00:17:43,2018-07-03,5 Year Average Dividend Yield 4,1.44
5,105,4,2,2018-07-03 00:17:43,2018-07-03,Payout Ratio 4,71.67%
6,105,4,2,2018-07-03 00:17:43,2018-07-03,Dividend Date 3,"Jul 13, 2018"
7,105,4,2,2018-07-03 00:17:43,2018-07-03,Ex-Dividend Date 4,"Jun 28, 2018"
8,105,4,2,2018-07-03 00:17:43,2018-07-03,Last Split Factor (new per old) 2,3/1
9,105,4,2,2018-07-03 00:17:43,2018-07-03,Last Split Date 3,"Jul 26, 2013"
