,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,116,2,2,2018-07-03 00:21:49,2018-07-03,Market Cap (intraday) 5,21.34B
1,116,2,2,2018-07-03 00:21:49,2018-07-03,Enterprise Value 3,29.41B
2,116,2,2,2018-07-03 00:21:49,2018-07-03,Trailing P/E,36.26
3,116,2,2,2018-07-03 00:21:49,2018-07-03,Forward P/E 1,44.53
4,116,2,2,2018-07-03 00:21:49,2018-07-03,PEG Ratio (5 yr expected) 1,6.47
5,116,2,2,2018-07-03 00:21:49,2018-07-03,Price/Sales (ttm),8.07
6,116,2,2,2018-07-03 00:21:49,2018-07-03,Price/Book (mrq),3.39
7,116,2,2,2018-07-03 00:21:49,2018-07-03,Enterprise Value/Revenue 3,11.12
8,116,2,2,2018-07-03 00:21:49,2018-07-03,Enterprise Value/EBITDA 6,18.97
0,116,3,2,2018-07-03 00:21:49,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,116,3,2,2018-07-03 00:21:49,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,116,3,2,2018-07-03 00:21:49,2018-07-03,Profit Margin,20.48%
1,116,3,2,2018-07-03 00:21:49,2018-07-03,Operating Margin (ttm),35.02%
0,116,3,2,2018-07-03 00:21:49,2018-07-03,Return on Assets (ttm),3.00%
1,116,3,2,2018-07-03 00:21:49,2018-07-03,Return on Equity (ttm),8.24%
0,116,3,2,2018-07-03 00:21:49,2018-07-03,Revenue (ttm),2.64B
1,116,3,2,2018-07-03 00:21:49,2018-07-03,Revenue Per Share (ttm),17.13
2,116,3,2,2018-07-03 00:21:49,2018-07-03,Quarterly Revenue Growth (yoy),3.70%
3,116,3,2,2018-07-03 00:21:49,2018-07-03,Gross Profit (ttm),1.66B
4,116,3,2,2018-07-03 00:21:49,2018-07-03,EBITDA,1.55B
5,116,3,2,2018-07-03 00:21:49,2018-07-03,Net Income Avi to Common (ttm),530.75M
6,116,3,2,2018-07-03 00:21:49,2018-07-03,Diluted EPS (ttm),3.44
7,116,3,2,2018-07-03 00:21:49,2018-07-03,Quarterly Earnings Growth (yoy),79.20%
0,116,3,2,2018-07-03 00:21:49,2018-07-03,Total Cash (mrq),294.57M
1,116,3,2,2018-07-03 00:21:49,2018-07-03,Total Cash Per Share (mrq),1.91
2,116,3,2,2018-07-03 00:21:49,2018-07-03,Total Debt (mrq),10.34B
3,116,3,2,2018-07-03 00:21:49,2018-07-03,Total Debt/Equity (mrq),126.33
4,116,3,2,2018-07-03 00:21:49,2018-07-03,Current Ratio (mrq),2.63
5,116,3,2,2018-07-03 00:21:49,2018-07-03,Book Value Per Share (mrq),36.79
0,116,3,2,2018-07-03 00:21:49,2018-07-03,Operating Cash Flow (ttm),893.37M
1,116,3,2,2018-07-03 00:21:49,2018-07-03,Levered Free Cash Flow (ttm),707.63M
0,116,4,2,2018-07-03 00:21:49,2018-07-03,Beta,0.95
1,116,4,2,2018-07-03 00:21:49,2018-07-03,52-Week Change 3,0.38%
2,116,4,2,2018-07-03 00:21:49,2018-07-03,S&P500 52-Week Change 3,11.91%
3,116,4,2,2018-07-03 00:21:49,2018-07-03,52 Week High 3,132.00
4,116,4,2,2018-07-03 00:21:49,2018-07-03,52 Week Low 3,111.57
5,116,4,2,2018-07-03 00:21:49,2018-07-03,50-Day Moving Average 3,121.26
6,116,4,2,2018-07-03 00:21:49,2018-07-03,200-Day Moving Average 3,122.03
0,116,4,2,2018-07-03 00:21:49,2018-07-03,Avg Vol (3 month) 3,740.12k
1,116,4,2,2018-07-03 00:21:49,2018-07-03,Avg Vol (10 day) 3,834.42k
2,116,4,2,2018-07-03 00:21:49,2018-07-03,Shares Outstanding 5,154.36M
3,116,4,2,2018-07-03 00:21:49,2018-07-03,Float,153.22M
4,116,4,2,2018-07-03 00:21:49,2018-07-03,% Held by Insiders 1,0.60%
5,116,4,2,2018-07-03 00:21:49,2018-07-03,% Held by Institutions 1,101.29%
6,116,4,2,2018-07-03 00:21:49,2018-07-03,Shares Short 3,2.67M
7,116,4,2,2018-07-03 00:21:49,2018-07-03,Short Ratio 3,3.5
8,116,4,2,2018-07-03 00:21:49,2018-07-03,Short % of Float 3,2.53%
9,116,4,2,2018-07-03 00:21:49,2018-07-03,Shares Short (prior month) 3,2.86M
0,116,4,2,2018-07-03 00:21:49,2018-07-03,Forward Annual Dividend Rate 4,3.2
1,116,4,2,2018-07-03 00:21:49,2018-07-03,Forward Annual Dividend Yield 4,2.55%
2,116,4,2,2018-07-03 00:21:49,2018-07-03,Trailing Annual Dividend Rate 3,3.10
3,116,4,2,2018-07-03 00:21:49,2018-07-03,Trailing Annual Dividend Yield 3,2.47%
4,116,4,2,2018-07-03 00:21:49,2018-07-03,5 Year Average Dividend Yield 4,2.22
5,116,4,2,2018-07-03 00:21:49,2018-07-03,Payout Ratio 4,112.20%
6,116,4,2,2018-07-03 00:21:49,2018-07-03,Dividend Date 3,"Jul 31, 2018"
7,116,4,2,2018-07-03 00:21:49,2018-07-03,Ex-Dividend Date 4,"Jun 28, 2018"
8,116,4,2,2018-07-03 00:21:49,2018-07-03,Last Split Factor (new per old) 2,
9,116,4,2,2018-07-03 00:21:49,2018-07-03,Last Split Date 3,
