,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,123,2,2,2018-07-03 00:24:28,2018-07-03,Market Cap (intraday) 5,13.69B
1,123,2,2,2018-07-03 00:24:28,2018-07-03,Enterprise Value 3,17.73B
2,123,2,2,2018-07-03 00:24:28,2018-07-03,Trailing P/E,17.65
3,123,2,2,2018-07-03 00:24:28,2018-07-03,Forward P/E 1,14.60
4,123,2,2,2018-07-03 00:24:28,2018-07-03,PEG Ratio (5 yr expected) 1,1.98
5,123,2,2,2018-07-03 00:24:28,2018-07-03,Price/Sales (ttm),1.72
6,123,2,2,2018-07-03 00:24:28,2018-07-03,Price/Book (mrq),3.66
7,123,2,2,2018-07-03 00:24:28,2018-07-03,Enterprise Value/Revenue 3,2.23
8,123,2,2,2018-07-03 00:24:28,2018-07-03,Enterprise Value/EBITDA 6,11.82
0,123,3,2,2018-07-03 00:24:28,2018-07-03,Fiscal Year Ends,"May 27, 2018"
1,123,3,2,2018-07-03 00:24:28,2018-07-03,Most Recent Quarter (mrq),"May 27, 2018"
0,123,3,2,2018-07-03 00:24:28,2018-07-03,Profit Margin,10.18%
1,123,3,2,2018-07-03 00:24:28,2018-07-03,Operating Margin (ttm),15.66%
0,123,3,2,2018-07-03 00:24:28,2018-07-03,Return on Assets (ttm),7.59%
1,123,3,2,2018-07-03 00:24:28,2018-07-03,Return on Equity (ttm),20.36%
0,123,3,2,2018-07-03 00:24:28,2018-07-03,Revenue (ttm),7.94B
1,123,3,2,2018-07-03 00:24:28,2018-07-03,Revenue Per Share (ttm),19.65
2,123,3,2,2018-07-03 00:24:28,2018-07-03,Quarterly Revenue Growth (yoy),5.60%
3,123,3,2,2018-07-03 00:24:28,2018-07-03,Gross Profit (ttm),2.36B
4,123,3,2,2018-07-03 00:24:28,2018-07-03,EBITDA,1.5B
5,123,3,2,2018-07-03 00:24:28,2018-07-03,Net Income Avi to Common (ttm),794.1M
6,123,3,2,2018-07-03 00:24:28,2018-07-03,Diluted EPS (ttm),1.99
7,123,3,2,2018-07-03 00:24:28,2018-07-03,Quarterly Earnings Growth (yoy),-54.00%
0,123,3,2,2018-07-03 00:24:28,2018-07-03,Total Cash (mrq),128M
1,123,3,2,2018-07-03 00:24:28,2018-07-03,Total Cash Per Share (mrq),0.33
2,123,3,2,2018-07-03 00:24:28,2018-07-03,Total Debt (mrq),3.82B
3,123,3,2,2018-07-03 00:24:28,2018-07-03,Total Debt/Equity (mrq),101.58
4,123,3,2,2018-07-03 00:24:28,2018-07-03,Current Ratio (mrq),0.83
5,123,3,2,2018-07-03 00:24:28,2018-07-03,Book Value Per Share (mrq),9.56
0,123,3,2,2018-07-03 00:24:28,2018-07-03,Operating Cash Flow (ttm),954.2M
1,123,3,2,2018-07-03 00:24:28,2018-07-03,Levered Free Cash Flow (ttm),930.49M
0,123,4,2,2018-07-03 00:24:28,2018-07-03,Beta,0.38
1,123,4,2,2018-07-03 00:24:28,2018-07-03,52-Week Change 3,0.65%
2,123,4,2,2018-07-03 00:24:28,2018-07-03,S&P500 52-Week Change 3,11.91%
3,123,4,2,2018-07-03 00:24:28,2018-07-03,52 Week High 3,39.43
4,123,4,2,2018-07-03 00:24:28,2018-07-03,52 Week Low 3,32.16
5,123,4,2,2018-07-03 00:24:28,2018-07-03,50-Day Moving Average 3,37.51
6,123,4,2,2018-07-03 00:24:28,2018-07-03,200-Day Moving Average 3,37.11
0,123,4,2,2018-07-03 00:24:28,2018-07-03,Avg Vol (3 month) 3,3.59M
1,123,4,2,2018-07-03 00:24:28,2018-07-03,Avg Vol (10 day) 3,12.33M
2,123,4,2,2018-07-03 00:24:28,2018-07-03,Shares Outstanding 5,390.88M
3,123,4,2,2018-07-03 00:24:28,2018-07-03,Float,391.77M
4,123,4,2,2018-07-03 00:24:28,2018-07-03,% Held by Insiders 1,0.38%
5,123,4,2,2018-07-03 00:24:28,2018-07-03,% Held by Institutions 1,80.63%
6,123,4,2,2018-07-03 00:24:28,2018-07-03,Shares Short 3,10.19M
7,123,4,2,2018-07-03 00:24:28,2018-07-03,Short Ratio 3,3.79
8,123,4,2,2018-07-03 00:24:28,2018-07-03,Short % of Float 3,2.76%
9,123,4,2,2018-07-03 00:24:28,2018-07-03,Shares Short (prior month) 3,10.53M
0,123,4,2,2018-07-03 00:24:28,2018-07-03,Forward Annual Dividend Rate 4,0.85
1,123,4,2,2018-07-03 00:24:28,2018-07-03,Forward Annual Dividend Yield 4,2.38%
2,123,4,2,2018-07-03 00:24:28,2018-07-03,Trailing Annual Dividend Rate 3,0.85
3,123,4,2,2018-07-03 00:24:28,2018-07-03,Trailing Annual Dividend Yield 3,2.38%
4,123,4,2,2018-07-03 00:24:28,2018-07-03,5 Year Average Dividend Yield 4,2.60
5,123,4,2,2018-07-03 00:24:28,2018-07-03,Payout Ratio 4,39.50%
6,123,4,2,2018-07-03 00:24:28,2018-07-03,Dividend Date 3,"May 31, 2018"
7,123,4,2,2018-07-03 00:24:28,2018-07-03,Ex-Dividend Date 4,"Apr 27, 2018"
8,123,4,2,2018-07-03 00:24:28,2018-07-03,Last Split Factor (new per old) 2,1285/1000
9,123,4,2,2018-07-03 00:24:28,2018-07-03,Last Split Date 3,"Nov 10, 2016"
