,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,120,2,2,2018-07-03 00:23:20,2018-07-03,Market Cap (intraday) 5,21.23B
1,120,2,2,2018-07-03 00:23:20,2018-07-03,Enterprise Value 3,31.05B
2,120,2,2,2018-07-03 00:23:20,2018-07-03,Trailing P/E,19.96
3,120,2,2,2018-07-03 00:23:20,2018-07-03,Forward P/E 1,9.50
4,120,2,2,2018-07-03 00:23:20,2018-07-03,PEG Ratio (5 yr expected) 1,0.62
5,120,2,2,2018-07-03 00:23:20,2018-07-03,Price/Sales (ttm),1.50
6,120,2,2,2018-07-03 00:23:20,2018-07-03,Price/Book (mrq),10.76
7,120,2,2,2018-07-03 00:23:20,2018-07-03,Enterprise Value/Revenue 3,2.20
8,120,2,2,2018-07-03 00:23:20,2018-07-03,Enterprise Value/EBITDA 6,9.99
0,120,3,2,2018-07-03 00:23:20,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,120,3,2,2018-07-03 00:23:20,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,120,3,2,2018-07-03 00:23:20,2018-07-03,Profit Margin,7.94%
1,120,3,2,2018-07-03 00:23:20,2018-07-03,Operating Margin (ttm),20.44%
0,120,3,2,2018-07-03 00:23:20,2018-07-03,Return on Assets (ttm),8.27%
1,120,3,2,2018-07-03 00:23:20,2018-07-03,Return on Equity (ttm),56.12%
0,120,3,2,2018-07-03 00:23:20,2018-07-03,Revenue (ttm),14.11B
1,120,3,2,2018-07-03 00:23:20,2018-07-03,Revenue Per Share (ttm),35.81
2,120,3,2,2018-07-03 00:23:20,2018-07-03,Quarterly Revenue Growth (yoy),12.50%
3,120,3,2,2018-07-03 00:23:20,2018-07-03,Gross Profit (ttm),13.69B
4,120,3,2,2018-07-03 00:23:20,2018-07-03,EBITDA,3.11B
5,120,3,2,2018-07-03 00:23:20,2018-07-03,Net Income Avi to Common (ttm),1.37B
6,120,3,2,2018-07-03 00:23:20,2018-07-03,Diluted EPS (ttm),2.81
7,120,3,2,2018-07-03 00:23:20,2018-07-03,Quarterly Earnings Growth (yoy),
0,120,3,2,2018-07-03 00:23:20,2018-07-03,Total Cash (mrq),147M
1,120,3,2,2018-07-03 00:23:20,2018-07-03,Total Cash Per Share (mrq),0.39
2,120,3,2,2018-07-03 00:23:20,2018-07-03,Total Debt (mrq),9.71B
3,120,3,2,2018-07-03 00:23:20,2018-07-03,Total Debt/Equity (mrq),489.46
4,120,3,2,2018-07-03 00:23:20,2018-07-03,Current Ratio (mrq),1.52
5,120,3,2,2018-07-03 00:23:20,2018-07-03,Book Value Per Share (mrq),5.20
0,120,3,2,2018-07-03 00:23:20,2018-07-03,Operating Cash Flow (ttm),885M
1,120,3,2,2018-07-03 00:23:20,2018-07-03,Levered Free Cash Flow (ttm),1.61B
0,120,4,2,2018-07-03 00:23:20,2018-07-03,Beta,1.32
1,120,4,2,2018-07-03 00:23:20,2018-07-03,52-Week Change 3,-12.38%
2,120,4,2,2018-07-03 00:23:20,2018-07-03,S&P500 52-Week Change 3,11.91%
3,120,4,2,2018-07-03 00:23:20,2018-07-03,52 Week High 3,68.75
4,120,4,2,2018-07-03 00:23:20,2018-07-03,52 Week Low 3,47.54
5,120,4,2,2018-07-03 00:23:20,2018-07-03,50-Day Moving Average 3,53.23
6,120,4,2,2018-07-03 00:23:20,2018-07-03,200-Day Moving Average 3,54.02
0,120,4,2,2018-07-03 00:23:20,2018-07-03,Avg Vol (3 month) 3,3.78M
1,120,4,2,2018-07-03 00:23:20,2018-07-03,Avg Vol (10 day) 3,3.05M
2,120,4,2,2018-07-03 00:23:20,2018-07-03,Shares Outstanding 5,341.48M
3,120,4,2,2018-07-03 00:23:20,2018-07-03,Float,337.39M
4,120,4,2,2018-07-03 00:23:20,2018-07-03,% Held by Insiders 1,10.84%
5,120,4,2,2018-07-03 00:23:20,2018-07-03,% Held by Institutions 1,0.00%
6,120,4,2,2018-07-03 00:23:20,2018-07-03,Shares Short 3,9.22M
7,120,4,2,2018-07-03 00:23:20,2018-07-03,Short Ratio 3,2.22
8,120,4,2,2018-07-03 00:23:20,2018-07-03,Short % of Float 3,
9,120,4,2,2018-07-03 00:23:20,2018-07-03,Shares Short (prior month) 3,10.58M
0,120,4,2,2018-07-03 00:23:20,2018-07-03,Forward Annual Dividend Rate 4,0.72
1,120,4,2,2018-07-03 00:23:20,2018-07-03,Forward Annual Dividend Yield 4,1.27%
2,120,4,2,2018-07-03 00:23:20,2018-07-03,Trailing Annual Dividend Rate 3,0.72
3,120,4,2,2018-07-03 00:23:20,2018-07-03,Trailing Annual Dividend Yield 3,1.28%
4,120,4,2,2018-07-03 00:23:20,2018-07-03,5 Year Average Dividend Yield 4,1.06
5,120,4,2,2018-07-03 00:23:20,2018-07-03,Payout Ratio 4,20.87%
6,120,4,2,2018-07-03 00:23:20,2018-07-03,Dividend Date 3,"Jul 1, 2018"
7,120,4,2,2018-07-03 00:23:20,2018-07-03,Ex-Dividend Date 4,"Jun 7, 2018"
8,120,4,2,2018-07-03 00:23:20,2018-07-03,Last Split Factor (new per old) 2,1/1
9,120,4,2,2018-07-03 00:23:20,2018-07-03,Last Split Date 3,"Nov 17, 2017"
