,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,129,2,2,2018-07-03 00:26:43,2018-07-03,Market Cap (intraday) 5,57.63B
1,129,2,2,2018-07-03 00:26:43,2018-07-03,Enterprise Value 3,72.64B
2,129,2,2,2018-07-03 00:26:43,2018-07-03,Trailing P/E,22.22
3,129,2,2,2018-07-03 00:26:43,2018-07-03,Forward P/E 1,7.78
4,129,2,2,2018-07-03 00:26:43,2018-07-03,PEG Ratio (5 yr expected) 1,0.48
5,129,2,2,2018-07-03 00:26:43,2018-07-03,Price/Sales (ttm),4.24
6,129,2,2,2018-07-03 00:26:43,2018-07-03,Price/Book (mrq),11.25
7,129,2,2,2018-07-03 00:26:43,2018-07-03,Enterprise Value/Revenue 3,5.35
8,129,2,2,2018-07-03 00:26:43,2018-07-03,Enterprise Value/EBITDA 6,14.36
0,129,3,2,2018-07-03 00:26:43,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,129,3,2,2018-07-03 00:26:43,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,129,3,2,2018-07-03 00:26:43,2018-07-03,Profit Margin,21.02%
1,129,3,2,2018-07-03 00:26:43,2018-07-03,Operating Margin (ttm),33.71%
0,129,3,2,2018-07-03 00:26:43,2018-07-03,Return on Assets (ttm),9.03%
1,129,3,2,2018-07-03 00:26:43,2018-07-03,Return on Equity (ttm),44.54%
0,129,3,2,2018-07-03 00:26:43,2018-07-03,Revenue (ttm),13.58B
1,129,3,2,2018-07-03 00:26:43,2018-07-03,Revenue Per Share (ttm),17.60
2,129,3,2,2018-07-03 00:26:43,2018-07-03,Quarterly Revenue Growth (yoy),19.40%
3,129,3,2,2018-07-03 00:26:43,2018-07-03,Gross Profit (ttm),12.54B
4,129,3,2,2018-07-03 00:26:43,2018-07-03,EBITDA,5.06B
5,129,3,2,2018-07-03 00:26:43,2018-07-03,Net Income Avi to Common (ttm),2.85B
6,129,3,2,2018-07-03 00:26:43,2018-07-03,Diluted EPS (ttm),3.58
7,129,3,2,2018-07-03 00:26:43,2018-07-03,Quarterly Earnings Growth (yoy),-9.20%
0,129,3,2,2018-07-03 00:26:43,2018-07-03,Total Cash (mrq),4.75B
1,129,3,2,2018-07-03 00:26:43,2018-07-03,Total Cash Per Share (mrq),6.55
2,129,3,2,2018-07-03 00:26:43,2018-07-03,Total Debt (mrq),20.27B
3,129,3,2,2018-07-03 00:26:43,2018-07-03,Total Debt/Equity (mrq),391.94
4,129,3,2,2018-07-03 00:26:43,2018-07-03,Current Ratio (mrq),2.53
5,129,3,2,2018-07-03 00:26:43,2018-07-03,Book Value Per Share (mrq),7.07
0,129,3,2,2018-07-03 00:26:43,2018-07-03,Operating Cash Flow (ttm),4.07B
1,129,3,2,2018-07-03 00:26:43,2018-07-03,Levered Free Cash Flow (ttm),4.22B
0,129,4,2,2018-07-03 00:26:43,2018-07-03,Beta,1.25
1,129,4,2,2018-07-03 00:26:43,2018-07-03,52-Week Change 3,-38.99%
2,129,4,2,2018-07-03 00:26:43,2018-07-03,S&P500 52-Week Change 3,11.91%
3,129,4,2,2018-07-03 00:26:43,2018-07-03,52 Week High 3,147.17
4,129,4,2,2018-07-03 00:26:43,2018-07-03,52 Week Low 3,74.13
5,129,4,2,2018-07-03 00:26:43,2018-07-03,50-Day Moving Average 3,78.69
6,129,4,2,2018-07-03 00:26:43,2018-07-03,200-Day Moving Average 3,90.78
0,129,4,2,2018-07-03 00:26:43,2018-07-03,Avg Vol (3 month) 3,6.79M
1,129,4,2,2018-07-03 00:26:43,2018-07-03,Avg Vol (10 day) 3,6.5M
2,129,4,2,2018-07-03 00:26:43,2018-07-03,Shares Outstanding 5,724.83M
3,129,4,2,2018-07-03 00:26:43,2018-07-03,Float,722.95M
4,129,4,2,2018-07-03 00:26:43,2018-07-03,% Held by Insiders 1,0.34%
5,129,4,2,2018-07-03 00:26:43,2018-07-03,% Held by Institutions 1,78.07%
6,129,4,2,2018-07-03 00:26:43,2018-07-03,Shares Short 3,34.34M
7,129,4,2,2018-07-03 00:26:43,2018-07-03,Short Ratio 3,4.27
8,129,4,2,2018-07-03 00:26:43,2018-07-03,Short % of Float 3,4.74%
9,129,4,2,2018-07-03 00:26:43,2018-07-03,Shares Short (prior month) 3,13.82M
0,129,4,2,2018-07-03 00:26:43,2018-07-03,Forward Annual Dividend Rate 4,
1,129,4,2,2018-07-03 00:26:43,2018-07-03,Forward Annual Dividend Yield 4,
2,129,4,2,2018-07-03 00:26:43,2018-07-03,Trailing Annual Dividend Rate 3,
3,129,4,2,2018-07-03 00:26:43,2018-07-03,Trailing Annual Dividend Yield 3,
4,129,4,2,2018-07-03 00:26:43,2018-07-03,5 Year Average Dividend Yield 4,
5,129,4,2,2018-07-03 00:26:43,2018-07-03,Payout Ratio 4,0.00%
6,129,4,2,2018-07-03 00:26:43,2018-07-03,Dividend Date 3,
7,129,4,2,2018-07-03 00:26:43,2018-07-03,Ex-Dividend Date 4,
8,129,4,2,2018-07-03 00:26:43,2018-07-03,Last Split Factor (new per old) 2,2/1
9,129,4,2,2018-07-03 00:26:43,2018-07-03,Last Split Date 3,"Jun 26, 2014"
