,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,546,2,2,2018-07-03 03:02:55,2018-07-03,Market Cap (intraday) 5,19.09B
1,546,2,2,2018-07-03 03:02:55,2018-07-03,Enterprise Value 3,30.21B
2,546,2,2,2018-07-03 03:02:55,2018-07-03,Trailing P/E,11.49
3,546,2,2,2018-07-03 03:02:55,2018-07-03,Forward P/E 1,10.36
4,546,2,2,2018-07-03 03:02:55,2018-07-03,PEG Ratio (5 yr expected) 1,0.53
5,546,2,2,2018-07-03 03:02:55,2018-07-03,Price/Sales (ttm),3.48
6,546,2,2,2018-07-03 03:02:55,2018-07-03,Price/Book (mrq),0.97
7,546,2,2,2018-07-03 03:02:55,2018-07-03,Enterprise Value/Revenue 3,5.51
8,546,2,2,2018-07-03 03:02:55,2018-07-03,Enterprise Value/EBITDA 6,
0,546,3,2,2018-07-03 03:02:55,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,546,3,2,2018-07-03 03:02:55,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,546,3,2,2018-07-03 03:02:55,2018-07-03,Profit Margin,31.39%
1,546,3,2,2018-07-03 03:02:55,2018-07-03,Operating Margin (ttm),39.40%
0,546,3,2,2018-07-03 03:02:55,2018-07-03,Return on Assets (ttm),1.13%
1,546,3,2,2018-07-03 03:02:55,2018-07-03,Return on Equity (ttm),8.62%
0,546,3,2,2018-07-03 03:02:55,2018-07-03,Revenue (ttm),5.48B
1,546,3,2,2018-07-03 03:02:55,2018-07-03,Revenue Per Share (ttm),11.03
2,546,3,2,2018-07-03 03:02:55,2018-07-03,Quarterly Revenue Growth (yoy),7.50%
3,546,3,2,2018-07-03 03:02:55,2018-07-03,Gross Profit (ttm),5.38B
4,546,3,2,2018-07-03 03:02:55,2018-07-03,EBITDA,
5,546,3,2,2018-07-03 03:02:55,2018-07-03,Net Income Avi to Common (ttm),1.71B
6,546,3,2,2018-07-03 03:02:55,2018-07-03,Diluted EPS (ttm),3.43
7,546,3,2,2018-07-03 03:02:55,2018-07-03,Quarterly Earnings Growth (yoy),21.20%
0,546,3,2,2018-07-03 03:02:55,2018-07-03,Total Cash (mrq),4.28B
1,546,3,2,2018-07-03 03:02:55,2018-07-03,Total Cash Per Share (mrq),8.82
2,546,3,2,2018-07-03 03:02:55,2018-07-03,Total Debt (mrq),15.63B
3,546,3,2,2018-07-03 03:02:55,2018-07-03,Total Debt/Equity (mrq),
4,546,3,2,2018-07-03 03:02:55,2018-07-03,Current Ratio (mrq),
5,546,3,2,2018-07-03 03:02:55,2018-07-03,Book Value Per Share (mrq),40.64
0,546,3,2,2018-07-03 03:02:55,2018-07-03,Operating Cash Flow (ttm),1.73B
1,546,3,2,2018-07-03 03:02:55,2018-07-03,Levered Free Cash Flow (ttm),
0,546,4,2,2018-07-03 03:02:55,2018-07-03,Beta,1.44
1,546,4,2,2018-07-03 03:02:55,2018-07-03,52-Week Change 3,6.46%
2,546,4,2,2018-07-03 03:02:55,2018-07-03,S&P500 52-Week Change 3,11.91%
3,546,4,2,2018-07-03 03:02:55,2018-07-03,52 Week High 3,48.23
4,546,4,2,2018-07-03 03:02:55,2018-07-03,52 Week Low 3,31.51
5,546,4,2,2018-07-03 03:02:55,2018-07-03,50-Day Moving Average 3,41.45
6,546,4,2,2018-07-03 03:02:55,2018-07-03,200-Day Moving Average 3,43.15
0,546,4,2,2018-07-03 03:02:55,2018-07-03,Avg Vol (3 month) 3,4.59M
1,546,4,2,2018-07-03 03:02:55,2018-07-03,Avg Vol (10 day) 3,5.85M
2,546,4,2,2018-07-03 03:02:55,2018-07-03,Shares Outstanding 5,484.73M
3,546,4,2,2018-07-03 03:02:55,2018-07-03,Float,483.36M
4,546,4,2,2018-07-03 03:02:55,2018-07-03,% Held by Insiders 1,0.24%
5,546,4,2,2018-07-03 03:02:55,2018-07-03,% Held by Institutions 1,98.51%
6,546,4,2,2018-07-03 03:02:55,2018-07-03,Shares Short 3,9.11M
7,546,4,2,2018-07-03 03:02:55,2018-07-03,Short Ratio 3,1.9
8,546,4,2,2018-07-03 03:02:55,2018-07-03,Short % of Float 3,2.10%
9,546,4,2,2018-07-03 03:02:55,2018-07-03,Shares Short (prior month) 3,8.11M
0,546,4,2,2018-07-03 03:02:55,2018-07-03,Forward Annual Dividend Rate 4,0.88
1,546,4,2,2018-07-03 03:02:55,2018-07-03,Forward Annual Dividend Yield 4,2.23%
2,546,4,2,2018-07-03 03:02:55,2018-07-03,Trailing Annual Dividend Rate 3,0.72
3,546,4,2,2018-07-03 03:02:55,2018-07-03,Trailing Annual Dividend Yield 3,1.85%
4,546,4,2,2018-07-03 03:02:55,2018-07-03,5 Year Average Dividend Yield 4,
5,546,4,2,2018-07-03 03:02:55,2018-07-03,Payout Ratio 4,21.05%
6,546,4,2,2018-07-03 03:02:55,2018-07-03,Dividend Date 3,"May 16, 2018"
7,546,4,2,2018-07-03 03:02:55,2018-07-03,Ex-Dividend Date 4,"May 1, 2018"
8,546,4,2,2018-07-03 03:02:55,2018-07-03,Last Split Factor (new per old) 2,
9,546,4,2,2018-07-03 03:02:55,2018-07-03,Last Split Date 3,
