,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,130,2,2,2018-07-03 00:27:06,2018-07-03,Market Cap (intraday) 5,56.33B
1,130,2,2,2018-07-03 00:27:06,2018-07-03,Enterprise Value 3,62.54B
2,130,2,2,2018-07-03 00:27:06,2018-07-03,Trailing P/E,27.38
3,130,2,2,2018-07-03 00:27:06,2018-07-03,Forward P/E 1,19.16
4,130,2,2,2018-07-03 00:27:06,2018-07-03,PEG Ratio (5 yr expected) 1,2.61
5,130,2,2,2018-07-03 00:27:06,2018-07-03,Price/Sales (ttm),3.59
6,130,2,2,2018-07-03 00:27:06,2018-07-03,Price/Book (mrq),
7,130,2,2,2018-07-03 00:27:06,2018-07-03,Enterprise Value/Revenue 3,3.98
8,130,2,2,2018-07-03 00:27:06,2018-07-03,Enterprise Value/EBITDA 6,14.02
0,130,3,2,2018-07-03 00:27:06,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,130,3,2,2018-07-03 00:27:06,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,130,3,2,2018-07-03 00:27:06,2018-07-03,Profit Margin,13.30%
1,130,3,2,2018-07-03 00:27:06,2018-07-03,Operating Margin (ttm),25.28%
0,130,3,2,2018-07-03 00:27:06,2018-07-03,Return on Assets (ttm),19.38%
1,130,3,2,2018-07-03 00:27:06,2018-07-03,Return on Equity (ttm),"4,668.75%"
0,130,3,2,2018-07-03 00:27:06,2018-07-03,Revenue (ttm),15.69B
1,130,3,2,2018-07-03 00:27:06,2018-07-03,Revenue Per Share (ttm),17.84
2,130,3,2,2018-07-03 00:27:06,2018-07-03,Quarterly Revenue Growth (yoy),6.40%
3,130,3,2,2018-07-03 00:27:06,2018-07-03,Gross Profit (ttm),9.36B
4,130,3,2,2018-07-03 00:27:06,2018-07-03,EBITDA,4.46B
5,130,3,2,2018-07-03 00:27:06,2018-07-03,Net Income Avi to Common (ttm),2.09B
6,130,3,2,2018-07-03 00:27:06,2018-07-03,Diluted EPS (ttm),2.36
7,130,3,2,2018-07-03 00:27:06,2018-07-03,Quarterly Earnings Growth (yoy),11.20%
0,130,3,2,2018-07-03 00:27:06,2018-07-03,Total Cash (mrq),906M
1,130,3,2,2018-07-03 00:27:06,2018-07-03,Total Cash Per Share (mrq),1.04
2,130,3,2,2018-07-03 00:27:06,2018-07-03,Total Debt (mrq),6.73B
3,130,3,2,2018-07-03 00:27:06,2018-07-03,Total Debt/Equity (mrq),6659.41
4,130,3,2,2018-07-03 00:27:06,2018-07-03,Current Ratio (mrq),1.08
5,130,3,2,2018-07-03 00:27:06,2018-07-03,Book Value Per Share (mrq),-0.28
0,130,3,2,2018-07-03 00:27:06,2018-07-03,Operating Cash Flow (ttm),2.98B
1,130,3,2,2018-07-03 00:27:06,2018-07-03,Levered Free Cash Flow (ttm),2.21B
0,130,4,2,2018-07-03 00:27:06,2018-07-03,Beta,0.58
1,130,4,2,2018-07-03 00:27:06,2018-07-03,52-Week Change 3,-12.35%
2,130,4,2,2018-07-03 00:27:06,2018-07-03,S&P500 52-Week Change 3,11.91%
3,130,4,2,2018-07-03 00:27:06,2018-07-03,52 Week High 3,77.91
4,130,4,2,2018-07-03 00:27:06,2018-07-03,52 Week Low 3,61.28
5,130,4,2,2018-07-03 00:27:06,2018-07-03,50-Day Moving Average 3,63.35
6,130,4,2,2018-07-03 00:27:06,2018-07-03,200-Day Moving Average 3,69.10
0,130,4,2,2018-07-03 00:27:06,2018-07-03,Avg Vol (3 month) 3,4.61M
1,130,4,2,2018-07-03 00:27:06,2018-07-03,Avg Vol (10 day) 3,4.09M
2,130,4,2,2018-07-03 00:27:06,2018-07-03,Shares Outstanding 5,872.32M
3,130,4,2,2018-07-03 00:27:06,2018-07-03,Float,814.26M
4,130,4,2,2018-07-03 00:27:06,2018-07-03,% Held by Insiders 1,0.36%
5,130,4,2,2018-07-03 00:27:06,2018-07-03,% Held by Institutions 1,75.84%
6,130,4,2,2018-07-03 00:27:06,2018-07-03,Shares Short 3,13.71M
7,130,4,2,2018-07-03 00:27:06,2018-07-03,Short Ratio 3,3.05
8,130,4,2,2018-07-03 00:27:06,2018-07-03,Short % of Float 3,1.58%
9,130,4,2,2018-07-03 00:27:06,2018-07-03,Shares Short (prior month) 3,13.01M
0,130,4,2,2018-07-03 00:27:06,2018-07-03,Forward Annual Dividend Rate 4,1.68
1,130,4,2,2018-07-03 00:27:06,2018-07-03,Forward Annual Dividend Yield 4,2.59%
2,130,4,2,2018-07-03 00:27:06,2018-07-03,Trailing Annual Dividend Rate 3,1.60
3,130,4,2,2018-07-03 00:27:06,2018-07-03,Trailing Annual Dividend Yield 3,2.47%
4,130,4,2,2018-07-03 00:27:06,2018-07-03,5 Year Average Dividend Yield 4,2.19
5,130,4,2,2018-07-03 00:27:06,2018-07-03,Payout Ratio 4,67.80%
6,130,4,2,2018-07-03 00:27:06,2018-07-03,Dividend Date 3,"Aug 15, 2018"
7,130,4,2,2018-07-03 00:27:06,2018-07-03,Ex-Dividend Date 4,"Jul 17, 2018"
8,130,4,2,2018-07-03 00:27:06,2018-07-03,Last Split Factor (new per old) 2,2/1
9,130,4,2,2018-07-03 00:27:06,2018-07-03,Last Split Date 3,"May 16, 2013"
