,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,137,2,2,2018-07-03 00:29:40,2018-07-03,Market Cap (intraday) 5,17.29B
1,137,2,2,2018-07-03 00:29:40,2018-07-03,Enterprise Value 3,18.37B
2,137,2,2,2018-07-03 00:29:40,2018-07-03,Trailing P/E,21.81
3,137,2,2,2018-07-03 00:29:40,2018-07-03,Forward P/E 1,20.90
4,137,2,2,2018-07-03 00:29:40,2018-07-03,PEG Ratio (5 yr expected) 1,2.72
5,137,2,2,2018-07-03 00:29:40,2018-07-03,Price/Sales (ttm),2.84
6,137,2,2,2018-07-03 00:29:40,2018-07-03,Price/Book (mrq),20.66
7,137,2,2,2018-07-03 00:29:40,2018-07-03,Enterprise Value/Revenue 3,3.02
8,137,2,2,2018-07-03 00:29:40,2018-07-03,Enterprise Value/EBITDA 6,14.68
0,137,3,2,2018-07-03 00:29:40,2018-07-03,Fiscal Year Ends,"Jun 30, 2017"
1,137,3,2,2018-07-03 00:29:40,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,137,3,2,2018-07-03 00:29:40,2018-07-03,Profit Margin,13.27%
1,137,3,2,2018-07-03 00:29:40,2018-07-03,Operating Margin (ttm),18.14%
0,137,3,2,2018-07-03 00:29:40,2018-07-03,Return on Assets (ttm),13.69%
1,137,3,2,2018-07-03 00:29:40,2018-07-03,Return on Equity (ttm),130.22%
0,137,3,2,2018-07-03 00:29:40,2018-07-03,Revenue (ttm),6.08B
1,137,3,2,2018-07-03 00:29:40,2018-07-03,Revenue Per Share (ttm),47.02
2,137,3,2,2018-07-03 00:29:40,2018-07-03,Quarterly Revenue Growth (yoy),2.70%
3,137,3,2,2018-07-03 00:29:40,2018-07-03,Gross Profit (ttm),2.67B
4,137,3,2,2018-07-03 00:29:40,2018-07-03,EBITDA,1.25B
5,137,3,2,2018-07-03 00:29:40,2018-07-03,Net Income Avi to Common (ttm),808M
6,137,3,2,2018-07-03 00:29:40,2018-07-03,Diluted EPS (ttm),6.12
7,137,3,2,2018-07-03 00:29:40,2018-07-03,Quarterly Earnings Growth (yoy),5.20%
0,137,3,2,2018-07-03 00:29:40,2018-07-03,Total Cash (mrq),1.17B
1,137,3,2,2018-07-03 00:29:40,2018-07-03,Total Cash Per Share (mrq),9.06
2,137,3,2,2018-07-03 00:29:40,2018-07-03,Total Debt (mrq),2.86B
3,137,3,2,2018-07-03 00:29:40,2018-07-03,Total Debt/Equity (mrq),341.10
4,137,3,2,2018-07-03 00:29:40,2018-07-03,Current Ratio (mrq),1.18
5,137,3,2,2018-07-03 00:29:40,2018-07-03,Book Value Per Share (mrq),6.46
0,137,3,2,2018-07-03 00:29:40,2018-07-03,Operating Cash Flow (ttm),960M
1,137,3,2,2018-07-03 00:29:40,2018-07-03,Levered Free Cash Flow (ttm),626.5M
0,137,4,2,2018-07-03 00:29:40,2018-07-03,Beta,0.34
1,137,4,2,2018-07-03 00:29:40,2018-07-03,52-Week Change 3,1.10%
2,137,4,2,2018-07-03 00:29:40,2018-07-03,S&P500 52-Week Change 3,11.91%
3,137,4,2,2018-07-03 00:29:40,2018-07-03,52 Week High 3,150.40
4,137,4,2,2018-07-03 00:29:40,2018-07-03,52 Week Low 3,113.57
5,137,4,2,2018-07-03 00:29:40,2018-07-03,50-Day Moving Average 3,124.64
6,137,4,2,2018-07-03 00:29:40,2018-07-03,200-Day Moving Average 3,130.34
0,137,4,2,2018-07-03 00:29:40,2018-07-03,Avg Vol (3 month) 3,1.39M
1,137,4,2,2018-07-03 00:29:40,2018-07-03,Avg Vol (10 day) 3,1.39M
2,137,4,2,2018-07-03 00:29:40,2018-07-03,Shares Outstanding 5,129.51M
3,137,4,2,2018-07-03 00:29:40,2018-07-03,Float,129.23M
4,137,4,2,2018-07-03 00:29:40,2018-07-03,% Held by Insiders 1,0.11%
5,137,4,2,2018-07-03 00:29:40,2018-07-03,% Held by Institutions 1,77.87%
6,137,4,2,2018-07-03 00:29:40,2018-07-03,Shares Short 3,9.62M
7,137,4,2,2018-07-03 00:29:40,2018-07-03,Short Ratio 3,6.37
8,137,4,2,2018-07-03 00:29:40,2018-07-03,Short % of Float 3,8.33%
9,137,4,2,2018-07-03 00:29:40,2018-07-03,Shares Short (prior month) 3,8.41M
0,137,4,2,2018-07-03 00:29:40,2018-07-03,Forward Annual Dividend Rate 4,3.84
1,137,4,2,2018-07-03 00:29:40,2018-07-03,Forward Annual Dividend Yield 4,2.98%
2,137,4,2,2018-07-03 00:29:40,2018-07-03,Trailing Annual Dividend Rate 3,3.48
3,137,4,2,2018-07-03 00:29:40,2018-07-03,Trailing Annual Dividend Yield 3,2.57%
4,137,4,2,2018-07-03 00:29:40,2018-07-03,5 Year Average Dividend Yield 4,2.69
5,137,4,2,2018-07-03 00:29:40,2018-07-03,Payout Ratio 4,54.16%
6,137,4,2,2018-07-03 00:29:40,2018-07-03,Dividend Date 3,"Aug 17, 2018"
7,137,4,2,2018-07-03 00:29:40,2018-07-03,Ex-Dividend Date 4,"Jul 31, 2018"
8,137,4,2,2018-07-03 00:29:40,2018-07-03,Last Split Factor (new per old) 2,2/1
9,137,4,2,2018-07-03 00:29:40,2018-07-03,Last Split Date 3,"Aug 24, 1999"
