,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,139,2,2,2018-07-03 00:30:25,2018-07-03,Market Cap (intraday) 5,15.78B
1,139,2,2,2018-07-03 00:30:25,2018-07-03,Enterprise Value 3,14.44B
2,139,2,2,2018-07-03 00:30:25,2018-07-03,Trailing P/E,19.89
3,139,2,2,2018-07-03 00:30:25,2018-07-03,Forward P/E 1,12.15
4,139,2,2,2018-07-03 00:30:25,2018-07-03,PEG Ratio (5 yr expected) 1,0.50
5,139,2,2,2018-07-03 00:30:25,2018-07-03,Price/Sales (ttm),5.01
6,139,2,2,2018-07-03 00:30:25,2018-07-03,Price/Book (mrq),1.98
7,139,2,2,2018-07-03 00:30:25,2018-07-03,Enterprise Value/Revenue 3,4.58
8,139,2,2,2018-07-03 00:30:25,2018-07-03,Enterprise Value/EBITDA 6,
0,139,3,2,2018-07-03 00:30:25,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,139,3,2,2018-07-03 00:30:25,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,139,3,2,2018-07-03 00:30:25,2018-07-03,Profit Margin,26.09%
1,139,3,2,2018-07-03 00:30:25,2018-07-03,Operating Margin (ttm),44.92%
0,139,3,2,2018-07-03 00:30:25,2018-07-03,Return on Assets (ttm),1.13%
1,139,3,2,2018-07-03 00:30:25,2018-07-03,Return on Equity (ttm),10.32%
0,139,3,2,2018-07-03 00:30:25,2018-07-03,Revenue (ttm),3.15B
1,139,3,2,2018-07-03 00:30:25,2018-07-03,Revenue Per Share (ttm),18.18
2,139,3,2,2018-07-03 00:30:25,2018-07-03,Quarterly Revenue Growth (yoy),7.70%
3,139,3,2,2018-07-03 00:30:25,2018-07-03,Gross Profit (ttm),3.09B
4,139,3,2,2018-07-03 00:30:25,2018-07-03,EBITDA,
5,139,3,2,2018-07-03 00:30:25,2018-07-03,Net Income Avi to Common (ttm),817M
6,139,3,2,2018-07-03 00:30:25,2018-07-03,Diluted EPS (ttm),4.61
7,139,3,2,2018-07-03 00:30:25,2018-07-03,Quarterly Earnings Growth (yoy),39.10%
0,139,3,2,2018-07-03 00:30:25,2018-07-03,Total Cash (mrq),6.96B
1,139,3,2,2018-07-03 00:30:25,2018-07-03,Total Cash Per Share (mrq),40.47
2,139,3,2,2018-07-03 00:30:25,2018-07-03,Total Debt (mrq),5.77B
3,139,3,2,2018-07-03 00:30:25,2018-07-03,Total Debt/Equity (mrq),
4,139,3,2,2018-07-03 00:30:25,2018-07-03,Current Ratio (mrq),
5,139,3,2,2018-07-03 00:30:25,2018-07-03,Book Value Per Share (mrq),46.38
0,139,3,2,2018-07-03 00:30:25,2018-07-03,Operating Cash Flow (ttm),1.06B
1,139,3,2,2018-07-03 00:30:25,2018-07-03,Levered Free Cash Flow (ttm),
0,139,4,2,2018-07-03 00:30:25,2018-07-03,Beta,1.45
1,139,4,2,2018-07-03 00:30:25,2018-07-03,52-Week Change 3,22.22%
2,139,4,2,2018-07-03 00:30:25,2018-07-03,S&P500 52-Week Change 3,11.91%
3,139,4,2,2018-07-03 00:30:25,2018-07-03,52 Week High 3,102.66
4,139,4,2,2018-07-03 00:30:25,2018-07-03,52 Week Low 3,64.04
5,139,4,2,2018-07-03 00:30:25,2018-07-03,50-Day Moving Average 3,95.97
6,139,4,2,2018-07-03 00:30:25,2018-07-03,200-Day Moving Average 3,94.94
0,139,4,2,2018-07-03 00:30:25,2018-07-03,Avg Vol (3 month) 3,1.59M
1,139,4,2,2018-07-03 00:30:25,2018-07-03,Avg Vol (10 day) 3,2.03M
2,139,4,2,2018-07-03 00:30:25,2018-07-03,Shares Outstanding 5,171.93M
3,139,4,2,2018-07-03 00:30:25,2018-07-03,Float,170.72M
4,139,4,2,2018-07-03 00:30:25,2018-07-03,% Held by Insiders 1,0.82%
5,139,4,2,2018-07-03 00:30:25,2018-07-03,% Held by Institutions 1,84.68%
6,139,4,2,2018-07-03 00:30:25,2018-07-03,Shares Short 3,4.33M
7,139,4,2,2018-07-03 00:30:25,2018-07-03,Short Ratio 3,2.8
8,139,4,2,2018-07-03 00:30:25,2018-07-03,Short % of Float 3,2.82%
9,139,4,2,2018-07-03 00:30:25,2018-07-03,Shares Short (prior month) 3,4.53M
0,139,4,2,2018-07-03 00:30:25,2018-07-03,Forward Annual Dividend Rate 4,1.36
1,139,4,2,2018-07-03 00:30:25,2018-07-03,Forward Annual Dividend Yield 4,1.50%
2,139,4,2,2018-07-03 00:30:25,2018-07-03,Trailing Annual Dividend Rate 3,1.16
3,139,4,2,2018-07-03 00:30:25,2018-07-03,Trailing Annual Dividend Yield 3,1.28%
4,139,4,2,2018-07-03 00:30:25,2018-07-03,5 Year Average Dividend Yield 4,1.57
5,139,4,2,2018-07-03 00:30:25,2018-07-03,Payout Ratio 4,25.11%
6,139,4,2,2018-07-03 00:30:25,2018-07-03,Dividend Date 3,"Jul 1, 2018"
7,139,4,2,2018-07-03 00:30:25,2018-07-03,Ex-Dividend Date 4,"Jun 14, 2018"
8,139,4,2,2018-07-03 00:30:25,2018-07-03,Last Split Factor (new per old) 2,3/2
9,139,4,2,2018-07-03 00:30:25,2018-07-03,Last Split Date 3,"Apr 2, 1998"
