,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,135,2,2,2018-07-03 00:28:56,2018-07-03,Market Cap (intraday) 5,12.31B
1,135,2,2,2018-07-03 00:28:56,2018-07-03,Enterprise Value 3,11.46B
2,135,2,2,2018-07-03 00:28:56,2018-07-03,Trailing P/E,66.18
3,135,2,2,2018-07-03 00:28:56,2018-07-03,Forward P/E 1,37.53
4,135,2,2,2018-07-03 00:28:56,2018-07-03,PEG Ratio (5 yr expected) 1,2.32
5,135,2,2,2018-07-03 00:28:56,2018-07-03,Price/Sales (ttm),2.70
6,135,2,2,2018-07-03 00:28:56,2018-07-03,Price/Book (mrq),9.03
7,135,2,2,2018-07-03 00:28:56,2018-07-03,Enterprise Value/Revenue 3,2.52
8,135,2,2,2018-07-03 00:28:56,2018-07-03,Enterprise Value/EBITDA 6,24.07
0,135,3,2,2018-07-03 00:28:56,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,135,3,2,2018-07-03 00:28:56,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,135,3,2,2018-07-03 00:28:56,2018-07-03,Profit Margin,4.16%
1,135,3,2,2018-07-03 00:28:56,2018-07-03,Operating Margin (ttm),6.70%
0,135,3,2,2018-07-03 00:28:56,2018-07-03,Return on Assets (ttm),9.17%
1,135,3,2,2018-07-03 00:28:56,2018-07-03,Return on Equity (ttm),13.68%
0,135,3,2,2018-07-03 00:28:56,2018-07-03,Revenue (ttm),4.56B
1,135,3,2,2018-07-03 00:28:56,2018-07-03,Revenue Per Share (ttm),161.10
2,135,3,2,2018-07-03 00:28:56,2018-07-03,Quarterly Revenue Growth (yoy),7.40%
3,135,3,2,2018-07-03 00:28:56,2018-07-03,Gross Profit (ttm),1.41B
4,135,3,2,2018-07-03 00:28:56,2018-07-03,EBITDA,476M
5,135,3,2,2018-07-03 00:28:56,2018-07-03,Net Income Avi to Common (ttm),189.58M
6,135,3,2,2018-07-03 00:28:56,2018-07-03,Diluted EPS (ttm),6.69
7,135,3,2,2018-07-03 00:28:56,2018-07-03,Quarterly Earnings Growth (yoy),28.90%
0,135,3,2,2018-07-03 00:28:56,2018-07-03,Total Cash (mrq),530.6M
1,135,3,2,2018-07-03 00:28:56,2018-07-03,Total Cash Per Share (mrq),19.09
2,135,3,2,2018-07-03 00:28:56,2018-07-03,Total Debt (mrq),
3,135,3,2,2018-07-03 00:28:56,2018-07-03,Total Debt/Equity (mrq),
4,135,3,2,2018-07-03 00:28:56,2018-07-03,Current Ratio (mrq),1.72
5,135,3,2,2018-07-03 00:28:56,2018-07-03,Book Value Per Share (mrq),49.02
0,135,3,2,2018-07-03 00:28:56,2018-07-03,Operating Cash Flow (ttm),517.63M
1,135,3,2,2018-07-03 00:28:56,2018-07-03,Levered Free Cash Flow (ttm),253.38M
0,135,4,2,2018-07-03 00:28:56,2018-07-03,Beta,0.45
1,135,4,2,2018-07-03 00:28:56,2018-07-03,52-Week Change 3,3.36%
2,135,4,2,2018-07-03 00:28:56,2018-07-03,S&P500 52-Week Change 3,11.91%
3,135,4,2,2018-07-03 00:28:56,2018-07-03,52 Week High 3,474.46
4,135,4,2,2018-07-03 00:28:56,2018-07-03,52 Week Low 3,247.52
5,135,4,2,2018-07-03 00:28:56,2018-07-03,50-Day Moving Average 3,447.20
6,135,4,2,2018-07-03 00:28:56,2018-07-03,200-Day Moving Average 3,357.96
0,135,4,2,2018-07-03 00:28:56,2018-07-03,Avg Vol (3 month) 3,899.6k
1,135,4,2,2018-07-03 00:28:56,2018-07-03,Avg Vol (10 day) 3,1.04M
2,135,4,2,2018-07-03 00:28:56,2018-07-03,Shares Outstanding 5,27.79M
3,135,4,2,2018-07-03 00:28:56,2018-07-03,Float,24.58M
4,135,4,2,2018-07-03 00:28:56,2018-07-03,% Held by Insiders 1,2.47%
5,135,4,2,2018-07-03 00:28:56,2018-07-03,% Held by Institutions 1,59.00%
6,135,4,2,2018-07-03 00:28:56,2018-07-03,Shares Short 3,3.13M
7,135,4,2,2018-07-03 00:28:56,2018-07-03,Short Ratio 3,4.51
8,135,4,2,2018-07-03 00:28:56,2018-07-03,Short % of Float 3,12.70%
9,135,4,2,2018-07-03 00:28:56,2018-07-03,Shares Short (prior month) 3,3.78M
0,135,4,2,2018-07-03 00:28:56,2018-07-03,Forward Annual Dividend Rate 4,
1,135,4,2,2018-07-03 00:28:56,2018-07-03,Forward Annual Dividend Yield 4,
2,135,4,2,2018-07-03 00:28:56,2018-07-03,Trailing Annual Dividend Rate 3,
3,135,4,2,2018-07-03 00:28:56,2018-07-03,Trailing Annual Dividend Yield 3,
4,135,4,2,2018-07-03 00:28:56,2018-07-03,5 Year Average Dividend Yield 4,
5,135,4,2,2018-07-03 00:28:56,2018-07-03,Payout Ratio 4,0.00%
6,135,4,2,2018-07-03 00:28:56,2018-07-03,Dividend Date 3,
7,135,4,2,2018-07-03 00:28:56,2018-07-03,Ex-Dividend Date 4,
8,135,4,2,2018-07-03 00:28:56,2018-07-03,Last Split Factor (new per old) 2,
9,135,4,2,2018-07-03 00:28:56,2018-07-03,Last Split Date 3,
