,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,144,2,2,2018-07-03 00:32:16,2018-07-03,Market Cap (intraday) 5,10.62B
1,144,2,2,2018-07-03 00:32:16,2018-07-03,Enterprise Value 3,11.3B
2,144,2,2,2018-07-03 00:32:16,2018-07-03,Trailing P/E,98.82
3,144,2,2,2018-07-03 00:32:16,2018-07-03,Forward P/E 1,14.79
4,144,2,2,2018-07-03 00:32:16,2018-07-03,PEG Ratio (5 yr expected) 1,0.46
5,144,2,2,2018-07-03 00:32:16,2018-07-03,Price/Sales (ttm),6.14
6,144,2,2,2018-07-03 00:32:16,2018-07-03,Price/Book (mrq),4.43
7,144,2,2,2018-07-03 00:32:16,2018-07-03,Enterprise Value/Revenue 3,6.53
8,144,2,2,2018-07-03 00:32:16,2018-07-03,Enterprise Value/EBITDA 6,11.42
0,144,3,2,2018-07-03 00:32:16,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,144,3,2,2018-07-03 00:32:16,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,144,3,2,2018-07-03 00:32:16,2018-07-03,Profit Margin,6.47%
1,144,3,2,2018-07-03 00:32:16,2018-07-03,Operating Margin (ttm),-0.49%
0,144,3,2,2018-07-03 00:32:16,2018-07-03,Return on Assets (ttm),-0.11%
1,144,3,2,2018-07-03 00:32:16,2018-07-03,Return on Equity (ttm),4.38%
0,144,3,2,2018-07-03 00:32:16,2018-07-03,Revenue (ttm),1.73B
1,144,3,2,2018-07-03 00:32:16,2018-07-03,Revenue Per Share (ttm),3.74
2,144,3,2,2018-07-03 00:32:16,2018-07-03,Quarterly Revenue Growth (yoy),-3.50%
3,144,3,2,2018-07-03 00:32:16,2018-07-03,Gross Profit (ttm),1.15B
4,144,3,2,2018-07-03 00:32:16,2018-07-03,EBITDA,990.11M
5,144,3,2,2018-07-03 00:32:16,2018-07-03,Net Income Avi to Common (ttm),111.9M
6,144,3,2,2018-07-03 00:32:16,2018-07-03,Diluted EPS (ttm),0.24
7,144,3,2,2018-07-03 00:32:16,2018-07-03,Quarterly Earnings Growth (yoy),10.90%
0,144,3,2,2018-07-03 00:32:16,2018-07-03,Total Cash (mrq),964.93M
1,144,3,2,2018-07-03 00:32:16,2018-07-03,Total Cash Per Share (mrq),2.14
2,144,3,2,2018-07-03 00:32:16,2018-07-03,Total Debt (mrq),1.52B
3,144,3,2,2018-07-03 00:32:16,2018-07-03,Total Debt/Equity (mrq),63.26
4,144,3,2,2018-07-03 00:32:16,2018-07-03,Current Ratio (mrq),2.42
5,144,3,2,2018-07-03 00:32:16,2018-07-03,Book Value Per Share (mrq),5.32
0,144,3,2,2018-07-03 00:32:16,2018-07-03,Operating Cash Flow (ttm),901.54M
1,144,3,2,2018-07-03 00:32:16,2018-07-03,Levered Free Cash Flow (ttm),187.61M
0,144,4,2,2018-07-03 00:32:16,2018-07-03,Beta,0.45
1,144,4,2,2018-07-03 00:32:16,2018-07-03,52-Week Change 3,-5.29%
2,144,4,2,2018-07-03 00:32:16,2018-07-03,S&P500 52-Week Change 3,11.91%
3,144,4,2,2018-07-03 00:32:16,2018-07-03,52 Week High 3,29.57
4,144,4,2,2018-07-03 00:32:16,2018-07-03,52 Week Low 3,21.71
5,144,4,2,2018-07-03 00:32:16,2018-07-03,50-Day Moving Average 3,23.25
6,144,4,2,2018-07-03 00:32:16,2018-07-03,200-Day Moving Average 3,24.74
0,144,4,2,2018-07-03 00:32:16,2018-07-03,Avg Vol (3 month) 3,5.88M
1,144,4,2,2018-07-03 00:32:16,2018-07-03,Avg Vol (10 day) 3,8.48M
2,144,4,2,2018-07-03 00:32:16,2018-07-03,Shares Outstanding 5,451.49M
3,144,4,2,2018-07-03 00:32:16,2018-07-03,Float,444.4M
4,144,4,2,2018-07-03 00:32:16,2018-07-03,% Held by Insiders 1,1.55%
5,144,4,2,2018-07-03 00:32:16,2018-07-03,% Held by Institutions 1,96.95%
6,144,4,2,2018-07-03 00:32:16,2018-07-03,Shares Short 3,20.42M
7,144,4,2,2018-07-03 00:32:16,2018-07-03,Short Ratio 3,3.64
8,144,4,2,2018-07-03 00:32:16,2018-07-03,Short % of Float 3,5.07%
9,144,4,2,2018-07-03 00:32:16,2018-07-03,Shares Short (prior month) 3,24.88M
0,144,4,2,2018-07-03 00:32:16,2018-07-03,Forward Annual Dividend Rate 4,0.24
1,144,4,2,2018-07-03 00:32:16,2018-07-03,Forward Annual Dividend Yield 4,1.01%
2,144,4,2,2018-07-03 00:32:16,2018-07-03,Trailing Annual Dividend Rate 3,0.21
3,144,4,2,2018-07-03 00:32:16,2018-07-03,Trailing Annual Dividend Yield 3,0.88%
4,144,4,2,2018-07-03 00:32:16,2018-07-03,5 Year Average Dividend Yield 4,0.37
5,144,4,2,2018-07-03 00:32:16,2018-07-03,Payout Ratio 4,87.50%
6,144,4,2,2018-07-03 00:32:16,2018-07-03,Dividend Date 3,"May 30, 2018"
7,144,4,2,2018-07-03 00:32:16,2018-07-03,Ex-Dividend Date 4,"May 15, 2018"
8,144,4,2,2018-07-03 00:32:16,2018-07-03,Last Split Factor (new per old) 2,2/1
9,144,4,2,2018-07-03 00:32:16,2018-07-03,Last Split Date 3,"Aug 15, 2013"
