,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,155,2,2,2018-07-03 00:36:21,2018-07-03,Market Cap (intraday) 5,46.57B
1,155,2,2,2018-07-03 00:36:21,2018-07-03,Enterprise Value 3,42.22B
2,155,2,2,2018-07-03 00:36:21,2018-07-03,Trailing P/E,32.04
3,155,2,2,2018-07-03 00:36:21,2018-07-03,Forward P/E 1,15.56
4,155,2,2,2018-07-03 00:36:21,2018-07-03,PEG Ratio (5 yr expected) 1,1.31
5,155,2,2,2018-07-03 00:36:21,2018-07-03,Price/Sales (ttm),3.07
6,155,2,2,2018-07-03 00:36:21,2018-07-03,Price/Book (mrq),4.24
7,155,2,2,2018-07-03 00:36:21,2018-07-03,Enterprise Value/Revenue 3,2.78
8,155,2,2,2018-07-03 00:36:21,2018-07-03,Enterprise Value/EBITDA 6,13.37
0,155,3,2,2018-07-03 00:36:21,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,155,3,2,2018-07-03 00:36:21,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,155,3,2,2018-07-03 00:36:21,2018-07-03,Profit Margin,9.67%
1,155,3,2,2018-07-03 00:36:21,2018-07-03,Operating Margin (ttm),17.80%
0,155,3,2,2018-07-03 00:36:21,2018-07-03,Return on Assets (ttm),11.78%
1,155,3,2,2018-07-03 00:36:21,2018-07-03,Return on Equity (ttm),13.99%
0,155,3,2,2018-07-03 00:36:21,2018-07-03,Revenue (ttm),15.18B
1,155,3,2,2018-07-03 00:36:21,2018-07-03,Revenue Per Share (ttm),25.79
2,155,3,2,2018-07-03 00:36:21,2018-07-03,Quarterly Revenue Growth (yoy),10.30%
3,155,3,2,2018-07-03 00:36:21,2018-07-03,Gross Profit (ttm),5.66B
4,155,3,2,2018-07-03 00:36:21,2018-07-03,EBITDA,3.16B
5,155,3,2,2018-07-03 00:36:21,2018-07-03,Net Income Avi to Common (ttm),1.47B
6,155,3,2,2018-07-03 00:36:21,2018-07-03,Diluted EPS (ttm),2.48
7,155,3,2,2018-07-03 00:36:21,2018-07-03,Quarterly Earnings Growth (yoy),-6.60%
0,155,3,2,2018-07-03 00:36:21,2018-07-03,Total Cash (mrq),4.83B
1,155,3,2,2018-07-03 00:36:21,2018-07-03,Total Cash Per Share (mrq),8.24
2,155,3,2,2018-07-03 00:36:21,2018-07-03,Total Debt (mrq),773M
3,155,3,2,2018-07-03 00:36:21,2018-07-03,Total Debt/Equity (mrq),7.03
4,155,3,2,2018-07-03 00:36:21,2018-07-03,Current Ratio (mrq),3.64
5,155,3,2,2018-07-03 00:36:21,2018-07-03,Book Value Per Share (mrq),18.75
0,155,3,2,2018-07-03 00:36:21,2018-07-03,Operating Cash Flow (ttm),2.52B
1,155,3,2,2018-07-03 00:36:21,2018-07-03,Levered Free Cash Flow (ttm),1.67B
0,155,4,2,2018-07-03 00:36:21,2018-07-03,Beta,0.76
1,155,4,2,2018-07-03 00:36:21,2018-07-03,52-Week Change 3,18.43%
2,155,4,2,2018-07-03 00:36:21,2018-07-03,S&P500 52-Week Change 3,11.91%
3,155,4,2,2018-07-03 00:36:21,2018-07-03,52 Week High 3,85.10
4,155,4,2,2018-07-03 00:36:21,2018-07-03,52 Week Low 3,66.05
5,155,4,2,2018-07-03 00:36:21,2018-07-03,50-Day Moving Average 3,77.18
6,155,4,2,2018-07-03 00:36:21,2018-07-03,200-Day Moving Average 3,78.26
0,155,4,2,2018-07-03 00:36:21,2018-07-03,Avg Vol (3 month) 3,3.53M
1,155,4,2,2018-07-03 00:36:21,2018-07-03,Avg Vol (10 day) 3,3.91M
2,155,4,2,2018-07-03 00:36:21,2018-07-03,Shares Outstanding 5,585.9M
3,155,4,2,2018-07-03 00:36:21,2018-07-03,Float,582.98M
4,155,4,2,2018-07-03 00:36:21,2018-07-03,% Held by Insiders 1,0.28%
5,155,4,2,2018-07-03 00:36:21,2018-07-03,% Held by Institutions 1,92.08%
6,155,4,2,2018-07-03 00:36:21,2018-07-03,Shares Short 3,15.27M
7,155,4,2,2018-07-03 00:36:21,2018-07-03,Short Ratio 3,4.44
8,155,4,2,2018-07-03 00:36:21,2018-07-03,Short % of Float 3,2.62%
9,155,4,2,2018-07-03 00:36:21,2018-07-03,Shares Short (prior month) 3,7.36M
0,155,4,2,2018-07-03 00:36:21,2018-07-03,Forward Annual Dividend Rate 4,0.8
1,155,4,2,2018-07-03 00:36:21,2018-07-03,Forward Annual Dividend Yield 4,1.01%
2,155,4,2,2018-07-03 00:36:21,2018-07-03,Trailing Annual Dividend Rate 3,0.65
3,155,4,2,2018-07-03 00:36:21,2018-07-03,Trailing Annual Dividend Yield 3,0.82%
4,155,4,2,2018-07-03 00:36:21,2018-07-03,5 Year Average Dividend Yield 4,
5,155,4,2,2018-07-03 00:36:21,2018-07-03,Payout Ratio 4,26.10%
6,155,4,2,2018-07-03 00:36:21,2018-07-03,Dividend Date 3,"May 31, 2018"
7,155,4,2,2018-07-03 00:36:21,2018-07-03,Ex-Dividend Date 4,"May 22, 2018"
8,155,4,2,2018-07-03 00:36:21,2018-07-03,Last Split Factor (new per old) 2,2/1
9,155,4,2,2018-07-03 00:36:21,2018-07-03,Last Split Date 3,"Mar 10, 2014"
