,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,160,2,2,2018-07-03 00:38:11,2018-07-03,Market Cap (intraday) 5,156.6B
1,160,2,2,2018-07-03 00:38:11,2018-07-03,Enterprise Value 3,179.01B
2,160,2,2,2018-07-03 00:38:11,2018-07-03,Trailing P/E,14.11
3,160,2,2,2018-07-03 00:38:11,2018-07-03,Forward P/E 1,13.75
4,160,2,2,2018-07-03 00:38:11,2018-07-03,PEG Ratio (5 yr expected) 1,1.14
5,160,2,2,2018-07-03 00:38:11,2018-07-03,Price/Sales (ttm),2.75
6,160,2,2,2018-07-03 00:38:11,2018-07-03,Price/Book (mrq),3.50
7,160,2,2,2018-07-03 00:38:11,2018-07-03,Enterprise Value/Revenue 3,3.14
8,160,2,2,2018-07-03 00:38:11,2018-07-03,Enterprise Value/EBITDA 6,10.38
0,160,3,2,2018-07-03 00:38:11,2018-07-03,Fiscal Year Ends,"Sep 30, 2017"
1,160,3,2,2018-07-03 00:38:11,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,160,3,2,2018-07-03 00:38:11,2018-07-03,Profit Margin,20.16%
1,160,3,2,2018-07-03 00:38:11,2018-07-03,Operating Margin (ttm),25.23%
0,160,3,2,2018-07-03 00:38:11,2018-07-03,Return on Assets (ttm),9.46%
1,160,3,2,2018-07-03 00:38:11,2018-07-03,Return on Equity (ttm),24.58%
0,160,3,2,2018-07-03 00:38:11,2018-07-03,Revenue (ttm),56.92B
1,160,3,2,2018-07-03 00:38:11,2018-07-03,Revenue Per Share (ttm),37.24
2,160,3,2,2018-07-03 00:38:11,2018-07-03,Quarterly Revenue Growth (yoy),9.10%
3,160,3,2,2018-07-03 00:38:11,2018-07-03,Gross Profit (ttm),24.83B
4,160,3,2,2018-07-03 00:38:11,2018-07-03,EBITDA,17.25B
5,160,3,2,2018-07-03 00:38:11,2018-07-03,Net Income Avi to Common (ttm),11.47B
6,160,3,2,2018-07-03 00:38:11,2018-07-03,Diluted EPS (ttm),7.46
7,160,3,2,2018-07-03 00:38:11,2018-07-03,Quarterly Earnings Growth (yoy),23.00%
0,160,3,2,2018-07-03 00:38:11,2018-07-03,Total Cash (mrq),4.18B
1,160,3,2,2018-07-03 00:38:11,2018-07-03,Total Cash Per Share (mrq),2.8
2,160,3,2,2018-07-03 00:38:11,2018-07-03,Total Debt (mrq),24.68B
3,160,3,2,2018-07-03 00:38:11,2018-07-03,Total Debt/Equity (mrq),49.56
4,160,3,2,2018-07-03 00:38:11,2018-07-03,Current Ratio (mrq),0.85
5,160,3,2,2018-07-03 00:38:11,2018-07-03,Book Value Per Share (mrq),30.10
0,160,3,2,2018-07-03 00:38:11,2018-07-03,Operating Cash Flow (ttm),14.43B
1,160,3,2,2018-07-03 00:38:11,2018-07-03,Levered Free Cash Flow (ttm),9.28B
0,160,4,2,2018-07-03 00:38:11,2018-07-03,Beta,1.16
1,160,4,2,2018-07-03 00:38:11,2018-07-03,52-Week Change 3,-2.47%
2,160,4,2,2018-07-03 00:38:11,2018-07-03,S&P500 52-Week Change 3,11.91%
3,160,4,2,2018-07-03 00:38:11,2018-07-03,52 Week High 3,113.19
4,160,4,2,2018-07-03 00:38:11,2018-07-03,52 Week Low 3,96.20
5,160,4,2,2018-07-03 00:38:11,2018-07-03,50-Day Moving Average 3,103.78
6,160,4,2,2018-07-03 00:38:11,2018-07-03,200-Day Moving Average 3,104.64
0,160,4,2,2018-07-03 00:38:11,2018-07-03,Avg Vol (3 month) 3,8.73M
1,160,4,2,2018-07-03 00:38:11,2018-07-03,Avg Vol (10 day) 3,7.56M
2,160,4,2,2018-07-03 00:38:11,2018-07-03,Shares Outstanding 5,1.49B
3,160,4,2,2018-07-03 00:38:11,2018-07-03,Float,1.42B
4,160,4,2,2018-07-03 00:38:11,2018-07-03,% Held by Insiders 1,4.47%
5,160,4,2,2018-07-03 00:38:11,2018-07-03,% Held by Institutions 1,65.30%
6,160,4,2,2018-07-03 00:38:11,2018-07-03,Shares Short 3,30.13M
7,160,4,2,2018-07-03 00:38:11,2018-07-03,Short Ratio 3,3.41
8,160,4,2,2018-07-03 00:38:11,2018-07-03,Short % of Float 3,2.00%
9,160,4,2,2018-07-03 00:38:11,2018-07-03,Shares Short (prior month) 3,31.13M
0,160,4,2,2018-07-03 00:38:11,2018-07-03,Forward Annual Dividend Rate 4,1.68
1,160,4,2,2018-07-03 00:38:11,2018-07-03,Forward Annual Dividend Yield 4,1.58%
2,160,4,2,2018-07-03 00:38:11,2018-07-03,Trailing Annual Dividend Rate 3,0.84
3,160,4,2,2018-07-03 00:38:11,2018-07-03,Trailing Annual Dividend Yield 3,0.80%
4,160,4,2,2018-07-03 00:38:11,2018-07-03,5 Year Average Dividend Yield 4,1.32
5,160,4,2,2018-07-03 00:38:11,2018-07-03,Payout Ratio 4,21.60%
6,160,4,2,2018-07-03 00:38:11,2018-07-03,Dividend Date 3,"Jul 26, 2018"
7,160,4,2,2018-07-03 00:38:11,2018-07-03,Ex-Dividend Date 4,"Dec 8, 2017"
8,160,4,2,2018-07-03 00:38:11,2018-07-03,Last Split Factor (new per old) 2,1014/1000
9,160,4,2,2018-07-03 00:38:11,2018-07-03,Last Split Date 3,"Jun 13, 2007"
