,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,171,2,2,2018-07-03 00:42:15,2018-07-03,Market Cap (intraday) 5,36.45B
1,171,2,2,2018-07-03 00:42:15,2018-07-03,Enterprise Value 3,40.49B
2,171,2,2,2018-07-03 00:42:15,2018-07-03,Trailing P/E,
3,171,2,2,2018-07-03 00:42:15,2018-07-03,Forward P/E 1,13.89
4,171,2,2,2018-07-03 00:42:15,2018-07-03,PEG Ratio (5 yr expected) 1,0.97
5,171,2,2,2018-07-03 00:42:15,2018-07-03,Price/Sales (ttm),3.70
6,171,2,2,2018-07-03 00:42:15,2018-07-03,Price/Book (mrq),4.86
7,171,2,2,2018-07-03 00:42:15,2018-07-03,Enterprise Value/Revenue 3,4.11
8,171,2,2,2018-07-03 00:42:15,2018-07-03,Enterprise Value/EBITDA 6,13.55
0,171,3,2,2018-07-03 00:42:15,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,171,3,2,2018-07-03 00:42:15,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,171,3,2,2018-07-03 00:42:15,2018-07-03,Profit Margin,-16.70%
1,171,3,2,2018-07-03 00:42:15,2018-07-03,Operating Margin (ttm),23.33%
0,171,3,2,2018-07-03 00:42:15,2018-07-03,Return on Assets (ttm),5.82%
1,171,3,2,2018-07-03 00:42:15,2018-07-03,Return on Equity (ttm),-17.09%
0,171,3,2,2018-07-03 00:42:15,2018-07-03,Revenue (ttm),9.84B
1,171,3,2,2018-07-03 00:42:15,2018-07-03,Revenue Per Share (ttm),9.41
2,171,3,2,2018-07-03 00:42:15,2018-07-03,Quarterly Revenue Growth (yoy),12.00%
3,171,3,2,2018-07-03 00:42:15,2018-07-03,Gross Profit (ttm),7.34B
4,171,3,2,2018-07-03 00:42:15,2018-07-03,EBITDA,2.99B
5,171,3,2,2018-07-03 00:42:15,2018-07-03,Net Income Avi to Common (ttm),-1.64B
6,171,3,2,2018-07-03 00:42:15,2018-07-03,Diluted EPS (ttm),-1.57
7,171,3,2,2018-07-03 00:42:15,2018-07-03,Quarterly Earnings Growth (yoy),-60.70%
0,171,3,2,2018-07-03 00:42:15,2018-07-03,Total Cash (mrq),4.81B
1,171,3,2,2018-07-03 00:42:15,2018-07-03,Total Cash Per Share (mrq),4.84
2,171,3,2,2018-07-03 00:42:15,2018-07-03,Total Debt (mrq),9.26B
3,171,3,2,2018-07-03 00:42:15,2018-07-03,Total Debt/Equity (mrq),121.85
4,171,3,2,2018-07-03 00:42:15,2018-07-03,Current Ratio (mrq),2.63
5,171,3,2,2018-07-03 00:42:15,2018-07-03,Book Value Per Share (mrq),7.54
0,171,3,2,2018-07-03 00:42:15,2018-07-03,Operating Cash Flow (ttm),3.06B
1,171,3,2,2018-07-03 00:42:15,2018-07-03,Levered Free Cash Flow (ttm),1.86B
0,171,4,2,2018-07-03 00:42:15,2018-07-03,Beta,1.49
1,171,4,2,2018-07-03 00:42:15,2018-07-03,52-Week Change 3,4.80%
2,171,4,2,2018-07-03 00:42:15,2018-07-03,S&P500 52-Week Change 3,11.91%
3,171,4,2,2018-07-03 00:42:15,2018-07-03,52 Week High 3,46.99
4,171,4,2,2018-07-03 00:42:15,2018-07-03,52 Week Low 3,33.95
5,171,4,2,2018-07-03 00:42:15,2018-07-03,50-Day Moving Average 3,38.44
6,171,4,2,2018-07-03 00:42:15,2018-07-03,200-Day Moving Average 3,39.94
0,171,4,2,2018-07-03 00:42:15,2018-07-03,Avg Vol (3 month) 3,9.47M
1,171,4,2,2018-07-03 00:42:15,2018-07-03,Avg Vol (10 day) 3,10.85M
2,171,4,2,2018-07-03 00:42:15,2018-07-03,Shares Outstanding 5,993.98M
3,171,4,2,2018-07-03 00:42:15,2018-07-03,Float,933.07M
4,171,4,2,2018-07-03 00:42:15,2018-07-03,% Held by Insiders 1,6.11%
5,171,4,2,2018-07-03 00:42:15,2018-07-03,% Held by Institutions 1,88.91%
6,171,4,2,2018-07-03 00:42:15,2018-07-03,Shares Short 3,26.53M
7,171,4,2,2018-07-03 00:42:15,2018-07-03,Short Ratio 3,3.09
8,171,4,2,2018-07-03 00:42:15,2018-07-03,Short % of Float 3,2.67%
9,171,4,2,2018-07-03 00:42:15,2018-07-03,Shares Short (prior month) 3,29.62M
0,171,4,2,2018-07-03 00:42:15,2018-07-03,Forward Annual Dividend Rate 4,
1,171,4,2,2018-07-03 00:42:15,2018-07-03,Forward Annual Dividend Yield 4,
2,171,4,2,2018-07-03 00:42:15,2018-07-03,Trailing Annual Dividend Rate 3,
3,171,4,2,2018-07-03 00:42:15,2018-07-03,Trailing Annual Dividend Yield 3,
4,171,4,2,2018-07-03 00:42:15,2018-07-03,5 Year Average Dividend Yield 4,
5,171,4,2,2018-07-03 00:42:15,2018-07-03,Payout Ratio 4,0.00%
6,171,4,2,2018-07-03 00:42:15,2018-07-03,Dividend Date 3,
7,171,4,2,2018-07-03 00:42:15,2018-07-03,Ex-Dividend Date 4,
8,171,4,2,2018-07-03 00:42:15,2018-07-03,Last Split Factor (new per old) 2,2376/1000
9,171,4,2,2018-07-03 00:42:15,2018-07-03,Last Split Date 3,"Jul 20, 2015"
