,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,180,2,2,2018-07-03 00:45:36,2018-07-03,Market Cap (intraday) 5,70.85B
1,180,2,2,2018-07-03 00:45:36,2018-07-03,Enterprise Value 3,74.22B
2,180,2,2,2018-07-03 00:45:36,2018-07-03,Trailing P/E,22.22
3,180,2,2,2018-07-03 00:45:36,2018-07-03,Forward P/E 1,19.49
4,180,2,2,2018-07-03 00:45:36,2018-07-03,PEG Ratio (5 yr expected) 1,0.26
5,180,2,2,2018-07-03 00:45:36,2018-07-03,Price/Sales (ttm),5.68
6,180,2,2,2018-07-03 00:45:36,2018-07-03,Price/Book (mrq),4.21
7,180,2,2,2018-07-03 00:45:36,2018-07-03,Enterprise Value/Revenue 3,5.95
8,180,2,2,2018-07-03 00:45:36,2018-07-03,Enterprise Value/EBITDA 6,13.54
0,180,3,2,2018-07-03 00:45:36,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,180,3,2,2018-07-03 00:45:36,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,180,3,2,2018-07-03 00:45:36,2018-07-03,Profit Margin,25.59%
1,180,3,2,2018-07-03 00:45:36,2018-07-03,Operating Margin (ttm),14.70%
0,180,3,2,2018-07-03 00:45:36,2018-07-03,Return on Assets (ttm),3.82%
1,180,3,2,2018-07-03 00:45:36,2018-07-03,Return on Equity (ttm),20.75%
0,180,3,2,2018-07-03 00:45:36,2018-07-03,Revenue (ttm),12.48B
1,180,3,2,2018-07-03 00:45:36,2018-07-03,Revenue Per Share (ttm),21.70
2,180,3,2,2018-07-03 00:45:36,2018-07-03,Quarterly Revenue Growth (yoy),46.40%
3,180,3,2,2018-07-03 00:45:36,2018-07-03,Gross Profit (ttm),9.27B
4,180,3,2,2018-07-03 00:45:36,2018-07-03,EBITDA,5.48B
5,180,3,2,2018-07-03 00:45:36,2018-07-03,Net Income Avi to Common (ttm),3.19B
6,180,3,2,2018-07-03 00:45:36,2018-07-03,Diluted EPS (ttm),5.51
7,180,3,2,2018-07-03 00:45:36,2018-07-03,Quarterly Earnings Growth (yoy),"2,139.30%"
0,180,3,2,2018-07-03 00:45:36,2018-07-03,Total Cash (mrq),816.09M
1,180,3,2,2018-07-03 00:45:36,2018-07-03,Total Cash Per Share (mrq),1.41
2,180,3,2,2018-07-03 00:45:36,2018-07-03,Total Debt (mrq),6.43B
3,180,3,2,2018-07-03 00:45:36,2018-07-03,Total Debt/Equity (mrq),38.21
4,180,3,2,2018-07-03 00:45:36,2018-07-03,Current Ratio (mrq),1.26
5,180,3,2,2018-07-03 00:45:36,2018-07-03,Book Value Per Share (mrq),29.09
0,180,3,2,2018-07-03 00:45:36,2018-07-03,Operating Cash Flow (ttm),4.92B
1,180,3,2,2018-07-03 00:45:36,2018-07-03,Levered Free Cash Flow (ttm),-323.61M
0,180,4,2,2018-07-03 00:45:36,2018-07-03,Beta,1.21
1,180,4,2,2018-07-03 00:45:36,2018-07-03,52-Week Change 3,34.71%
2,180,4,2,2018-07-03 00:45:36,2018-07-03,S&P500 52-Week Change 3,11.91%
3,180,4,2,2018-07-03 00:45:36,2018-07-03,52 Week High 3,128.03
4,180,4,2,2018-07-03 00:45:36,2018-07-03,52 Week Low 3,81.99
5,180,4,2,2018-07-03 00:45:36,2018-07-03,50-Day Moving Average 3,119.60
6,180,4,2,2018-07-03 00:45:36,2018-07-03,200-Day Moving Average 3,111.50
0,180,4,2,2018-07-03 00:45:36,2018-07-03,Avg Vol (3 month) 3,3.62M
1,180,4,2,2018-07-03 00:45:36,2018-07-03,Avg Vol (10 day) 3,2.97M
2,180,4,2,2018-07-03 00:45:36,2018-07-03,Shares Outstanding 5,578.86M
3,180,4,2,2018-07-03 00:45:36,2018-07-03,Float,576.48M
4,180,4,2,2018-07-03 00:45:36,2018-07-03,% Held by Insiders 1,0.47%
5,180,4,2,2018-07-03 00:45:36,2018-07-03,% Held by Institutions 1,87.77%
6,180,4,2,2018-07-03 00:45:36,2018-07-03,Shares Short 3,12.6M
7,180,4,2,2018-07-03 00:45:36,2018-07-03,Short Ratio 3,3.29
8,180,4,2,2018-07-03 00:45:36,2018-07-03,Short % of Float 3,2.18%
9,180,4,2,2018-07-03 00:45:36,2018-07-03,Shares Short (prior month) 3,12.71M
0,180,4,2,2018-07-03 00:45:36,2018-07-03,Forward Annual Dividend Rate 4,0.74
1,180,4,2,2018-07-03 00:45:36,2018-07-03,Forward Annual Dividend Yield 4,0.62%
2,180,4,2,2018-07-03 00:45:36,2018-07-03,Trailing Annual Dividend Rate 3,0.69
3,180,4,2,2018-07-03 00:45:36,2018-07-03,Trailing Annual Dividend Yield 3,0.55%
4,180,4,2,2018-07-03 00:45:36,2018-07-03,5 Year Average Dividend Yield 4,0.65
5,180,4,2,2018-07-03 00:45:36,2018-07-03,Payout Ratio 4,12.16%
6,180,4,2,2018-07-03 00:45:36,2018-07-03,Dividend Date 3,"Jul 31, 2018"
7,180,4,2,2018-07-03 00:45:36,2018-07-03,Ex-Dividend Date 4,"Jul 16, 2018"
8,180,4,2,2018-07-03 00:45:36,2018-07-03,Last Split Factor (new per old) 2,2/1
9,180,4,2,2018-07-03 00:45:36,2018-07-03,Last Split Date 3,"Apr 1, 2014"
