,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,197,2,2,2018-07-03 00:52:05,2018-07-03,Market Cap (intraday) 5,17.27B
1,197,2,2,2018-07-03 00:52:05,2018-07-03,Enterprise Value 3,35.58B
2,197,2,2,2018-07-03 00:52:05,2018-07-03,Trailing P/E,
3,197,2,2,2018-07-03 00:52:05,2018-07-03,Forward P/E 1,14.43
4,197,2,2,2018-07-03 00:52:05,2018-07-03,PEG Ratio (5 yr expected) 1,-2.18
5,197,2,2,2018-07-03 00:52:05,2018-07-03,Price/Sales (ttm),1.26
6,197,2,2,2018-07-03 00:52:05,2018-07-03,Price/Book (mrq),2.39
7,197,2,2,2018-07-03 00:52:05,2018-07-03,Enterprise Value/Revenue 3,2.59
8,197,2,2,2018-07-03 00:52:05,2018-07-03,Enterprise Value/EBITDA 6,8.82
0,197,3,2,2018-07-03 00:52:05,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,197,3,2,2018-07-03 00:52:05,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,197,3,2,2018-07-03 00:52:05,2018-07-03,Profit Margin,-4.07%
1,197,3,2,2018-07-03 00:52:05,2018-07-03,Operating Margin (ttm),18.53%
0,197,3,2,2018-07-03 00:52:05,2018-07-03,Return on Assets (ttm),3.88%
1,197,3,2,2018-07-03 00:52:05,2018-07-03,Return on Equity (ttm),-26.70%
0,197,3,2,2018-07-03 00:52:05,2018-07-03,Revenue (ttm),13.75B
1,197,3,2,2018-07-03 00:52:05,2018-07-03,Revenue Per Share (ttm),30.40
2,197,3,2,2018-07-03 00:52:05,2018-07-03,Quarterly Revenue Growth (yoy),4.30%
3,197,3,2,2018-07-03 00:52:05,2018-07-03,Gross Profit (ttm),9.44B
4,197,3,2,2018-07-03 00:52:05,2018-07-03,EBITDA,4.03B
5,197,3,2,2018-07-03 00:52:05,2018-07-03,Net Income Avi to Common (ttm),-1.96B
6,197,3,2,2018-07-03 00:52:05,2018-07-03,Diluted EPS (ttm),-1.59
7,197,3,2,2018-07-03 00:52:05,2018-07-03,Quarterly Earnings Growth (yoy),567.80%
0,197,3,2,2018-07-03 00:52:05,2018-07-03,Total Cash (mrq),248M
1,197,3,2,2018-07-03 00:52:05,2018-07-03,Total Cash Per Share (mrq),0.52
2,197,3,2,2018-07-03 00:52:05,2018-07-03,Total Debt (mrq),19.1B
3,197,3,2,2018-07-03 00:52:05,2018-07-03,Total Debt/Equity (mrq),258.94
4,197,3,2,2018-07-03 00:52:05,2018-07-03,Current Ratio (mrq),0.46
5,197,3,2,2018-07-03 00:52:05,2018-07-03,Book Value Per Share (mrq),15.12
0,197,3,2,2018-07-03 00:52:05,2018-07-03,Operating Cash Flow (ttm),2.14B
1,197,3,2,2018-07-03 00:52:05,2018-07-03,Levered Free Cash Flow (ttm),369M
0,197,4,2,2018-07-03 00:52:05,2018-07-03,Beta,0.39
1,197,4,2,2018-07-03 00:52:05,2018-07-03,52-Week Change 3,23.57%
2,197,4,2,2018-07-03 00:52:05,2018-07-03,S&P500 52-Week Change 3,11.91%
3,197,4,2,2018-07-03 00:52:05,2018-07-03,52 Week High 3,36.71
4,197,4,2,2018-07-03 00:52:05,2018-07-03,52 Week Low 3,28.93
5,197,4,2,2018-07-03 00:52:05,2018-07-03,50-Day Moving Average 3,34.28
6,197,4,2,2018-07-03 00:52:05,2018-07-03,200-Day Moving Average 3,33.02
0,197,4,2,2018-07-03 00:52:05,2018-07-03,Avg Vol (3 month) 3,4.14M
1,197,4,2,2018-07-03 00:52:05,2018-07-03,Avg Vol (10 day) 3,4.49M
2,197,4,2,2018-07-03 00:52:05,2018-07-03,Shares Outstanding 5,476.91M
3,197,4,2,2018-07-03 00:52:05,2018-07-03,Float,445.46M
4,197,4,2,2018-07-03 00:52:05,2018-07-03,% Held by Insiders 1,5.53%
5,197,4,2,2018-07-03 00:52:05,2018-07-03,% Held by Institutions 1,0.00%
6,197,4,2,2018-07-03 00:52:05,2018-07-03,Shares Short 3,32.96M
7,197,4,2,2018-07-03 00:52:05,2018-07-03,Short Ratio 3,8.06
8,197,4,2,2018-07-03 00:52:05,2018-07-03,Short % of Float 3,9.58%
9,197,4,2,2018-07-03 00:52:05,2018-07-03,Shares Short (prior month) 3,33.6M
0,197,4,2,2018-07-03 00:52:05,2018-07-03,Forward Annual Dividend Rate 4,1.44
1,197,4,2,2018-07-03 00:52:05,2018-07-03,Forward Annual Dividend Yield 4,4.10%
2,197,4,2,2018-07-03 00:52:05,2018-07-03,Trailing Annual Dividend Rate 3,1.44
3,197,4,2,2018-07-03 00:52:05,2018-07-03,Trailing Annual Dividend Yield 3,4.01%
4,197,4,2,2018-07-03 00:52:05,2018-07-03,5 Year Average Dividend Yield 4,4.77
5,197,4,2,2018-07-03 00:52:05,2018-07-03,Payout Ratio 4,
6,197,4,2,2018-07-03 00:52:05,2018-07-03,Dividend Date 3,"Jun 1, 2018"
7,197,4,2,2018-07-03 00:52:05,2018-07-03,Ex-Dividend Date 4,"May 4, 2018"
8,197,4,2,2018-07-03 00:52:05,2018-07-03,Last Split Factor (new per old) 2,3/1
9,197,4,2,2018-07-03 00:52:05,2018-07-03,Last Split Date 3,"Apr 4, 2003"
