,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,201,2,2,2018-07-03 00:53:34,2018-07-03,Market Cap (intraday) 5,5.25B
1,201,2,2,2018-07-03 00:53:34,2018-07-03,Enterprise Value 3,6.37B
2,201,2,2,2018-07-03 00:53:34,2018-07-03,Trailing P/E,
3,201,2,2,2018-07-03 00:53:34,2018-07-03,Forward P/E 1,19.75
4,201,2,2,2018-07-03 00:53:34,2018-07-03,PEG Ratio (5 yr expected) 1,3.49
5,201,2,2,2018-07-03 00:53:34,2018-07-03,Price/Sales (ttm),1.41
6,201,2,2,2018-07-03 00:53:34,2018-07-03,Price/Book (mrq),3.11
7,201,2,2,2018-07-03 00:53:34,2018-07-03,Enterprise Value/Revenue 3,1.72
8,201,2,2,2018-07-03 00:53:34,2018-07-03,Enterprise Value/EBITDA 6,16.20
0,201,3,2,2018-07-03 00:53:34,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,201,3,2,2018-07-03 00:53:34,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,201,3,2,2018-07-03 00:53:34,2018-07-03,Profit Margin,-0.03%
1,201,3,2,2018-07-03 00:53:34,2018-07-03,Operating Margin (ttm),7.40%
0,201,3,2,2018-07-03 00:53:34,2018-07-03,Return on Assets (ttm),3.64%
1,201,3,2,2018-07-03 00:53:34,2018-07-03,Return on Equity (ttm),0.09%
0,201,3,2,2018-07-03 00:53:34,2018-07-03,Revenue (ttm),3.71B
1,201,3,2,2018-07-03 00:53:34,2018-07-03,Revenue Per Share (ttm),28.41
2,201,3,2,2018-07-03 00:53:34,2018-07-03,Quarterly Revenue Growth (yoy),6.20%
3,201,3,2,2018-07-03 00:53:34,2018-07-03,Gross Profit (ttm),1.09B
4,201,3,2,2018-07-03 00:53:34,2018-07-03,EBITDA,393.52M
5,201,3,2,2018-07-03 00:53:34,2018-07-03,Net Income Avi to Common (ttm),-1.25M
6,201,3,2,2018-07-03 00:53:34,2018-07-03,Diluted EPS (ttm),-0.01
7,201,3,2,2018-07-03 00:53:34,2018-07-03,Quarterly Earnings Growth (yoy),-20.50%
0,201,3,2,2018-07-03 00:53:34,2018-07-03,Total Cash (mrq),535.66M
1,201,3,2,2018-07-03 00:53:34,2018-07-03,Total Cash Per Share (mrq),4.09
2,201,3,2,2018-07-03 00:53:34,2018-07-03,Total Debt (mrq),1.57B
3,201,3,2,2018-07-03 00:53:34,2018-07-03,Total Debt/Equity (mrq),92.33
4,201,3,2,2018-07-03 00:53:34,2018-07-03,Current Ratio (mrq),2.29
5,201,3,2,2018-07-03 00:53:34,2018-07-03,Book Value Per Share (mrq),12.91
0,201,3,2,2018-07-03 00:53:34,2018-07-03,Operating Cash Flow (ttm),186.41M
1,201,3,2,2018-07-03 00:53:34,2018-07-03,Levered Free Cash Flow (ttm),232.84M
0,201,4,2,2018-07-03 00:53:34,2018-07-03,Beta,1.15
1,201,4,2,2018-07-03 00:53:34,2018-07-03,52-Week Change 3,-13.93%
2,201,4,2,2018-07-03 00:53:34,2018-07-03,S&P500 52-Week Change 3,11.91%
3,201,4,2,2018-07-03 00:53:34,2018-07-03,52 Week High 3,48.10
4,201,4,2,2018-07-03 00:53:34,2018-07-03,52 Week Low 3,37.51
5,201,4,2,2018-07-03 00:53:34,2018-07-03,50-Day Moving Average 3,41.92
6,201,4,2,2018-07-03 00:53:34,2018-07-03,200-Day Moving Average 3,43.39
0,201,4,2,2018-07-03 00:53:34,2018-07-03,Avg Vol (3 month) 3,1.43M
1,201,4,2,2018-07-03 00:53:34,2018-07-03,Avg Vol (10 day) 3,1.1M
2,201,4,2,2018-07-03 00:53:34,2018-07-03,Shares Outstanding 5,130.83M
3,201,4,2,2018-07-03 00:53:34,2018-07-03,Float,130.63M
4,201,4,2,2018-07-03 00:53:34,2018-07-03,% Held by Insiders 1,0.42%
5,201,4,2,2018-07-03 00:53:34,2018-07-03,% Held by Institutions 1,108.18%
6,201,4,2,2018-07-03 00:53:34,2018-07-03,Shares Short 3,11.47M
7,201,4,2,2018-07-03 00:53:34,2018-07-03,Short Ratio 3,7.18
8,201,4,2,2018-07-03 00:53:34,2018-07-03,Short % of Float 3,12.81%
9,201,4,2,2018-07-03 00:53:34,2018-07-03,Shares Short (prior month) 3,12.27M
0,201,4,2,2018-07-03 00:53:34,2018-07-03,Forward Annual Dividend Rate 4,0.76
1,201,4,2,2018-07-03 00:53:34,2018-07-03,Forward Annual Dividend Yield 4,1.86%
2,201,4,2,2018-07-03 00:53:34,2018-07-03,Trailing Annual Dividend Rate 3,0.76
3,201,4,2,2018-07-03 00:53:34,2018-07-03,Trailing Annual Dividend Yield 3,1.88%
4,201,4,2,2018-07-03 00:53:34,2018-07-03,5 Year Average Dividend Yield 4,1.35
5,201,4,2,2018-07-03 00:53:34,2018-07-03,Payout Ratio 4,
6,201,4,2,2018-07-03 00:53:34,2018-07-03,Dividend Date 3,"Jul 6, 2018"
7,201,4,2,2018-07-03 00:53:34,2018-07-03,Ex-Dividend Date 4,"Jun 21, 2018"
8,201,4,2,2018-07-03 00:53:34,2018-07-03,Last Split Factor (new per old) 2,3/1
9,201,4,2,2018-07-03 00:53:34,2018-07-03,Last Split Date 3,"Jun 24, 2013"
