,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,204,2,2,2018-07-03 00:54:40,2018-07-03,Market Cap (intraday) 5,90.81B
1,204,2,2,2018-07-03 00:54:40,2018-07-03,Enterprise Value 3,104.68B
2,204,2,2,2018-07-03 00:54:40,2018-07-03,Trailing P/E,22.75
3,204,2,2,2018-07-03 00:54:40,2018-07-03,Forward P/E 1,21.96
4,204,2,2,2018-07-03 00:54:40,2018-07-03,PEG Ratio (5 yr expected) 1,2.44
5,204,2,2,2018-07-03 00:54:40,2018-07-03,Price/Sales (ttm),3.11
6,204,2,2,2018-07-03 00:54:40,2018-07-03,Price/Book (mrq),4.80
7,204,2,2,2018-07-03 00:54:40,2018-07-03,Enterprise Value/Revenue 3,3.58
8,204,2,2,2018-07-03 00:54:40,2018-07-03,Enterprise Value/EBITDA 6,16.11
0,204,3,2,2018-07-03 00:54:40,2018-07-03,Fiscal Year Ends,"Jun 30, 2017"
1,204,3,2,2018-07-03 00:54:40,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,204,3,2,2018-07-03 00:54:40,2018-07-03,Profit Margin,13.76%
1,204,3,2,2018-07-03 00:54:40,2018-07-03,Operating Margin (ttm),20.29%
0,204,3,2,2018-07-03 00:54:40,2018-07-03,Return on Assets (ttm),7.08%
1,204,3,2,2018-07-03 00:54:40,2018-07-03,Return on Equity (ttm),22.95%
0,204,3,2,2018-07-03 00:54:40,2018-07-03,Revenue (ttm),29.21B
1,204,3,2,2018-07-03 00:54:40,2018-07-03,Revenue Per Share (ttm),15.77
2,204,3,2,2018-07-03 00:54:40,2018-07-03,Quarterly Revenue Growth (yoy),-1.90%
3,204,3,2,2018-07-03 00:54:40,2018-07-03,Gross Profit (ttm),10.72B
4,204,3,2,2018-07-03 00:54:40,2018-07-03,EBITDA,6.5B
5,204,3,2,2018-07-03 00:54:40,2018-07-03,Net Income Avi to Common (ttm),4.05B
6,204,3,2,2018-07-03 00:54:40,2018-07-03,Diluted EPS (ttm),2.16
7,204,3,2,2018-07-03 00:54:40,2018-07-03,Quarterly Earnings Growth (yoy),7.40%
0,204,3,2,2018-07-03 00:54:40,2018-07-03,Total Cash (mrq),7.37B
1,204,3,2,2018-07-03 00:54:40,2018-07-03,Total Cash Per Share (mrq),3.98
2,204,3,2,2018-07-03 00:54:40,2018-07-03,Total Debt (mrq),20B
3,204,3,2,2018-07-03 00:54:40,2018-07-03,Total Debt/Equity (mrq),95.30
4,204,3,2,2018-07-03 00:54:40,2018-07-03,Current Ratio (mrq),2.05
5,204,3,2,2018-07-03 00:54:40,2018-07-03,Book Value Per Share (mrq),10.24
0,204,3,2,2018-07-03 00:54:40,2018-07-03,Operating Cash Flow (ttm),3.51B
1,204,3,2,2018-07-03 00:54:40,2018-07-03,Levered Free Cash Flow (ttm),3.36B
0,204,4,2,2018-07-03 00:54:40,2018-07-03,Beta,1.25
1,204,4,2,2018-07-03 00:54:40,2018-07-03,52-Week Change 3,74.23%
2,204,4,2,2018-07-03 00:54:40,2018-07-03,S&P500 52-Week Change 3,11.91%
3,204,4,2,2018-07-03 00:54:40,2018-07-03,52 Week High 3,50.15
4,204,4,2,2018-07-03 00:54:40,2018-07-03,52 Week Low 3,24.81
5,204,4,2,2018-07-03 00:54:40,2018-07-03,50-Day Moving Average 3,41.92
6,204,4,2,2018-07-03 00:54:40,2018-07-03,200-Day Moving Average 3,37.97
0,204,4,2,2018-07-03 00:54:40,2018-07-03,Avg Vol (3 month) 3,13.06M
1,204,4,2,2018-07-03 00:54:40,2018-07-03,Avg Vol (10 day) 3,18.75M
2,204,4,2,2018-07-03 00:54:40,2018-07-03,Shares Outstanding 5,1.05B
3,204,4,2,2018-07-03 00:54:40,2018-07-03,Float,1.22B
4,204,4,2,2018-07-03 00:54:40,2018-07-03,% Held by Insiders 1,1.14%
5,204,4,2,2018-07-03 00:54:40,2018-07-03,% Held by Institutions 1,95.58%
6,204,4,2,2018-07-03 00:54:40,2018-07-03,Shares Short 3,31.94M
7,204,4,2,2018-07-03 00:54:40,2018-07-03,Short Ratio 3,2.43
8,204,4,2,2018-07-03 00:54:40,2018-07-03,Short % of Float 3,
9,204,4,2,2018-07-03 00:54:40,2018-07-03,Shares Short (prior month) 3,18.37M
0,204,4,2,2018-07-03 00:54:40,2018-07-03,Forward Annual Dividend Rate 4,0.36
1,204,4,2,2018-07-03 00:54:40,2018-07-03,Forward Annual Dividend Yield 4,0.72%
2,204,4,2,2018-07-03 00:54:40,2018-07-03,Trailing Annual Dividend Rate 3,0.36
3,204,4,2,2018-07-03 00:54:40,2018-07-03,Trailing Annual Dividend Yield 3,0.72%
4,204,4,2,2018-07-03 00:54:40,2018-07-03,5 Year Average Dividend Yield 4,0.95
5,204,4,2,2018-07-03 00:54:40,2018-07-03,Payout Ratio 4,16.51%
6,204,4,2,2018-07-03 00:54:40,2018-07-03,Dividend Date 3,"Apr 18, 2018"
7,204,4,2,2018-07-03 00:54:40,2018-07-03,Ex-Dividend Date 4,"Mar 13, 2018"
8,204,4,2,2018-07-03 00:54:40,2018-07-03,Last Split Factor (new per old) 2,1/1
9,204,4,2,2018-07-03 00:54:40,2018-07-03,Last Split Date 3,"Jul 2, 2013"
