,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,529,2,2,2018-07-03 02:56:32,2018-07-03,Market Cap (intraday) 5,787.83B
1,529,2,2,2018-07-03 02:56:32,2018-07-03,Enterprise Value 3,686.69B
2,529,2,2,2018-07-03 02:56:32,2018-07-03,Trailing P/E,48.35
3,529,2,2,2018-07-03 02:56:32,2018-07-03,Forward P/E 1,24.02
4,529,2,2,2018-07-03 02:56:32,2018-07-03,PEG Ratio (5 yr expected) 1,1.52
5,529,2,2,2018-07-03 02:56:32,2018-07-03,Price/Sales (ttm),6.72
6,529,2,2,2018-07-03 02:56:32,2018-07-03,Price/Book (mrq),4.94
7,529,2,2,2018-07-03 02:56:32,2018-07-03,Enterprise Value/Revenue 3,5.86
8,529,2,2,2018-07-03 02:56:32,2018-07-03,Enterprise Value/EBITDA 6,18.71
0,529,3,2,2018-07-03 02:56:32,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,529,3,2,2018-07-03 02:56:32,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,529,3,2,2018-07-03 02:56:32,2018-07-03,Profit Margin,14.19%
1,529,3,2,2018-07-03 02:56:32,2018-07-03,Operating Margin (ttm),25.00%
0,529,3,2,2018-07-03 02:56:32,2018-07-03,Return on Assets (ttm),9.65%
1,529,3,2,2018-07-03 02:56:32,2018-07-03,Return on Equity (ttm),10.88%
0,529,3,2,2018-07-03 02:56:32,2018-07-03,Revenue (ttm),117.25B
1,529,3,2,2018-07-03 02:56:32,2018-07-03,Revenue Per Share (ttm),169.02
2,529,3,2,2018-07-03 02:56:32,2018-07-03,Quarterly Revenue Growth (yoy),25.80%
3,529,3,2,2018-07-03 02:56:32,2018-07-03,Gross Profit (ttm),65.27B
4,529,3,2,2018-07-03 02:56:32,2018-07-03,EBITDA,36.71B
5,529,3,2,2018-07-03 02:56:32,2018-07-03,Net Income Avi to Common (ttm),16.64B
6,529,3,2,2018-07-03 02:56:32,2018-07-03,Diluted EPS (ttm),23.62
7,529,3,2,2018-07-03 02:56:32,2018-07-03,Quarterly Earnings Growth (yoy),73.30%
0,529,3,2,2018-07-03 02:56:32,2018-07-03,Total Cash (mrq),102.88B
1,529,3,2,2018-07-03 02:56:32,2018-07-03,Total Cash Per Share (mrq),148.13
2,529,3,2,2018-07-03 02:56:32,2018-07-03,Total Debt (mrq),5.3B
3,529,3,2,2018-07-03 02:56:32,2018-07-03,Total Debt/Equity (mrq),3.30
4,529,3,2,2018-07-03 02:56:32,2018-07-03,Current Ratio (mrq),4.87
5,529,3,2,2018-07-03 02:56:32,2018-07-03,Book Value Per Share (mrq),231.42
0,529,3,2,2018-07-03 02:56:32,2018-07-03,Operating Cash Flow (ttm),39.18B
1,529,3,2,2018-07-03 02:56:32,2018-07-03,Levered Free Cash Flow (ttm),20.08B
0,529,4,2,2018-07-03 02:56:32,2018-07-03,Beta,1.30
1,529,4,2,2018-07-03 02:56:32,2018-07-03,52-Week Change 3,22.81%
2,529,4,2,2018-07-03 02:56:32,2018-07-03,S&P500 52-Week Change 3,11.91%
3,529,4,2,2018-07-03 02:56:32,2018-07-03,52 Week High 3,1201.49
4,529,4,2,2018-07-03 02:56:32,2018-07-03,52 Week Low 3,915.31
5,529,4,2,2018-07-03 02:56:32,2018-07-03,50-Day Moving Average 3,1124.19
6,529,4,2,2018-07-03 02:56:32,2018-07-03,200-Day Moving Average 3,1095.64
0,529,4,2,2018-07-03 02:56:32,2018-07-03,Avg Vol (3 month) 3,1.98M
1,529,4,2,2018-07-03 02:56:32,2018-07-03,Avg Vol (10 day) 3,1.85M
2,529,4,2,2018-07-03 02:56:32,2018-07-03,Shares Outstanding 5,298.66M
3,529,4,2,2018-07-03 02:56:32,2018-07-03,Float,602.32M
4,529,4,2,2018-07-03 02:56:32,2018-07-03,% Held by Insiders 1,0.16%
5,529,4,2,2018-07-03 02:56:32,2018-07-03,% Held by Institutions 1,80.20%
6,529,4,2,2018-07-03 02:56:32,2018-07-03,Shares Short 3,3.07M
7,529,4,2,2018-07-03 02:56:32,2018-07-03,Short Ratio 3,1.8
8,529,4,2,2018-07-03 02:56:32,2018-07-03,Short % of Float 3,1.03%
9,529,4,2,2018-07-03 02:56:32,2018-07-03,Shares Short (prior month) 3,3.33M
0,529,4,2,2018-07-03 02:56:32,2018-07-03,Forward Annual Dividend Rate 4,
1,529,4,2,2018-07-03 02:56:32,2018-07-03,Forward Annual Dividend Yield 4,
2,529,4,2,2018-07-03 02:56:32,2018-07-03,Trailing Annual Dividend Rate 3,
3,529,4,2,2018-07-03 02:56:32,2018-07-03,Trailing Annual Dividend Yield 3,
4,529,4,2,2018-07-03 02:56:32,2018-07-03,5 Year Average Dividend Yield 4,
5,529,4,2,2018-07-03 02:56:32,2018-07-03,Payout Ratio 4,0.00%
6,529,4,2,2018-07-03 02:56:32,2018-07-03,Dividend Date 3,
7,529,4,2,2018-07-03 02:56:32,2018-07-03,Ex-Dividend Date 4,
8,529,4,2,2018-07-03 02:56:32,2018-07-03,Last Split Factor (new per old) 2,1998/1000
9,529,4,2,2018-07-03 02:56:32,2018-07-03,Last Split Date 3,"Apr 3, 2014"
