,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,223,2,2,2018-07-03 01:01:43,2018-07-03,Market Cap (intraday) 5,12.29B
1,223,2,2,2018-07-03 01:01:43,2018-07-03,Enterprise Value 3,12.43B
2,223,2,2,2018-07-03 01:01:43,2018-07-03,Trailing P/E,14.40
3,223,2,2,2018-07-03 01:01:43,2018-07-03,Forward P/E 1,11.75
4,223,2,2,2018-07-03 01:01:43,2018-07-03,PEG Ratio (5 yr expected) 1,1.22
5,223,2,2,2018-07-03 01:01:43,2018-07-03,Price/Sales (ttm),0.76
6,223,2,2,2018-07-03 01:01:43,2018-07-03,Price/Book (mrq),3.84
7,223,2,2,2018-07-03 01:01:43,2018-07-03,Enterprise Value/Revenue 3,0.77
8,223,2,2,2018-07-03 01:01:43,2018-07-03,Enterprise Value/EBITDA 6,6.36
0,223,3,2,2018-07-03 01:01:43,2018-07-03,Fiscal Year Ends,"Feb 3, 2018"
1,223,3,2,2018-07-03 01:01:43,2018-07-03,Most Recent Quarter (mrq),"May 5, 2018"
0,223,3,2,2018-07-03 01:01:43,2018-07-03,Profit Margin,5.36%
1,223,3,2,2018-07-03 01:01:43,2018-07-03,Operating Margin (ttm),8.60%
0,223,3,2,2018-07-03 01:01:43,2018-07-03,Return on Assets (ttm),11.61%
1,223,3,2,2018-07-03 01:01:43,2018-07-03,Return on Equity (ttm),28.69%
0,223,3,2,2018-07-03 01:01:43,2018-07-03,Revenue (ttm),16.2B
1,223,3,2,2018-07-03 01:01:43,2018-07-03,Revenue Per Share (ttm),41.48
2,223,3,2,2018-07-03 01:01:43,2018-07-03,Quarterly Revenue Growth (yoy),10.00%
3,223,3,2,2018-07-03 01:01:43,2018-07-03,Gross Profit (ttm),
4,223,3,2,2018-07-03 01:01:43,2018-07-03,EBITDA,1.95B
5,223,3,2,2018-07-03 01:01:43,2018-07-03,Net Income Avi to Common (ttm),869M
6,223,3,2,2018-07-03 01:01:43,2018-07-03,Diluted EPS (ttm),2.20
7,223,3,2,2018-07-03 01:01:43,2018-07-03,Quarterly Earnings Growth (yoy),14.70%
0,223,3,2,2018-07-03 01:01:43,2018-07-03,Total Cash (mrq),1.37B
1,223,3,2,2018-07-03 01:01:43,2018-07-03,Total Cash Per Share (mrq),3.55
2,223,3,2,2018-07-03 01:01:43,2018-07-03,Total Debt (mrq),1.25B
3,223,3,2,2018-07-03 01:01:43,2018-07-03,Total Debt/Equity (mrq),39.07
4,223,3,2,2018-07-03 01:01:43,2018-07-03,Current Ratio (mrq),2.03
5,223,3,2,2018-07-03 01:01:43,2018-07-03,Book Value Per Share (mrq),8.26
0,223,3,2,2018-07-03 01:01:43,2018-07-03,Operating Cash Flow (ttm),1.22B
1,223,3,2,2018-07-03 01:01:43,2018-07-03,Levered Free Cash Flow (ttm),262.25M
0,223,4,2,2018-07-03 01:01:43,2018-07-03,Beta,0.61
1,223,4,2,2018-07-03 01:01:43,2018-07-03,52-Week Change 3,∞%
2,223,4,2,2018-07-03 01:01:43,2018-07-03,S&P500 52-Week Change 3,11.91%
3,223,4,2,2018-07-03 01:01:43,2018-07-03,52 Week High 3,35.68
4,223,4,2,2018-07-03 01:01:43,2018-07-03,52 Week Low 3,27.58
5,223,4,2,2018-07-03 01:01:43,2018-07-03,50-Day Moving Average 3,31.59
6,223,4,2,2018-07-03 01:01:43,2018-07-03,200-Day Moving Average 3,31.65
0,223,4,2,2018-07-03 01:01:43,2018-07-03,Avg Vol (3 month) 3,5.53M
1,223,4,2,2018-07-03 01:01:43,2018-07-03,Avg Vol (10 day) 3,5.25M
2,223,4,2,2018-07-03 01:01:43,2018-07-03,Shares Outstanding 5,387.47M
3,223,4,2,2018-07-03 01:01:43,2018-07-03,Float,234.8M
4,223,4,2,2018-07-03 01:01:43,2018-07-03,% Held by Insiders 1,36.53%
5,223,4,2,2018-07-03 01:01:43,2018-07-03,% Held by Institutions 1,62.10%
6,223,4,2,2018-07-03 01:01:43,2018-07-03,Shares Short 3,26.85M
7,223,4,2,2018-07-03 01:01:43,2018-07-03,Short Ratio 3,3.77
8,223,4,2,2018-07-03 01:01:43,2018-07-03,Short % of Float 3,11.53%
9,223,4,2,2018-07-03 01:01:43,2018-07-03,Shares Short (prior month) 3,32.56M
0,223,4,2,2018-07-03 01:01:43,2018-07-03,Forward Annual Dividend Rate 4,0.97
1,223,4,2,2018-07-03 01:01:43,2018-07-03,Forward Annual Dividend Yield 4,2.99%
2,223,4,2,2018-07-03 01:01:43,2018-07-03,Trailing Annual Dividend Rate 3,0.93
3,223,4,2,2018-07-03 01:01:43,2018-07-03,Trailing Annual Dividend Yield 3,2.88%
4,223,4,2,2018-07-03 01:01:43,2018-07-03,5 Year Average Dividend Yield 4,2.86
5,223,4,2,2018-07-03 01:01:43,2018-07-03,Payout Ratio 4,42.39%
6,223,4,2,2018-07-03 01:01:43,2018-07-03,Dividend Date 3,"Aug 1, 2018"
7,223,4,2,2018-07-03 01:01:43,2018-07-03,Ex-Dividend Date 4,"Jul 10, 2018"
8,223,4,2,2018-07-03 01:01:43,2018-07-03,Last Split Factor (new per old) 2,3/2
9,223,4,2,2018-07-03 01:01:43,2018-07-03,Last Split Date 3,"Jun 22, 1999"
