,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,233,2,2,2018-07-03 01:05:28,2018-07-03,Market Cap (intraday) 5,19.47B
1,233,2,2,2018-07-03 01:05:28,2018-07-03,Enterprise Value 3,23.55B
2,233,2,2,2018-07-03 01:05:28,2018-07-03,Trailing P/E,
3,233,2,2,2018-07-03 01:05:28,2018-07-03,Forward P/E 1,240.33
4,233,2,2,2018-07-03 01:05:28,2018-07-03,PEG Ratio (5 yr expected) 1,-24.28
5,233,2,2,2018-07-03 01:05:28,2018-07-03,Price/Sales (ttm),3.59
6,233,2,2,2018-07-03 01:05:28,2018-07-03,Price/Book (mrq),1.89
7,233,2,2,2018-07-03 01:05:28,2018-07-03,Enterprise Value/Revenue 3,4.34
8,233,2,2,2018-07-03 01:05:28,2018-07-03,Enterprise Value/EBITDA 6,11.71
0,233,3,2,2018-07-03 01:05:28,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,233,3,2,2018-07-03 01:05:28,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,233,3,2,2018-07-03 01:05:28,2018-07-03,Profit Margin,-71.05%
1,233,3,2,2018-07-03 01:05:28,2018-07-03,Operating Margin (ttm),-46.75%
0,233,3,2,2018-07-03 01:05:28,2018-07-03,Return on Assets (ttm),-6.32%
1,233,3,2,2018-07-03 01:05:28,2018-07-03,Return on Equity (ttm),-27.31%
0,233,3,2,2018-07-03 01:05:28,2018-07-03,Revenue (ttm),5.43B
1,233,3,2,2018-07-03 01:05:28,2018-07-03,Revenue Per Share (ttm),17.34
2,233,3,2,2018-07-03 01:05:28,2018-07-03,Quarterly Revenue Growth (yoy),6.50%
3,233,3,2,2018-07-03 01:05:28,2018-07-03,Gross Profit (ttm),4.08B
4,233,3,2,2018-07-03 01:05:28,2018-07-03,EBITDA,2.01B
5,233,3,2,2018-07-03 01:05:28,2018-07-03,Net Income Avi to Common (ttm),-3.9B
6,233,3,2,2018-07-03 01:05:28,2018-07-03,Diluted EPS (ttm),-12.47
7,233,3,2,2018-07-03 01:05:28,2018-07-03,Quarterly Earnings Growth (yoy),
0,233,3,2,2018-07-03 01:05:28,2018-07-03,Total Cash (mrq),3.73B
1,233,3,2,2018-07-03 01:05:28,2018-07-03,Total Cash Per Share (mrq),12.04
2,233,3,2,2018-07-03 01:05:28,2018-07-03,Total Debt (mrq),6.57B
3,233,3,2,2018-07-03 01:05:28,2018-07-03,Total Debt/Equity (mrq),55.06
4,233,3,2,2018-07-03 01:05:28,2018-07-03,Current Ratio (mrq),2.63
5,233,3,2,2018-07-03 01:05:28,2018-07-03,Book Value Per Share (mrq),34.26
0,233,3,2,2018-07-03 01:05:28,2018-07-03,Operating Cash Flow (ttm),806M
1,233,3,2,2018-07-03 01:05:28,2018-07-03,Levered Free Cash Flow (ttm),772.37M
0,233,4,2,2018-07-03 01:05:28,2018-07-03,Beta,1.48
1,233,4,2,2018-07-03 01:05:28,2018-07-03,52-Week Change 3,47.27%
2,233,4,2,2018-07-03 01:05:28,2018-07-03,S&P500 52-Week Change 3,11.91%
3,233,4,2,2018-07-03 01:05:28,2018-07-03,52 Week High 3,68.40
4,233,4,2,2018-07-03 01:05:28,2018-07-03,52 Week Low 3,37.25
5,233,4,2,2018-07-03 01:05:28,2018-07-03,50-Day Moving Average 3,62.47
6,233,4,2,2018-07-03 01:05:28,2018-07-03,200-Day Moving Average 3,53.79
0,233,4,2,2018-07-03 01:05:28,2018-07-03,Avg Vol (3 month) 3,4.07M
1,233,4,2,2018-07-03 01:05:28,2018-07-03,Avg Vol (10 day) 3,4.64M
2,233,4,2,2018-07-03 01:05:28,2018-07-03,Shares Outstanding 5,300.11M
3,233,4,2,2018-07-03 01:05:28,2018-07-03,Float,256.92M
4,233,4,2,2018-07-03 01:05:28,2018-07-03,% Held by Insiders 1,11.91%
5,233,4,2,2018-07-03 01:05:28,2018-07-03,% Held by Institutions 1,97.03%
6,233,4,2,2018-07-03 01:05:28,2018-07-03,Shares Short 3,19.08M
7,233,4,2,2018-07-03 01:05:28,2018-07-03,Short Ratio 3,5.56
8,233,4,2,2018-07-03 01:05:28,2018-07-03,Short % of Float 3,7.25%
9,233,4,2,2018-07-03 01:05:28,2018-07-03,Shares Short (prior month) 3,23.24M
0,233,4,2,2018-07-03 01:05:28,2018-07-03,Forward Annual Dividend Rate 4,1
1,233,4,2,2018-07-03 01:05:28,2018-07-03,Forward Annual Dividend Yield 4,1.49%
2,233,4,2,2018-07-03 01:05:28,2018-07-03,Trailing Annual Dividend Rate 3,1.00
3,233,4,2,2018-07-03 01:05:28,2018-07-03,Trailing Annual Dividend Yield 3,1.49%
4,233,4,2,2018-07-03 01:05:28,2018-07-03,5 Year Average Dividend Yield 4,1.59
5,233,4,2,2018-07-03 01:05:28,2018-07-03,Payout Ratio 4,
6,233,4,2,2018-07-03 01:05:28,2018-07-03,Dividend Date 3,"Jun 29, 2018"
7,233,4,2,2018-07-03 01:05:28,2018-07-03,Ex-Dividend Date 4,"Jun 15, 2018"
8,233,4,2,2018-07-03 01:05:28,2018-07-03,Last Split Factor (new per old) 2,3/1
9,233,4,2,2018-07-03 01:05:28,2018-07-03,Last Split Date 3,"Jun 1, 2006"
