,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,227,2,2,2018-07-03 01:03:13,2018-07-03,Market Cap (intraday) 5,108.16B
1,227,2,2,2018-07-03 01:03:13,2018-07-03,Enterprise Value 3,115.6B
2,227,2,2,2018-07-03 01:03:13,2018-07-03,Trailing P/E,63.02
3,227,2,2,2018-07-03 01:03:13,2018-07-03,Forward P/E 1,16.44
4,227,2,2,2018-07-03 01:03:13,2018-07-03,PEG Ratio (5 yr expected) 1,1.71
5,227,2,2,2018-07-03 01:03:13,2018-07-03,Price/Sales (ttm),2.61
6,227,2,2,2018-07-03 01:03:13,2018-07-03,Price/Book (mrq),6.15
7,227,2,2,2018-07-03 01:03:13,2018-07-03,Enterprise Value/Revenue 3,2.79
8,227,2,2,2018-07-03 01:03:13,2018-07-03,Enterprise Value/EBITDA 6,13.65
0,227,3,2,2018-07-03 01:03:13,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,227,3,2,2018-07-03 01:03:13,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,227,3,2,2018-07-03 01:03:13,2018-07-03,Profit Margin,4.26%
1,227,3,2,2018-07-03 01:03:13,2018-07-03,Operating Margin (ttm),17.70%
0,227,3,2,2018-07-03 01:03:13,2018-07-03,Return on Assets (ttm),7.92%
1,227,3,2,2018-07-03 01:03:13,2018-07-03,Return on Equity (ttm),9.50%
0,227,3,2,2018-07-03 01:03:13,2018-07-03,Revenue (ttm),41.43B
1,227,3,2,2018-07-03 01:03:13,2018-07-03,Revenue Per Share (ttm),54.59
2,227,3,2,2018-07-03 01:03:13,2018-07-03,Quarterly Revenue Growth (yoy),9.50%
3,227,3,2,2018-07-03 01:03:13,2018-07-03,Gross Profit (ttm),12.96B
4,227,3,2,2018-07-03 01:03:13,2018-07-03,EBITDA,8.47B
5,227,3,2,2018-07-03 01:03:13,2018-07-03,Net Income Avi to Common (ttm),1.77B
6,227,3,2,2018-07-03 01:03:13,2018-07-03,Diluted EPS (ttm),2.30
7,227,3,2,2018-07-03 01:03:13,2018-07-03,Quarterly Earnings Growth (yoy),8.40%
0,227,3,2,2018-07-03 01:03:13,2018-07-03,Total Cash (mrq),10.28B
1,227,3,2,2018-07-03 01:03:13,2018-07-03,Total Cash Per Share (mrq),13.76
2,227,3,2,2018-07-03 01:03:13,2018-07-03,Total Debt (mrq),18.29B
3,227,3,2,2018-07-03 01:03:13,2018-07-03,Total Debt/Equity (mrq),102.86
4,227,3,2,2018-07-03 01:03:13,2018-07-03,Current Ratio (mrq),1.36
5,227,3,2,2018-07-03 01:03:13,2018-07-03,Book Value Per Share (mrq),23.56
0,227,3,2,2018-07-03 01:03:13,2018-07-03,Operating Cash Flow (ttm),6.16B
1,227,3,2,2018-07-03 01:03:13,2018-07-03,Levered Free Cash Flow (ttm),3.98B
0,227,4,2,2018-07-03 01:03:13,2018-07-03,Beta,1.06
1,227,4,2,2018-07-03 01:03:13,2018-07-03,52-Week Change 3,7.73%
2,227,4,2,2018-07-03 01:03:13,2018-07-03,S&P500 52-Week Change 3,11.91%
3,227,4,2,2018-07-03 01:03:13,2018-07-03,52 Week High 3,165.13
4,227,4,2,2018-07-03 01:03:13,2018-07-03,52 Week Low 3,133.20
5,227,4,2,2018-07-03 01:03:13,2018-07-03,50-Day Moving Average 3,148.56
6,227,4,2,2018-07-03 01:03:13,2018-07-03,200-Day Moving Average 3,150.46
0,227,4,2,2018-07-03 01:03:13,2018-07-03,Avg Vol (3 month) 3,2.65M
1,227,4,2,2018-07-03 01:03:13,2018-07-03,Avg Vol (10 day) 3,3.07M
2,227,4,2,2018-07-03 01:03:13,2018-07-03,Shares Outstanding 5,746.93M
3,227,4,2,2018-07-03 01:03:13,2018-07-03,Float,715.28M
4,227,4,2,2018-07-03 01:03:13,2018-07-03,% Held by Insiders 1,0.36%
5,227,4,2,2018-07-03 01:03:13,2018-07-03,% Held by Institutions 1,75.49%
6,227,4,2,2018-07-03 01:03:13,2018-07-03,Shares Short 3,6.86M
7,227,4,2,2018-07-03 01:03:13,2018-07-03,Short Ratio 3,2.78
8,227,4,2,2018-07-03 01:03:13,2018-07-03,Short % of Float 3,0.92%
9,227,4,2,2018-07-03 01:03:13,2018-07-03,Shares Short (prior month) 3,6.88M
0,227,4,2,2018-07-03 01:03:13,2018-07-03,Forward Annual Dividend Rate 4,2.98
1,227,4,2,2018-07-03 01:03:13,2018-07-03,Forward Annual Dividend Yield 4,2.07%
2,227,4,2,2018-07-03 01:03:13,2018-07-03,Trailing Annual Dividend Rate 3,2.82
3,227,4,2,2018-07-03 01:03:13,2018-07-03,Trailing Annual Dividend Yield 3,1.96%
4,227,4,2,2018-07-03 01:03:13,2018-07-03,5 Year Average Dividend Yield 4,1.95
5,227,4,2,2018-07-03 01:03:13,2018-07-03,Payout Ratio 4,121.55%
6,227,4,2,2018-07-03 01:03:13,2018-07-03,Dividend Date 3,"Jun 8, 2018"
7,227,4,2,2018-07-03 01:03:13,2018-07-03,Ex-Dividend Date 4,"May 17, 2018"
8,227,4,2,2018-07-03 01:03:13,2018-07-03,Last Split Factor (new per old) 2,10000/9947
9,227,4,2,2018-07-03 01:03:13,2018-07-03,Last Split Date 3,"Oct 3, 2016"
