,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,235,2,2,2018-07-03 01:06:13,2018-07-03,Market Cap (intraday) 5,15.62B
1,235,2,2,2018-07-03 01:06:13,2018-07-03,Enterprise Value 3,19.92B
2,235,2,2,2018-07-03 01:06:13,2018-07-03,Trailing P/E,23.42
3,235,2,2,2018-07-03 01:06:13,2018-07-03,Forward P/E 1,28.16
4,235,2,2,2018-07-03 01:06:13,2018-07-03,PEG Ratio (5 yr expected) 1,0.84
5,235,2,2,2018-07-03 01:06:13,2018-07-03,Price/Sales (ttm),2.88
6,235,2,2,2018-07-03 01:06:13,2018-07-03,Price/Book (mrq),2.17
7,235,2,2,2018-07-03 01:06:13,2018-07-03,Enterprise Value/Revenue 3,3.68
8,235,2,2,2018-07-03 01:06:13,2018-07-03,Enterprise Value/EBITDA 6,13.77
0,235,3,2,2018-07-03 01:06:13,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,235,3,2,2018-07-03 01:06:13,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,235,3,2,2018-07-03 01:06:13,2018-07-03,Profit Margin,12.16%
1,235,3,2,2018-07-03 01:06:13,2018-07-03,Operating Margin (ttm),13.82%
0,235,3,2,2018-07-03 01:06:13,2018-07-03,Return on Assets (ttm),3.93%
1,235,3,2,2018-07-03 01:06:13,2018-07-03,Return on Equity (ttm),9.18%
0,235,3,2,2018-07-03 01:06:13,2018-07-03,Revenue (ttm),5.42B
1,235,3,2,2018-07-03 01:06:13,2018-07-03,Revenue Per Share (ttm),7.33
2,235,3,2,2018-07-03 01:06:13,2018-07-03,Quarterly Revenue Growth (yoy),0.10%
3,235,3,2,2018-07-03 01:06:13,2018-07-03,Gross Profit (ttm),3.42B
4,235,3,2,2018-07-03 01:06:13,2018-07-03,EBITDA,1.45B
5,235,3,2,2018-07-03 01:06:13,2018-07-03,Net Income Avi to Common (ttm),659M
6,235,3,2,2018-07-03 01:06:13,2018-07-03,Diluted EPS (ttm),0.89
7,235,3,2,2018-07-03 01:06:13,2018-07-03,Quarterly Earnings Growth (yoy),60.10%
0,235,3,2,2018-07-03 01:06:13,2018-07-03,Total Cash (mrq),323M
1,235,3,2,2018-07-03 01:06:13,2018-07-03,Total Cash Per Share (mrq),0.44
2,235,3,2,2018-07-03 01:06:13,2018-07-03,Total Debt (mrq),4.27B
3,235,3,2,2018-07-03 01:06:13,2018-07-03,Total Debt/Equity (mrq),58.57
4,235,3,2,2018-07-03 01:06:13,2018-07-03,Current Ratio (mrq),2.78
5,235,3,2,2018-07-03 01:06:13,2018-07-03,Book Value Per Share (mrq),9.60
0,235,3,2,2018-07-03 01:06:13,2018-07-03,Operating Cash Flow (ttm),1.27B
1,235,3,2,2018-07-03 01:06:13,2018-07-03,Levered Free Cash Flow (ttm),963.63M
0,235,4,2,2018-07-03 01:06:13,2018-07-03,Beta,1.47
1,235,4,2,2018-07-03 01:06:13,2018-07-03,52-Week Change 3,12.01%
2,235,4,2,2018-07-03 01:06:13,2018-07-03,S&P500 52-Week Change 3,11.91%
3,235,4,2,2018-07-03 01:06:13,2018-07-03,52 Week High 3,22.47
4,235,4,2,2018-07-03 01:06:13,2018-07-03,52 Week Low 3,17.26
5,235,4,2,2018-07-03 01:06:13,2018-07-03,50-Day Moving Average 3,21.33
6,235,4,2,2018-07-03 01:06:13,2018-07-03,200-Day Moving Average 3,20.00
0,235,4,2,2018-07-03 01:06:13,2018-07-03,Avg Vol (3 month) 3,6.49M
1,235,4,2,2018-07-03 01:06:13,2018-07-03,Avg Vol (10 day) 3,8.59M
2,235,4,2,2018-07-03 01:06:13,2018-07-03,Shares Outstanding 5,741.34M
3,235,4,2,2018-07-03 01:06:13,2018-07-03,Float,731.93M
4,235,4,2,2018-07-03 01:06:13,2018-07-03,% Held by Insiders 1,1.45%
5,235,4,2,2018-07-03 01:06:13,2018-07-03,% Held by Institutions 1,101.60%
6,235,4,2,2018-07-03 01:06:13,2018-07-03,Shares Short 3,31.64M
7,235,4,2,2018-07-03 01:06:13,2018-07-03,Short Ratio 3,4.71
8,235,4,2,2018-07-03 01:06:13,2018-07-03,Short % of Float 3,6.08%
9,235,4,2,2018-07-03 01:06:13,2018-07-03,Shares Short (prior month) 3,32.03M
0,235,4,2,2018-07-03 01:06:13,2018-07-03,Forward Annual Dividend Rate 4,0.8
1,235,4,2,2018-07-03 01:06:13,2018-07-03,Forward Annual Dividend Yield 4,3.70%
2,235,4,2,2018-07-03 01:06:13,2018-07-03,Trailing Annual Dividend Rate 3,0.80
3,235,4,2,2018-07-03 01:06:13,2018-07-03,Trailing Annual Dividend Yield 3,3.80%
4,235,4,2,2018-07-03 01:06:13,2018-07-03,5 Year Average Dividend Yield 4,3.84
5,235,4,2,2018-07-03 01:06:13,2018-07-03,Payout Ratio 4,89.89%
6,235,4,2,2018-07-03 01:06:13,2018-07-03,Dividend Date 3,"Jul 16, 2018"
7,235,4,2,2018-07-03 01:06:13,2018-07-03,Ex-Dividend Date 4,"Jun 28, 2018"
8,235,4,2,2018-07-03 01:06:13,2018-07-03,Last Split Factor (new per old) 2,10215/10000
9,235,4,2,2018-07-03 01:06:13,2018-07-03,Last Split Date 3,"Nov 4, 2009"
