,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,487,2,2,2018-07-03 02:40:55,2018-07-03,Market Cap (intraday) 5,19.22B
1,487,2,2,2018-07-03 02:40:55,2018-07-03,Enterprise Value 3,19.79B
2,487,2,2,2018-07-03 02:40:55,2018-07-03,Trailing P/E,69.61
3,487,2,2,2018-07-03 02:40:55,2018-07-03,Forward P/E 1,45.44
4,487,2,2,2018-07-03 02:40:55,2018-07-03,PEG Ratio (5 yr expected) 1,2.74
5,487,2,2,2018-07-03 02:40:55,2018-07-03,Price/Sales (ttm),9.40
6,487,2,2,2018-07-03 02:40:55,2018-07-03,Price/Book (mrq),
7,487,2,2,2018-07-03 02:40:55,2018-07-03,Enterprise Value/Revenue 3,9.68
8,487,2,2,2018-07-03 02:40:55,2018-07-03,Enterprise Value/EBITDA 6,38.24
0,487,3,2,2018-07-03 02:40:55,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,487,3,2,2018-07-03 02:40:55,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,487,3,2,2018-07-03 02:40:55,2018-07-03,Profit Margin,13.87%
1,487,3,2,2018-07-03 02:40:55,2018-07-03,Operating Margin (ttm),21.22%
0,487,3,2,2018-07-03 02:40:55,2018-07-03,Return on Assets (ttm),17.83%
1,487,3,2,2018-07-03 02:40:55,2018-07-03,Return on Equity (ttm),
0,487,3,2,2018-07-03 02:40:55,2018-07-03,Revenue (ttm),2.04B
1,487,3,2,2018-07-03 02:40:55,2018-07-03,Revenue Per Share (ttm),23.35
2,487,3,2,2018-07-03 02:40:55,2018-07-03,Quarterly Revenue Growth (yoy),16.40%
3,487,3,2,2018-07-03 02:40:55,2018-07-03,Gross Profit (ttm),1.1B
4,487,3,2,2018-07-03 02:40:55,2018-07-03,EBITDA,517.47M
5,487,3,2,2018-07-03 02:40:55,2018-07-03,Net Income Avi to Common (ttm),283.58M
6,487,3,2,2018-07-03 02:40:55,2018-07-03,Diluted EPS (ttm),3.18
7,487,3,2,2018-07-03 02:40:55,2018-07-03,Quarterly Earnings Growth (yoy),29.60%
0,487,3,2,2018-07-03 02:40:55,2018-07-03,Total Cash (mrq),159.23M
1,487,3,2,2018-07-03 02:40:55,2018-07-03,Total Cash Per Share (mrq),1.83
2,487,3,2,2018-07-03 02:40:55,2018-07-03,Total Debt (mrq),1.02B
3,487,3,2,2018-07-03 02:40:55,2018-07-03,Total Debt/Equity (mrq),
4,487,3,2,2018-07-03 02:40:55,2018-07-03,Current Ratio (mrq),0.96
5,487,3,2,2018-07-03 02:40:55,2018-07-03,Book Value Per Share (mrq),-0.57
0,487,3,2,2018-07-03 02:40:55,2018-07-03,Operating Cash Flow (ttm),376.9M
1,487,3,2,2018-07-03 02:40:55,2018-07-03,Levered Free Cash Flow (ttm),270.16M
0,487,4,2,2018-07-03 02:40:55,2018-07-03,Beta,0.66
1,487,4,2,2018-07-03 02:40:55,2018-07-03,52-Week Change 3,36.79%
2,487,4,2,2018-07-03 02:40:55,2018-07-03,S&P500 52-Week Change 3,11.91%
3,487,4,2,2018-07-03 02:40:55,2018-07-03,52 Week High 3,229.01
4,487,4,2,2018-07-03 02:40:55,2018-07-03,52 Week Low 3,146.09
5,487,4,2,2018-07-03 02:40:55,2018-07-03,50-Day Moving Average 3,214.20
6,487,4,2,2018-07-03 02:40:55,2018-07-03,200-Day Moving Average 3,192.46
0,487,4,2,2018-07-03 02:40:55,2018-07-03,Avg Vol (3 month) 3,444.53k
1,487,4,2,2018-07-03 02:40:55,2018-07-03,Avg Vol (10 day) 3,424.87k
2,487,4,2,2018-07-03 02:40:55,2018-07-03,Shares Outstanding 5,86.86M
3,487,4,2,2018-07-03 02:40:55,2018-07-03,Float,85.63M
4,487,4,2,2018-07-03 02:40:55,2018-07-03,% Held by Insiders 1,1.82%
5,487,4,2,2018-07-03 02:40:55,2018-07-03,% Held by Institutions 1,89.93%
6,487,4,2,2018-07-03 02:40:55,2018-07-03,Shares Short 3,1.4M
7,487,4,2,2018-07-03 02:40:55,2018-07-03,Short Ratio 3,2.76
8,487,4,2,2018-07-03 02:40:55,2018-07-03,Short % of Float 3,1.83%
9,487,4,2,2018-07-03 02:40:55,2018-07-03,Shares Short (prior month) 3,1.49M
0,487,4,2,2018-07-03 02:40:55,2018-07-03,Forward Annual Dividend Rate 4,
1,487,4,2,2018-07-03 02:40:55,2018-07-03,Forward Annual Dividend Yield 4,
2,487,4,2,2018-07-03 02:40:55,2018-07-03,Trailing Annual Dividend Rate 3,
3,487,4,2,2018-07-03 02:40:55,2018-07-03,Trailing Annual Dividend Yield 3,
4,487,4,2,2018-07-03 02:40:55,2018-07-03,5 Year Average Dividend Yield 4,
5,487,4,2,2018-07-03 02:40:55,2018-07-03,Payout Ratio 4,0.00%
6,487,4,2,2018-07-03 02:40:55,2018-07-03,Dividend Date 3,
7,487,4,2,2018-07-03 02:40:55,2018-07-03,Ex-Dividend Date 4,
8,487,4,2,2018-07-03 02:40:55,2018-07-03,Last Split Factor (new per old) 2,2/1
9,487,4,2,2018-07-03 02:40:55,2018-07-03,Last Split Date 3,"Jun 16, 2015"
