,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,246,2,2,2018-07-03 01:10:31,2018-07-03,Market Cap (intraday) 5,9.75B
1,246,2,2,2018-07-03 01:10:31,2018-07-03,Enterprise Value 3,11.2B
2,246,2,2,2018-07-03 01:10:31,2018-07-03,Trailing P/E,31.68
3,246,2,2,2018-07-03 01:10:31,2018-07-03,Forward P/E 1,18.17
4,246,2,2,2018-07-03 01:10:31,2018-07-03,PEG Ratio (5 yr expected) 1,2.68
5,246,2,2,2018-07-03 01:10:31,2018-07-03,Price/Sales (ttm),2.79
6,246,2,2,2018-07-03 01:10:31,2018-07-03,Price/Book (mrq),5.50
7,246,2,2,2018-07-03 01:10:31,2018-07-03,Enterprise Value/Revenue 3,3.20
8,246,2,2,2018-07-03 01:10:31,2018-07-03,Enterprise Value/EBITDA 6,14.24
0,246,3,2,2018-07-03 01:10:31,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,246,3,2,2018-07-03 01:10:31,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,246,3,2,2018-07-03 01:10:31,2018-07-03,Profit Margin,8.83%
1,246,3,2,2018-07-03 01:10:31,2018-07-03,Operating Margin (ttm),18.96%
0,246,3,2,2018-07-03 01:10:31,2018-07-03,Return on Assets (ttm),9.29%
1,246,3,2,2018-07-03 01:10:31,2018-07-03,Return on Equity (ttm),18.14%
0,246,3,2,2018-07-03 01:10:31,2018-07-03,Revenue (ttm),3.5B
1,246,3,2,2018-07-03 01:10:31,2018-07-03,Revenue Per Share (ttm),44.29
2,246,3,2,2018-07-03 01:10:31,2018-07-03,Quarterly Revenue Growth (yoy),12.40%
3,246,3,2,2018-07-03 01:10:31,2018-07-03,Gross Profit (ttm),1.5B
4,246,3,2,2018-07-03 01:10:31,2018-07-03,EBITDA,786.46M
5,246,3,2,2018-07-03 01:10:31,2018-07-03,Net Income Avi to Common (ttm),308.32M
6,246,3,2,2018-07-03 01:10:31,2018-07-03,Diluted EPS (ttm),3.90
7,246,3,2,2018-07-03 01:10:31,2018-07-03,Quarterly Earnings Growth (yoy),11.80%
0,246,3,2,2018-07-03 01:10:31,2018-07-03,Total Cash (mrq),305.28M
1,246,3,2,2018-07-03 01:10:31,2018-07-03,Total Cash Per Share (mrq),3.87
2,246,3,2,2018-07-03 01:10:31,2018-07-03,Total Debt (mrq),1.72B
3,246,3,2,2018-07-03 01:10:31,2018-07-03,Total Debt/Equity (mrq),96.47
4,246,3,2,2018-07-03 01:10:31,2018-07-03,Current Ratio (mrq),2.75
5,246,3,2,2018-07-03 01:10:31,2018-07-03,Book Value Per Share (mrq),22.47
0,246,3,2,2018-07-03 01:10:31,2018-07-03,Operating Cash Flow (ttm),360.87M
1,246,3,2,2018-07-03 01:10:31,2018-07-03,Levered Free Cash Flow (ttm),194.7M
0,246,4,2,2018-07-03 01:10:31,2018-07-03,Beta,1.04
1,246,4,2,2018-07-03 01:10:31,2018-07-03,52-Week Change 3,-8.11%
2,246,4,2,2018-07-03 01:10:31,2018-07-03,S&P500 52-Week Change 3,11.91%
3,246,4,2,2018-07-03 01:10:31,2018-07-03,52 Week High 3,157.40
4,246,4,2,2018-07-03 01:10:31,2018-07-03,52 Week Low 3,122.11
5,246,4,2,2018-07-03 01:10:31,2018-07-03,50-Day Moving Average 3,124.74
6,246,4,2,2018-07-03 01:10:31,2018-07-03,200-Day Moving Average 3,138.86
0,246,4,2,2018-07-03 01:10:31,2018-07-03,Avg Vol (3 month) 3,745.8k
1,246,4,2,2018-07-03 01:10:31,2018-07-03,Avg Vol (10 day) 3,486.62k
2,246,4,2,2018-07-03 01:10:31,2018-07-03,Shares Outstanding 5,78.93M
3,246,4,2,2018-07-03 01:10:31,2018-07-03,Float,78.73M
4,246,4,2,2018-07-03 01:10:31,2018-07-03,% Held by Insiders 1,0.25%
5,246,4,2,2018-07-03 01:10:31,2018-07-03,% Held by Institutions 1,89.25%
6,246,4,2,2018-07-03 01:10:31,2018-07-03,Shares Short 3,2.49M
7,246,4,2,2018-07-03 01:10:31,2018-07-03,Short Ratio 3,2.68
8,246,4,2,2018-07-03 01:10:31,2018-07-03,Short % of Float 3,4.20%
9,246,4,2,2018-07-03 01:10:31,2018-07-03,Shares Short (prior month) 3,1.79M
0,246,4,2,2018-07-03 01:10:31,2018-07-03,Forward Annual Dividend Rate 4,2.76
1,246,4,2,2018-07-03 01:10:31,2018-07-03,Forward Annual Dividend Yield 4,2.23%
2,246,4,2,2018-07-03 01:10:31,2018-07-03,Trailing Annual Dividend Rate 3,2.71
3,246,4,2,2018-07-03 01:10:31,2018-07-03,Trailing Annual Dividend Yield 3,2.19%
4,246,4,2,2018-07-03 01:10:31,2018-07-03,5 Year Average Dividend Yield 4,1.74
5,246,4,2,2018-07-03 01:10:31,2018-07-03,Payout Ratio 4,69.49%
6,246,4,2,2018-07-03 01:10:31,2018-07-03,Dividend Date 3,"Jul 6, 2018"
7,246,4,2,2018-07-03 01:10:31,2018-07-03,Ex-Dividend Date 4,"Jun 22, 2018"
8,246,4,2,2018-07-03 01:10:31,2018-07-03,Last Split Factor (new per old) 2,3/1
9,246,4,2,2018-07-03 01:10:31,2018-07-03,Last Split Date 3,"Jan 20, 1994"
