,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,251,2,2,2018-07-03 01:12:20,2018-07-03,Market Cap (intraday) 5,21.4B
1,251,2,2,2018-07-03 01:12:20,2018-07-03,Enterprise Value 3,31.77B
2,251,2,2,2018-07-03 01:12:20,2018-07-03,Trailing P/E,8.12
3,251,2,2,2018-07-03 01:12:20,2018-07-03,Forward P/E 1,9.25
4,251,2,2,2018-07-03 01:12:20,2018-07-03,PEG Ratio (5 yr expected) 1,0.71
5,251,2,2,2018-07-03 01:12:20,2018-07-03,Price/Sales (ttm),0.96
6,251,2,2,2018-07-03 01:12:20,2018-07-03,Price/Book (mrq),2.95
7,251,2,2,2018-07-03 01:12:20,2018-07-03,Enterprise Value/Revenue 3,1.43
8,251,2,2,2018-07-03 01:12:20,2018-07-03,Enterprise Value/EBITDA 6,9.24
0,251,3,2,2018-07-03 01:12:20,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,251,3,2,2018-07-03 01:12:20,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,251,3,2,2018-07-03 01:12:20,2018-07-03,Profit Margin,11.98%
1,251,3,2,2018-07-03 01:12:20,2018-07-03,Operating Margin (ttm),9.08%
0,251,3,2,2018-07-03 01:12:20,2018-07-03,Return on Assets (ttm),3.75%
1,251,3,2,2018-07-03 01:12:20,2018-07-03,Return on Equity (ttm),38.45%
0,251,3,2,2018-07-03 01:12:20,2018-07-03,Revenue (ttm),22.23B
1,251,3,2,2018-07-03 01:12:20,2018-07-03,Revenue Per Share (ttm),53.82
2,251,3,2,2018-07-03 01:12:20,2018-07-03,Quarterly Revenue Growth (yoy),9.50%
3,251,3,2,2018-07-03 01:12:20,2018-07-03,Gross Profit (ttm),6.46B
4,251,3,2,2018-07-03 01:12:20,2018-07-03,EBITDA,3.44B
5,251,3,2,2018-07-03 01:12:20,2018-07-03,Net Income Avi to Common (ttm),2.28B
6,251,3,2,2018-07-03 01:12:20,2018-07-03,Diluted EPS (ttm),6.37
7,251,3,2,2018-07-03 01:12:20,2018-07-03,Quarterly Earnings Growth (yoy),248.80%
0,251,3,2,2018-07-03 01:12:20,2018-07-03,Total Cash (mrq),1.14B
1,251,3,2,2018-07-03 01:12:20,2018-07-03,Total Cash Per Share (mrq),2.76
2,251,3,2,2018-07-03 01:12:20,2018-07-03,Total Debt (mrq),11.35B
3,251,3,2,2018-07-03 01:12:20,2018-07-03,Total Debt/Equity (mrq),156.17
4,251,3,2,2018-07-03 01:12:20,2018-07-03,Current Ratio (mrq),1.63
5,251,3,2,2018-07-03 01:12:20,2018-07-03,Book Value Per Share (mrq),17.50
0,251,3,2,2018-07-03 01:12:20,2018-07-03,Operating Cash Flow (ttm),1.79B
1,251,3,2,2018-07-03 01:12:20,2018-07-03,Levered Free Cash Flow (ttm),512.88M
0,251,4,2,2018-07-03 01:12:20,2018-07-03,Beta,1.79
1,251,4,2,2018-07-03 01:12:20,2018-07-03,52-Week Change 3,-8.60%
2,251,4,2,2018-07-03 01:12:20,2018-07-03,S&P500 52-Week Change 3,11.91%
3,251,4,2,2018-07-03 01:12:20,2018-07-03,52 Week High 3,66.94
4,251,4,2,2018-07-03 01:12:20,2018-07-03,52 Week Low 3,50.00
5,251,4,2,2018-07-03 01:12:20,2018-07-03,50-Day Moving Average 3,55.17
6,251,4,2,2018-07-03 01:12:20,2018-07-03,200-Day Moving Average 3,56.34
0,251,4,2,2018-07-03 01:12:20,2018-07-03,Avg Vol (3 month) 3,2.91M
1,251,4,2,2018-07-03 01:12:20,2018-07-03,Avg Vol (10 day) 3,2.94M
2,251,4,2,2018-07-03 01:12:20,2018-07-03,Shares Outstanding 5,414.09M
3,251,4,2,2018-07-03 01:12:20,2018-07-03,Float,407.96M
4,251,4,2,2018-07-03 01:12:20,2018-07-03,% Held by Insiders 1,1.97%
5,251,4,2,2018-07-03 01:12:20,2018-07-03,% Held by Institutions 1,88.55%
6,251,4,2,2018-07-03 01:12:20,2018-07-03,Shares Short 3,7.86M
7,251,4,2,2018-07-03 01:12:20,2018-07-03,Short Ratio 3,2.29
8,251,4,2,2018-07-03 01:12:20,2018-07-03,Short % of Float 3,2.03%
9,251,4,2,2018-07-03 01:12:20,2018-07-03,Shares Short (prior month) 3,8.07M
0,251,4,2,2018-07-03 01:12:20,2018-07-03,Forward Annual Dividend Rate 4,1.9
1,251,4,2,2018-07-03 01:12:20,2018-07-03,Forward Annual Dividend Yield 4,3.65%
2,251,4,2,2018-07-03 01:12:20,2018-07-03,Trailing Annual Dividend Rate 3,1.88
3,251,4,2,2018-07-03 01:12:20,2018-07-03,Trailing Annual Dividend Yield 3,3.60%
4,251,4,2,2018-07-03 01:12:20,2018-07-03,5 Year Average Dividend Yield 4,3.28
5,251,4,2,2018-07-03 01:12:20,2018-07-03,Payout Ratio 4,34.40%
6,251,4,2,2018-07-03 01:12:20,2018-07-03,Dividend Date 3,"Jun 15, 2018"
7,251,4,2,2018-07-03 01:12:20,2018-07-03,Ex-Dividend Date 4,"May 24, 2018"
8,251,4,2,2018-07-03 01:12:20,2018-07-03,Last Split Factor (new per old) 2,1014/1000
9,251,4,2,2018-07-03 01:12:20,2018-07-03,Last Split Date 3,"Jul 2, 2014"
