,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,247,2,2,2018-07-03 01:10:52,2018-07-03,Market Cap (intraday) 5,55.3B
1,247,2,2,2018-07-03 01:10:52,2018-07-03,Enterprise Value 3,51.69B
2,247,2,2,2018-07-03 01:10:52,2018-07-03,Trailing P/E,74.51
3,247,2,2,2018-07-03 01:10:52,2018-07-03,Forward P/E 1,41.75
4,247,2,2,2018-07-03 01:10:52,2018-07-03,PEG Ratio (5 yr expected) 1,4.01
5,247,2,2,2018-07-03 01:10:52,2018-07-03,Price/Sales (ttm),16.77
6,247,2,2,2018-07-03 01:10:52,2018-07-03,Price/Book (mrq),10.06
7,247,2,2,2018-07-03 01:10:52,2018-07-03,Enterprise Value/Revenue 3,15.68
8,247,2,2,2018-07-03 01:10:52,2018-07-03,Enterprise Value/EBITDA 6,41.50
0,247,3,2,2018-07-03 01:10:52,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,247,3,2,2018-07-03 01:10:52,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,247,3,2,2018-07-03 01:10:52,2018-07-03,Profit Margin,23.26%
1,247,3,2,2018-07-03 01:10:52,2018-07-03,Operating Margin (ttm),34.79%
0,247,3,2,2018-07-03 01:10:52,2018-07-03,Return on Assets (ttm),12.76%
1,247,3,2,2018-07-03 01:10:52,2018-07-03,Return on Equity (ttm),15.91%
0,247,3,2,2018-07-03 01:10:52,2018-07-03,Revenue (ttm),3.3B
1,247,3,2,2018-07-03 01:10:52,2018-07-03,Revenue Per Share (ttm),29.45
2,247,3,2,2018-07-03 01:10:52,2018-07-03,Quarterly Revenue Growth (yoy),24.70%
3,247,3,2,2018-07-03 01:10:52,2018-07-03,Gross Profit (ttm),2.2B
4,247,3,2,2018-07-03 01:10:52,2018-07-03,EBITDA,1.25B
5,247,3,2,2018-07-03 01:10:52,2018-07-03,Net Income Avi to Common (ttm),766.8M
6,247,3,2,2018-07-03 01:10:52,2018-07-03,Diluted EPS (ttm),6.55
7,247,3,2,2018-07-03 01:10:52,2018-07-03,Quarterly Earnings Growth (yoy),59.10%
0,247,3,2,2018-07-03 01:10:52,2018-07-03,Total Cash (mrq),2.52B
1,247,3,2,2018-07-03 01:10:52,2018-07-03,Total Cash Per Share (mrq),22.22
2,247,3,2,2018-07-03 01:10:52,2018-07-03,Total Debt (mrq),
3,247,3,2,2018-07-03 01:10:52,2018-07-03,Total Debt/Equity (mrq),
4,247,3,2,2018-07-03 01:10:52,2018-07-03,Current Ratio (mrq),5.82
5,247,3,2,2018-07-03 01:10:52,2018-07-03,Book Value Per Share (mrq),48.52
0,247,3,2,2018-07-03 01:10:52,2018-07-03,Operating Cash Flow (ttm),1.18B
1,247,3,2,2018-07-03 01:10:52,2018-07-03,Levered Free Cash Flow (ttm),719.44M
0,247,4,2,2018-07-03 01:10:52,2018-07-03,Beta,1.10
1,247,4,2,2018-07-03 01:10:52,2018-07-03,52-Week Change 3,55.75%
2,247,4,2,2018-07-03 01:10:52,2018-07-03,S&P500 52-Week Change 3,11.91%
3,247,4,2,2018-07-03 01:10:52,2018-07-03,52 Week High 3,496.92
4,247,4,2,2018-07-03 01:10:52,2018-07-03,52 Week Low 3,306.86
5,247,4,2,2018-07-03 01:10:52,2018-07-03,50-Day Moving Average 3,475.67
6,247,4,2,2018-07-03 01:10:52,2018-07-03,200-Day Moving Average 3,432.70
0,247,4,2,2018-07-03 01:10:52,2018-07-03,Avg Vol (3 month) 3,847.84k
1,247,4,2,2018-07-03 01:10:52,2018-07-03,Avg Vol (10 day) 3,638.4k
2,247,4,2,2018-07-03 01:10:52,2018-07-03,Shares Outstanding 5,113.3M
3,247,4,2,2018-07-03 01:10:52,2018-07-03,Float,111.68M
4,247,4,2,2018-07-03 01:10:52,2018-07-03,% Held by Insiders 1,1.03%
5,247,4,2,2018-07-03 01:10:52,2018-07-03,% Held by Institutions 1,89.88%
6,247,4,2,2018-07-03 01:10:52,2018-07-03,Shares Short 3,1.71M
7,247,4,2,2018-07-03 01:10:52,2018-07-03,Short Ratio 3,1.94
8,247,4,2,2018-07-03 01:10:52,2018-07-03,Short % of Float 3,1.69%
9,247,4,2,2018-07-03 01:10:52,2018-07-03,Shares Short (prior month) 3,1.71M
0,247,4,2,2018-07-03 01:10:52,2018-07-03,Forward Annual Dividend Rate 4,
1,247,4,2,2018-07-03 01:10:52,2018-07-03,Forward Annual Dividend Yield 4,
2,247,4,2,2018-07-03 01:10:52,2018-07-03,Trailing Annual Dividend Rate 3,
3,247,4,2,2018-07-03 01:10:52,2018-07-03,Trailing Annual Dividend Yield 3,
4,247,4,2,2018-07-03 01:10:52,2018-07-03,5 Year Average Dividend Yield 4,
5,247,4,2,2018-07-03 01:10:52,2018-07-03,Payout Ratio 4,0.00%
6,247,4,2,2018-07-03 01:10:52,2018-07-03,Dividend Date 3,
7,247,4,2,2018-07-03 01:10:52,2018-07-03,Ex-Dividend Date 4,
8,247,4,2,2018-07-03 01:10:52,2018-07-03,Last Split Factor (new per old) 2,3/1
9,247,4,2,2018-07-03 01:10:52,2018-07-03,Last Split Date 3,"Oct 6, 2017"
