,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,485,2,2,2018-07-03 02:40:09,2018-07-03,Market Cap (intraday) 5,13.43B
1,485,2,2,2018-07-03 02:40:09,2018-07-03,Enterprise Value 3,14.33B
2,485,2,2,2018-07-03 02:40:09,2018-07-03,Trailing P/E,19.32
3,485,2,2,2018-07-03 02:40:09,2018-07-03,Forward P/E 1,19.37
4,485,2,2,2018-07-03 02:40:09,2018-07-03,PEG Ratio (5 yr expected) 1,1.20
5,485,2,2,2018-07-03 02:40:09,2018-07-03,Price/Sales (ttm),1.79
6,485,2,2,2018-07-03 02:40:09,2018-07-03,Price/Book (mrq),6.91
7,485,2,2,2018-07-03 02:40:09,2018-07-03,Enterprise Value/Revenue 3,1.91
8,485,2,2,2018-07-03 02:40:09,2018-07-03,Enterprise Value/EBITDA 6,13.74
0,485,3,2,2018-07-03 02:40:09,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,485,3,2,2018-07-03 02:40:09,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,485,3,2,2018-07-03 02:40:09,2018-07-03,Profit Margin,9.35%
1,485,3,2,2018-07-03 02:40:09,2018-07-03,Operating Margin (ttm),8.61%
0,485,3,2,2018-07-03 02:40:09,2018-07-03,Return on Assets (ttm),9.86%
1,485,3,2,2018-07-03 02:40:09,2018-07-03,Return on Equity (ttm),42.33%
0,485,3,2,2018-07-03 02:40:09,2018-07-03,Revenue (ttm),7.51B
1,485,3,2,2018-07-03 02:40:09,2018-07-03,Revenue Per Share (ttm),68.44
2,485,3,2,2018-07-03 02:40:09,2018-07-03,Quarterly Revenue Growth (yoy),19.60%
3,485,3,2,2018-07-03 02:40:09,2018-07-03,Gross Profit (ttm),1.3B
4,485,3,2,2018-07-03 02:40:09,2018-07-03,EBITDA,1.04B
5,485,3,2,2018-07-03 02:40:09,2018-07-03,Net Income Avi to Common (ttm),701.7M
6,485,3,2,2018-07-03 02:40:09,2018-07-03,Diluted EPS (ttm),6.34
7,485,3,2,2018-07-03 02:40:09,2018-07-03,Quarterly Earnings Growth (yoy),15.00%
0,485,3,2,2018-07-03 02:40:09,2018-07-03,Total Cash (mrq),7.08M
1,485,3,2,2018-07-03 02:40:09,2018-07-03,Total Cash Per Share (mrq),0.06
2,485,3,2,2018-07-03 02:40:09,2018-07-03,Total Debt (mrq),1B
3,485,3,2,2018-07-03 02:40:09,2018-07-03,Total Debt/Equity (mrq),51.47
4,485,3,2,2018-07-03 02:40:09,2018-07-03,Current Ratio (mrq),1.13
5,485,3,2,2018-07-03 02:40:09,2018-07-03,Book Value Per Share (mrq),17.70
0,485,3,2,2018-07-03 02:40:09,2018-07-03,Operating Cash Flow (ttm),831.14M
1,485,3,2,2018-07-03 02:40:09,2018-07-03,Levered Free Cash Flow (ttm),96.76M
0,485,4,2,2018-07-03 02:40:09,2018-07-03,Beta,1.16
1,485,4,2,2018-07-03 02:40:09,2018-07-03,52-Week Change 3,30.39%
2,485,4,2,2018-07-03 02:40:09,2018-07-03,S&P500 52-Week Change 3,11.91%
3,485,4,2,2018-07-03 02:40:09,2018-07-03,52 Week High 3,131.74
4,485,4,2,2018-07-03 02:40:09,2018-07-03,52 Week Low 3,88.83
5,485,4,2,2018-07-03 02:40:09,2018-07-03,50-Day Moving Average 3,126.83
6,485,4,2,2018-07-03 02:40:09,2018-07-03,200-Day Moving Average 3,120.40
0,485,4,2,2018-07-03 02:40:09,2018-07-03,Avg Vol (3 month) 3,882.61k
1,485,4,2,2018-07-03 02:40:09,2018-07-03,Avg Vol (10 day) 3,759.25k
2,485,4,2,2018-07-03 02:40:09,2018-07-03,Shares Outstanding 5,109.76M
3,485,4,2,2018-07-03 02:40:09,2018-07-03,Float,87.13M
4,485,4,2,2018-07-03 02:40:09,2018-07-03,% Held by Insiders 1,20.58%
5,485,4,2,2018-07-03 02:40:09,2018-07-03,% Held by Institutions 1,75.86%
6,485,4,2,2018-07-03 02:40:09,2018-07-03,Shares Short 3,3.65M
7,485,4,2,2018-07-03 02:40:09,2018-07-03,Short Ratio 3,5.09
8,485,4,2,2018-07-03 02:40:09,2018-07-03,Short % of Float 3,4.21%
9,485,4,2,2018-07-03 02:40:09,2018-07-03,Shares Short (prior month) 3,4.17M
0,485,4,2,2018-07-03 02:40:09,2018-07-03,Forward Annual Dividend Rate 4,0.96
1,485,4,2,2018-07-03 02:40:09,2018-07-03,Forward Annual Dividend Yield 4,0.79%
2,485,4,2,2018-07-03 02:40:09,2018-07-03,Trailing Annual Dividend Rate 3,0.93
3,485,4,2,2018-07-03 02:40:09,2018-07-03,Trailing Annual Dividend Yield 3,0.77%
4,485,4,2,2018-07-03 02:40:09,2018-07-03,5 Year Average Dividend Yield 4,0.94
5,485,4,2,2018-07-03 02:40:09,2018-07-03,Payout Ratio 4,14.69%
6,485,4,2,2018-07-03 02:40:09,2018-07-03,Dividend Date 3,"May 18, 2018"
7,485,4,2,2018-07-03 02:40:09,2018-07-03,Ex-Dividend Date 4,"May 3, 2018"
8,485,4,2,2018-07-03 02:40:09,2018-07-03,Last Split Factor (new per old) 2,2/1
9,485,4,2,2018-07-03 02:40:09,2018-07-03,Last Split Date 3,"May 24, 2005"
