,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,253,2,2,2018-07-03 01:13:04,2018-07-03,Market Cap (intraday) 5,9.69B
1,253,2,2,2018-07-03 01:13:04,2018-07-03,Enterprise Value 3,8.78B
2,253,2,2,2018-07-03 01:13:04,2018-07-03,Trailing P/E,44.61
3,253,2,2,2018-07-03 01:13:04,2018-07-03,Forward P/E 1,13.15
4,253,2,2,2018-07-03 01:13:04,2018-07-03,PEG Ratio (5 yr expected) 1,1.02
5,253,2,2,2018-07-03 01:13:04,2018-07-03,Price/Sales (ttm),1.98
6,253,2,2,2018-07-03 01:13:04,2018-07-03,Price/Book (mrq),2.24
7,253,2,2,2018-07-03 01:13:04,2018-07-03,Enterprise Value/Revenue 3,1.80
8,253,2,2,2018-07-03 01:13:04,2018-07-03,Enterprise Value/EBITDA 6,8.55
0,253,3,2,2018-07-03 01:13:04,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,253,3,2,2018-07-03 01:13:04,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,253,3,2,2018-07-03 01:13:04,2018-07-03,Profit Margin,4.74%
1,253,3,2,2018-07-03 01:13:04,2018-07-03,Operating Margin (ttm),16.50%
0,253,3,2,2018-07-03 01:13:04,2018-07-03,Return on Assets (ttm),5.39%
1,253,3,2,2018-07-03 01:13:04,2018-07-03,Return on Equity (ttm),4.96%
0,253,3,2,2018-07-03 01:13:04,2018-07-03,Revenue (ttm),4.89B
1,253,3,2,2018-07-03 01:13:04,2018-07-03,Revenue Per Share (ttm),13.17
2,253,3,2,2018-07-03 01:13:04,2018-07-03,Quarterly Revenue Growth (yoy),-11.30%
3,253,3,2,2018-07-03 01:13:04,2018-07-03,Gross Profit (ttm),3.07B
4,253,3,2,2018-07-03 01:13:04,2018-07-03,EBITDA,1.03B
5,253,3,2,2018-07-03 01:13:04,2018-07-03,Net Income Avi to Common (ttm),231.8M
6,253,3,2,2018-07-03 01:13:04,2018-07-03,Diluted EPS (ttm),0.62
7,253,3,2,2018-07-03 01:13:04,2018-07-03,Quarterly Earnings Growth (yoy),-68.40%
0,253,3,2,2018-07-03 01:13:04,2018-07-03,Total Cash (mrq),2.93B
1,253,3,2,2018-07-03 01:13:04,2018-07-03,Total Cash Per Share (mrq),8.4
2,253,3,2,2018-07-03 01:13:04,2018-07-03,Total Debt (mrq),2.14B
3,253,3,2,2018-07-03 01:13:04,2018-07-03,Total Debt/Equity (mrq),49.41
4,253,3,2,2018-07-03 01:13:04,2018-07-03,Current Ratio (mrq),2.14
5,253,3,2,2018-07-03 01:13:04,2018-07-03,Book Value Per Share (mrq),12.39
0,253,3,2,2018-07-03 01:13:04,2018-07-03,Operating Cash Flow (ttm),984.6M
1,253,3,2,2018-07-03 01:13:04,2018-07-03,Levered Free Cash Flow (ttm),614.1M
0,253,4,2,2018-07-03 01:13:04,2018-07-03,Beta,1.28
1,253,4,2,2018-07-03 01:13:04,2018-07-03,52-Week Change 3,-1.15%
2,253,4,2,2018-07-03 01:13:04,2018-07-03,S&P500 52-Week Change 3,11.91%
3,253,4,2,2018-07-03 01:13:04,2018-07-03,52 Week High 3,30.29
4,253,4,2,2018-07-03 01:13:04,2018-07-03,52 Week Low 3,23.61
5,253,4,2,2018-07-03 01:13:04,2018-07-03,50-Day Moving Average 3,27.10
6,253,4,2,2018-07-03 01:13:04,2018-07-03,200-Day Moving Average 3,26.50
0,253,4,2,2018-07-03 01:13:04,2018-07-03,Avg Vol (3 month) 3,5.55M
1,253,4,2,2018-07-03 01:13:04,2018-07-03,Avg Vol (10 day) 3,4.82M
2,253,4,2,2018-07-03 01:13:04,2018-07-03,Shares Outstanding 5,349.15M
3,253,4,2,2018-07-03 01:13:04,2018-07-03,Float,341.57M
4,253,4,2,2018-07-03 01:13:04,2018-07-03,% Held by Insiders 1,1.37%
5,253,4,2,2018-07-03 01:13:04,2018-07-03,% Held by Institutions 1,95.20%
6,253,4,2,2018-07-03 01:13:04,2018-07-03,Shares Short 3,19.02M
7,253,4,2,2018-07-03 01:13:04,2018-07-03,Short Ratio 3,3.02
8,253,4,2,2018-07-03 01:13:04,2018-07-03,Short % of Float 3,7.22%
9,253,4,2,2018-07-03 01:13:04,2018-07-03,Shares Short (prior month) 3,17.21M
0,253,4,2,2018-07-03 01:13:04,2018-07-03,Forward Annual Dividend Rate 4,0.72
1,253,4,2,2018-07-03 01:13:04,2018-07-03,Forward Annual Dividend Yield 4,2.63%
2,253,4,2,2018-07-03 01:13:04,2018-07-03,Trailing Annual Dividend Rate 3,0.48
3,253,4,2,2018-07-03 01:13:04,2018-07-03,Trailing Annual Dividend Yield 3,1.75%
4,253,4,2,2018-07-03 01:13:04,2018-07-03,5 Year Average Dividend Yield 4,
5,253,4,2,2018-07-03 01:13:04,2018-07-03,Payout Ratio 4,77.42%
6,253,4,2,2018-07-03 01:13:04,2018-07-03,Dividend Date 3,"Jun 22, 2018"
7,253,4,2,2018-07-03 01:13:04,2018-07-03,Ex-Dividend Date 4,"May 31, 2018"
8,253,4,2,2018-07-03 01:13:04,2018-07-03,Last Split Factor (new per old) 2,2/1
9,253,4,2,2018-07-03 01:13:04,2018-07-03,Last Split Date 3,"Jun 16, 2000"
