,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,267,2,2,2018-07-03 01:18:38,2018-07-03,Market Cap (intraday) 5,13.03B
1,267,2,2,2018-07-03 01:18:38,2018-07-03,Enterprise Value 3,26.06B
2,267,2,2,2018-07-03 01:18:38,2018-07-03,Trailing P/E,19.47
3,267,2,2,2018-07-03 01:18:38,2018-07-03,Forward P/E 1,14.93
4,267,2,2,2018-07-03 01:18:38,2018-07-03,PEG Ratio (5 yr expected) 1,1.16
5,267,2,2,2018-07-03 01:18:38,2018-07-03,Price/Sales (ttm),0.71
6,267,2,2,2018-07-03 01:18:38,2018-07-03,Price/Book (mrq),3.85
7,267,2,2,2018-07-03 01:18:38,2018-07-03,Enterprise Value/Revenue 3,1.43
8,267,2,2,2018-07-03 01:18:38,2018-07-03,Enterprise Value/EBITDA 6,20.07
0,267,3,2,2018-07-03 01:18:38,2018-07-03,Fiscal Year Ends,"Feb 28, 2018"
1,267,3,2,2018-07-03 01:18:38,2018-07-03,Most Recent Quarter (mrq),"May 31, 2018"
0,267,3,2,2018-07-03 01:18:38,2018-07-03,Profit Margin,3.79%
1,267,3,2,2018-07-03 01:18:38,2018-07-03,Operating Margin (ttm),6.12%
0,267,3,2,2018-07-03 01:18:38,2018-07-03,Return on Assets (ttm),4.08%
1,267,3,2,2018-07-03 01:18:38,2018-07-03,Return on Equity (ttm),21.15%
0,267,3,2,2018-07-03 01:18:38,2018-07-03,Revenue (ttm),18.25B
1,267,3,2,2018-07-03 01:18:38,2018-07-03,Revenue Per Share (ttm),100.90
2,267,3,2,2018-07-03 01:18:38,2018-07-03,Quarterly Revenue Growth (yoy),5.80%
3,267,3,2,2018-07-03 01:18:38,2018-07-03,Gross Profit (ttm),2.75B
4,267,3,2,2018-07-03 01:18:38,2018-07-03,EBITDA,1.3B
5,267,3,2,2018-07-03 01:18:38,2018-07-03,Net Income Avi to Common (ttm),691.07M
6,267,3,2,2018-07-03 01:18:38,2018-07-03,Diluted EPS (ttm),3.79
7,267,3,2,2018-07-03 01:18:38,2018-07-03,Quarterly Earnings Growth (yoy),12.70%
0,267,3,2,2018-07-03 01:18:38,2018-07-03,Total Cash (mrq),76.35M
1,267,3,2,2018-07-03 01:18:38,2018-07-03,Total Cash Per Share (mrq),0.43
2,267,3,2,2018-07-03 01:18:38,2018-07-03,Total Debt (mrq),13.25B
3,267,3,2,2018-07-03 01:18:38,2018-07-03,Total Debt/Equity (mrq),391.71
4,267,3,2,2018-07-03 01:18:38,2018-07-03,Current Ratio (mrq),2.30
5,267,3,2,2018-07-03 01:18:38,2018-07-03,Book Value Per Share (mrq),19.15
0,267,3,2,2018-07-03 01:18:38,2018-07-03,Operating Cash Flow (ttm),-41.19M
1,267,3,2,2018-07-03 01:18:38,2018-07-03,Levered Free Cash Flow (ttm),481.37M
0,267,4,2,2018-07-03 01:18:38,2018-07-03,Beta,1.64
1,267,4,2,2018-07-03 01:18:38,2018-07-03,52-Week Change 3,14.32%
2,267,4,2,2018-07-03 01:18:38,2018-07-03,S&P500 52-Week Change 3,11.91%
3,267,4,2,2018-07-03 01:18:38,2018-07-03,52 Week High 3,81.67
4,267,4,2,2018-07-03 01:18:38,2018-07-03,52 Week Low 3,57.05
5,267,4,2,2018-07-03 01:18:38,2018-07-03,50-Day Moving Average 3,70.80
6,267,4,2,2018-07-03 01:18:38,2018-07-03,200-Day Moving Average 3,66.11
0,267,4,2,2018-07-03 01:18:38,2018-07-03,Avg Vol (3 month) 3,2M
1,267,4,2,2018-07-03 01:18:38,2018-07-03,Avg Vol (10 day) 3,4.08M
2,267,4,2,2018-07-03 01:18:38,2018-07-03,Shares Outstanding 5,176.72M
3,267,4,2,2018-07-03 01:18:38,2018-07-03,Float,163.9M
4,267,4,2,2018-07-03 01:18:38,2018-07-03,% Held by Insiders 1,0.53%
5,267,4,2,2018-07-03 01:18:38,2018-07-03,% Held by Institutions 1,106.64%
6,267,4,2,2018-07-03 01:18:38,2018-07-03,Shares Short 3,16.89M
7,267,4,2,2018-07-03 01:18:38,2018-07-03,Short Ratio 3,10.48
8,267,4,2,2018-07-03 01:18:38,2018-07-03,Short % of Float 3,10.59%
9,267,4,2,2018-07-03 01:18:38,2018-07-03,Shares Short (prior month) 3,16.72M
0,267,4,2,2018-07-03 01:18:38,2018-07-03,Forward Annual Dividend Rate 4,
1,267,4,2,2018-07-03 01:18:38,2018-07-03,Forward Annual Dividend Yield 4,
2,267,4,2,2018-07-03 01:18:38,2018-07-03,Trailing Annual Dividend Rate 3,
3,267,4,2,2018-07-03 01:18:38,2018-07-03,Trailing Annual Dividend Yield 3,
4,267,4,2,2018-07-03 01:18:38,2018-07-03,5 Year Average Dividend Yield 4,
5,267,4,2,2018-07-03 01:18:38,2018-07-03,Payout Ratio 4,0.00%
6,267,4,2,2018-07-03 01:18:38,2018-07-03,Dividend Date 3,
7,267,4,2,2018-07-03 01:18:38,2018-07-03,Ex-Dividend Date 4,
8,267,4,2,2018-07-03 01:18:38,2018-07-03,Last Split Factor (new per old) 2,2/1
9,267,4,2,2018-07-03 01:18:38,2018-07-03,Last Split Date 3,"Mar 27, 2007"
