,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,272,2,2,2018-07-03 01:20:30,2018-07-03,Market Cap (intraday) 5,15.12B
1,272,2,2,2018-07-03 01:20:30,2018-07-03,Enterprise Value 3,18.21B
2,272,2,2,2018-07-03 01:20:30,2018-07-03,Trailing P/E,21.46
3,272,2,2,2018-07-03 01:20:30,2018-07-03,Forward P/E 1,17.47
4,272,2,2,2018-07-03 01:20:30,2018-07-03,PEG Ratio (5 yr expected) 1,1.46
5,272,2,2,2018-07-03 01:20:30,2018-07-03,Price/Sales (ttm),1.57
6,272,2,2,2018-07-03 01:20:30,2018-07-03,Price/Book (mrq),2.87
7,272,2,2,2018-07-03 01:20:30,2018-07-03,Enterprise Value/Revenue 3,1.89
8,272,2,2,2018-07-03 01:20:30,2018-07-03,Enterprise Value/EBITDA 6,13.53
0,272,3,2,2018-07-03 01:20:30,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,272,3,2,2018-07-03 01:20:30,2018-07-03,Most Recent Quarter (mrq),"Mar 30, 2018"
0,272,3,2,2018-07-03 01:20:30,2018-07-03,Profit Margin,7.44%
1,272,3,2,2018-07-03 01:20:30,2018-07-03,Operating Margin (ttm),11.61%
0,272,3,2,2018-07-03 01:20:30,2018-07-03,Return on Assets (ttm),5.58%
1,272,3,2,2018-07-03 01:20:30,2018-07-03,Return on Equity (ttm),15.89%
0,272,3,2,2018-07-03 01:20:30,2018-07-03,Revenue (ttm),9.62B
1,272,3,2,2018-07-03 01:20:30,2018-07-03,Revenue Per Share (ttm),123.17
2,272,3,2,2018-07-03 01:20:30,2018-07-03,Quarterly Revenue Growth (yoy),2.20%
3,272,3,2,2018-07-03 01:20:30,2018-07-03,Gross Profit (ttm),1.02B
4,272,3,2,2018-07-03 01:20:30,2018-07-03,EBITDA,1.35B
5,272,3,2,2018-07-03 01:20:30,2018-07-03,Net Income Avi to Common (ttm),787M
6,272,3,2,2018-07-03 01:20:30,2018-07-03,Diluted EPS (ttm),8.98
7,272,3,2,2018-07-03 01:20:30,2018-07-03,Quarterly Earnings Growth (yoy),23.80%
0,272,3,2,2018-07-03 01:20:30,2018-07-03,Total Cash (mrq),374M
1,272,3,2,2018-07-03 01:20:30,2018-07-03,Total Cash Per Share (mrq),4.77
2,272,3,2,2018-07-03 01:20:30,2018-07-03,Total Debt (mrq),3.35B
3,272,3,2,2018-07-03 01:20:30,2018-07-03,Total Debt/Equity (mrq),62.95
4,272,3,2,2018-07-03 01:20:30,2018-07-03,Current Ratio (mrq),1.92
5,272,3,2,2018-07-03 01:20:30,2018-07-03,Book Value Per Share (mrq),67.01
0,272,3,2,2018-07-03 01:20:30,2018-07-03,Operating Cash Flow (ttm),953M
1,272,3,2,2018-07-03 01:20:30,2018-07-03,Levered Free Cash Flow (ttm),279.12M
0,272,4,2,2018-07-03 01:20:30,2018-07-03,Beta,1.35
1,272,4,2,2018-07-03 01:20:30,2018-07-03,52-Week Change 3,12.74%
2,272,4,2,2018-07-03 01:20:30,2018-07-03,S&P500 52-Week Change 3,11.91%
3,272,4,2,2018-07-03 01:20:30,2018-07-03,52 Week High 3,218.71
4,272,4,2,2018-07-03 01:20:30,2018-07-03,52 Week Low 3,167.12
5,272,4,2,2018-07-03 01:20:30,2018-07-03,50-Day Moving Average 3,196.58
6,272,4,2,2018-07-03 01:20:30,2018-07-03,200-Day Moving Average 3,202.77
0,272,4,2,2018-07-03 01:20:30,2018-07-03,Avg Vol (3 month) 3,758.96k
1,272,4,2,2018-07-03 01:20:30,2018-07-03,Avg Vol (10 day) 3,612.42k
2,272,4,2,2018-07-03 01:20:30,2018-07-03,Shares Outstanding 5,78.48M
3,272,4,2,2018-07-03 01:20:30,2018-07-03,Float,77.96M
4,272,4,2,2018-07-03 01:20:30,2018-07-03,% Held by Insiders 1,0.58%
5,272,4,2,2018-07-03 01:20:30,2018-07-03,% Held by Institutions 1,82.25%
6,272,4,2,2018-07-03 01:20:30,2018-07-03,Shares Short 3,3.04M
7,272,4,2,2018-07-03 01:20:30,2018-07-03,Short Ratio 3,3.02
8,272,4,2,2018-07-03 01:20:30,2018-07-03,Short % of Float 3,4.39%
9,272,4,2,2018-07-03 01:20:30,2018-07-03,Shares Short (prior month) 3,2.18M
0,272,4,2,2018-07-03 01:20:30,2018-07-03,Forward Annual Dividend Rate 4,3.2
1,272,4,2,2018-07-03 01:20:30,2018-07-03,Forward Annual Dividend Yield 4,1.65%
2,272,4,2,2018-07-03 01:20:30,2018-07-03,Trailing Annual Dividend Rate 3,3.05
3,272,4,2,2018-07-03 01:20:30,2018-07-03,Trailing Annual Dividend Yield 3,1.59%
4,272,4,2,2018-07-03 01:20:30,2018-07-03,5 Year Average Dividend Yield 4,1.93
5,272,4,2,2018-07-03 01:20:30,2018-07-03,Payout Ratio 4,30.90%
6,272,4,2,2018-07-03 01:20:30,2018-07-03,Dividend Date 3,"Jun 15, 2018"
7,272,4,2,2018-07-03 01:20:30,2018-07-03,Ex-Dividend Date 4,"May 17, 2018"
8,272,4,2,2018-07-03 01:20:30,2018-07-03,Last Split Factor (new per old) 2,10000/9602
9,272,4,2,2018-07-03 01:20:30,2018-07-03,Last Split Date 3,"Jul 18, 2012"
