,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,285,2,2,2018-07-03 01:25:19,2018-07-03,Market Cap (intraday) 5,11.58B
1,285,2,2,2018-07-03 01:25:19,2018-07-03,Enterprise Value 3,14.14B
2,285,2,2,2018-07-03 01:25:19,2018-07-03,Trailing P/E,21.95
3,285,2,2,2018-07-03 01:25:19,2018-07-03,Forward P/E 1,12.90
4,285,2,2,2018-07-03 01:25:19,2018-07-03,PEG Ratio (5 yr expected) 1,0.78
5,285,2,2,2018-07-03 01:25:19,2018-07-03,Price/Sales (ttm),1.49
6,285,2,2,2018-07-03 01:25:19,2018-07-03,Price/Book (mrq),
7,285,2,2,2018-07-03 01:25:19,2018-07-03,Enterprise Value/Revenue 3,1.82
8,285,2,2,2018-07-03 01:25:19,2018-07-03,Enterprise Value/EBITDA 6,11.00
0,285,3,2,2018-07-03 01:25:19,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,285,3,2,2018-07-03 01:25:19,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,285,3,2,2018-07-03 01:25:19,2018-07-03,Profit Margin,6.99%
1,285,3,2,2018-07-03 01:25:19,2018-07-03,Operating Margin (ttm),14.85%
0,285,3,2,2018-07-03 01:25:19,2018-07-03,Return on Assets (ttm),13.42%
1,285,3,2,2018-07-03 01:25:19,2018-07-03,Return on Equity (ttm),956.45%
0,285,3,2,2018-07-03 01:25:19,2018-07-03,Revenue (ttm),7.79B
1,285,3,2,2018-07-03 01:25:19,2018-07-03,Revenue Per Share (ttm),24.93
2,285,3,2,2018-07-03 01:25:19,2018-07-03,Quarterly Revenue Growth (yoy),8.00%
3,285,3,2,2018-07-03 01:25:19,2018-07-03,Gross Profit (ttm),2.61B
4,285,3,2,2018-07-03 01:25:19,2018-07-03,EBITDA,1.29B
5,285,3,2,2018-07-03 01:25:19,2018-07-03,Net Income Avi to Common (ttm),539M
6,285,3,2,2018-07-03 01:25:19,2018-07-03,Diluted EPS (ttm),1.70
7,285,3,2,2018-07-03 01:25:19,2018-07-03,Quarterly Earnings Growth (yoy),8.00%
0,285,3,2,2018-07-03 01:25:19,2018-07-03,Total Cash (mrq),469M
1,285,3,2,2018-07-03 01:25:19,2018-07-03,Total Cash Per Share (mrq),1.52
2,285,3,2,2018-07-03 01:25:19,2018-07-03,Total Debt (mrq),3.09B
3,285,3,2,2018-07-03 01:25:19,2018-07-03,Total Debt/Equity (mrq),1686.89
4,285,3,2,2018-07-03 01:25:19,2018-07-03,Current Ratio (mrq),1.69
5,285,3,2,2018-07-03 01:25:19,2018-07-03,Book Value Per Share (mrq),-0.23
0,285,3,2,2018-07-03 01:25:19,2018-07-03,Operating Cash Flow (ttm),845M
1,285,3,2,2018-07-03 01:25:19,2018-07-03,Levered Free Cash Flow (ttm),349M
0,285,4,2,2018-07-03 01:25:19,2018-07-03,Beta,1.47
1,285,4,2,2018-07-03 01:25:19,2018-07-03,52-Week Change 3,-1.42%
2,285,4,2,2018-07-03 01:25:19,2018-07-03,S&P500 52-Week Change 3,11.91%
3,285,4,2,2018-07-03 01:25:19,2018-07-03,52 Week High 3,46.45
4,285,4,2,2018-07-03 01:25:19,2018-07-03,52 Week Low 3,35.79
5,285,4,2,2018-07-03 01:25:19,2018-07-03,50-Day Moving Average 3,37.92
6,285,4,2,2018-07-03 01:25:19,2018-07-03,200-Day Moving Average 3,40.89
0,285,4,2,2018-07-03 01:25:19,2018-07-03,Avg Vol (3 month) 3,4.04M
1,285,4,2,2018-07-03 01:25:19,2018-07-03,Avg Vol (10 day) 3,3.23M
2,285,4,2,2018-07-03 01:25:19,2018-07-03,Shares Outstanding 5,310.49M
3,285,4,2,2018-07-03 01:25:19,2018-07-03,Float,306.05M
4,285,4,2,2018-07-03 01:25:19,2018-07-03,% Held by Insiders 1,0.58%
5,285,4,2,2018-07-03 01:25:19,2018-07-03,% Held by Institutions 1,92.81%
6,285,4,2,2018-07-03 01:25:19,2018-07-03,Shares Short 3,8.16M
7,285,4,2,2018-07-03 01:25:19,2018-07-03,Short Ratio 3,2.43
8,285,4,2,2018-07-03 01:25:19,2018-07-03,Short % of Float 3,2.94%
9,285,4,2,2018-07-03 01:25:19,2018-07-03,Shares Short (prior month) 3,9.07M
0,285,4,2,2018-07-03 01:25:19,2018-07-03,Forward Annual Dividend Rate 4,0.42
1,285,4,2,2018-07-03 01:25:19,2018-07-03,Forward Annual Dividend Yield 4,1.12%
2,285,4,2,2018-07-03 01:25:19,2018-07-03,Trailing Annual Dividend Rate 3,0.41
3,285,4,2,2018-07-03 01:25:19,2018-07-03,Trailing Annual Dividend Yield 3,1.11%
4,285,4,2,2018-07-03 01:25:19,2018-07-03,5 Year Average Dividend Yield 4,1.24
5,285,4,2,2018-07-03 01:25:19,2018-07-03,Payout Ratio 4,24.12%
6,285,4,2,2018-07-03 01:25:19,2018-07-03,Dividend Date 3,"Aug 13, 2018"
7,285,4,2,2018-07-03 01:25:19,2018-07-03,Ex-Dividend Date 4,"Jul 12, 2018"
8,285,4,2,2018-07-03 01:25:19,2018-07-03,Last Split Factor (new per old) 2,1138/1000
9,285,4,2,2018-07-03 01:25:19,2018-07-03,Last Split Date 3,"Jul 1, 2015"
