,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,292,2,2,2018-07-03 01:28:02,2018-07-03,Market Cap (intraday) 5,116.29B
1,292,2,2,2018-07-03 01:28:02,2018-07-03,Enterprise Value 3,130.27B
2,292,2,2,2018-07-03 01:28:02,2018-07-03,Trailing P/E,37.90
3,292,2,2,2018-07-03 01:28:02,2018-07-03,Forward P/E 1,15.50
4,292,2,2,2018-07-03 01:28:02,2018-07-03,PEG Ratio (5 yr expected) 1,2.35
5,292,2,2,2018-07-03 01:28:02,2018-07-03,Price/Sales (ttm),3.88
6,292,2,2,2018-07-03 01:28:02,2018-07-03,Price/Book (mrq),2.30
7,292,2,2,2018-07-03 01:28:02,2018-07-03,Enterprise Value/Revenue 3,4.35
8,292,2,2,2018-07-03 01:28:02,2018-07-03,Enterprise Value/EBITDA 6,13.71
0,292,3,2,2018-07-03 01:28:02,2018-07-03,Fiscal Year Ends,"Apr 27, 2018"
1,292,3,2,2018-07-03 01:28:02,2018-07-03,Most Recent Quarter (mrq),"Apr 27, 2018"
0,292,3,2,2018-07-03 01:28:02,2018-07-03,Profit Margin,10.36%
1,292,3,2,2018-07-03 01:28:02,2018-07-03,Operating Margin (ttm),22.89%
0,292,3,2,2018-07-03 01:28:02,2018-07-03,Return on Assets (ttm),4.48%
1,292,3,2,2018-07-03 01:28:02,2018-07-03,Return on Equity (ttm),6.12%
0,292,3,2,2018-07-03 01:28:02,2018-07-03,Revenue (ttm),29.95B
1,292,3,2,2018-07-03 01:28:02,2018-07-03,Revenue Per Share (ttm),22.08
2,292,3,2,2018-07-03 01:28:02,2018-07-03,Quarterly Revenue Growth (yoy),2.90%
3,292,3,2,2018-07-03 01:28:02,2018-07-03,Gross Profit (ttm),20.98B
4,292,3,2,2018-07-03 01:28:02,2018-07-03,EBITDA,9.5B
5,292,3,2,2018-07-03 01:28:02,2018-07-03,Net Income Avi to Common (ttm),3.1B
6,292,3,2,2018-07-03 01:28:02,2018-07-03,Diluted EPS (ttm),2.27
7,292,3,2,2018-07-03 01:28:02,2018-07-03,Quarterly Earnings Growth (yoy),25.50%
0,292,3,2,2018-07-03 01:28:02,2018-07-03,Total Cash (mrq),11.23B
1,292,3,2,2018-07-03 01:28:02,2018-07-03,Total Cash Per Share (mrq),8.31
2,292,3,2,2018-07-03 01:28:02,2018-07-03,Total Debt (mrq),25.78B
3,292,3,2,2018-07-03 01:28:02,2018-07-03,Total Debt/Equity (mrq),50.72
4,292,3,2,2018-07-03 01:28:02,2018-07-03,Current Ratio (mrq),2.28
5,292,3,2,2018-07-03 01:28:02,2018-07-03,Book Value Per Share (mrq),37.45
0,292,3,2,2018-07-03 01:28:02,2018-07-03,Operating Cash Flow (ttm),4.68B
1,292,3,2,2018-07-03 01:28:02,2018-07-03,Levered Free Cash Flow (ttm),6.18B
0,292,4,2,2018-07-03 01:28:02,2018-07-03,Beta,0.75
1,292,4,2,2018-07-03 01:28:02,2018-07-03,52-Week Change 3,-3.60%
2,292,4,2,2018-07-03 01:28:02,2018-07-03,S&P500 52-Week Change 3,11.91%
3,292,4,2,2018-07-03 01:28:02,2018-07-03,52 Week High 3,89.20
4,292,4,2,2018-07-03 01:28:02,2018-07-03,52 Week Low 3,76.41
5,292,4,2,2018-07-03 01:28:02,2018-07-03,50-Day Moving Average 3,86.20
6,292,4,2,2018-07-03 01:28:02,2018-07-03,200-Day Moving Average 3,82.92
0,292,4,2,2018-07-03 01:28:02,2018-07-03,Avg Vol (3 month) 3,4.76M
1,292,4,2,2018-07-03 01:28:02,2018-07-03,Avg Vol (10 day) 3,5.67M
2,292,4,2,2018-07-03 01:28:02,2018-07-03,Shares Outstanding 5,1.35B
3,292,4,2,2018-07-03 01:28:02,2018-07-03,Float,1.35B
4,292,4,2,2018-07-03 01:28:02,2018-07-03,% Held by Insiders 1,0.07%
5,292,4,2,2018-07-03 01:28:02,2018-07-03,% Held by Institutions 1,83.97%
6,292,4,2,2018-07-03 01:28:02,2018-07-03,Shares Short 3,9.8M
7,292,4,2,2018-07-03 01:28:02,2018-07-03,Short Ratio 3,2.04
8,292,4,2,2018-07-03 01:28:02,2018-07-03,Short % of Float 3,0.72%
9,292,4,2,2018-07-03 01:28:02,2018-07-03,Shares Short (prior month) 3,10.92M
0,292,4,2,2018-07-03 01:28:02,2018-07-03,Forward Annual Dividend Rate 4,2
1,292,4,2,2018-07-03 01:28:02,2018-07-03,Forward Annual Dividend Yield 4,2.34%
2,292,4,2,2018-07-03 01:28:02,2018-07-03,Trailing Annual Dividend Rate 3,1.84
3,292,4,2,2018-07-03 01:28:02,2018-07-03,Trailing Annual Dividend Yield 3,2.15%
4,292,4,2,2018-07-03 01:28:02,2018-07-03,5 Year Average Dividend Yield 4,1.94
5,292,4,2,2018-07-03 01:28:02,2018-07-03,Payout Ratio 4,81.06%
6,292,4,2,2018-07-03 01:28:02,2018-07-03,Dividend Date 3,"Jul 25, 2018"
7,292,4,2,2018-07-03 01:28:02,2018-07-03,Ex-Dividend Date 4,"Jul 5, 2018"
8,292,4,2,2018-07-03 01:28:02,2018-07-03,Last Split Factor (new per old) 2,2/1
9,292,4,2,2018-07-03 01:28:02,2018-07-03,Last Split Date 3,"Sep 27, 1999"
